w,vector_semantico
Dr.,"['Dr.', 'doctor', 'physician', 'MD', 'medico', 'doc']",How Much Do You Tell When You Talk?
mind,"['brain', 'creative_thinker', 'mind', 'judgement', 'head', 'judgment', 'idea', 'take_care', 'listen', 'bear_in_mind', 'intellect', 'nous', 'psyche', 'beware', 'thinker', 'heed']",How Much Do You Tell When You Talk?
also,"['likewise', 'also', 'too', 'besides', 'as_well']",How Much Do You Tell When You Talk?
automation,"['automation', 'mechanization', 'mechanisation']",How Much Do You Tell When You Talk?
view,"['watch', 'take_in', 'sight', 'sentiment', 'view', 'reckon', 'look_at', 'regard', 'survey', 'thought', 'catch', 'prospect', 'position', 'scene', 'perspective', 'horizon', 'eyeshot', 'consider', 'see', 'persuasion', 'opinion', 'purview', 'aspect', 'panorama', 'vista']",How Much Do You Tell When You Talk?
designed,"['design', 'designed', 'contrive', 'intentional', 'project', 'plan']",How Much Do You Tell When You Talk?
For,[],How Much Do You Tell When You Talk?
above,"['supra', 'in_a_higher_place', 'higher_up', 'above', 'to_a_higher_place']",How Much Do You Tell When You Talk?
kinesics,[],How Much Do You Tell When You Talk?
psychotherapy,"['psychotherapy', 'psychotherapeutics', 'mental_hygiene']",How Much Do You Tell When You Talk?
norm,"['average', 'norm']",How Much Do You Tell When You Talk?
by,"['aside', 'away', 'by', 'past']",How Much Do You Tell When You Talk?
last,"['death', 'live_on', 'in_conclusion', 'finally', 'finish', 'close', 'last', 'live', 'terminal', 'hold_up', 'final_stage', 'endure', 'finale', 'utmost', 'last-place', 'end', 'lastly', ""cobbler's_last"", 'final', 'lowest', 'stopping_point', 'go', 'hold_out', 'concluding', 'finis', 'net', 'conclusion', 'survive', ""shoemaker's_last""]",How Much Do You Tell When You Talk?
linguists,"['polyglot', 'linguist', 'linguistic_scientist']",How Much Do You Tell When You Talk?
talker,"['speaker', 'verbaliser', 'verbalizer', 'utterer', 'talker']",How Much Do You Tell When You Talk?
them,[],How Much Do You Tell When You Talk?
anthropology,['anthropology'],How Much Do You Tell When You Talk?
spirits,"['John_Barleycorn', 'spirit_up', 'strong_drink', 'flavour', 'hard_liquor', 'inspirit', 'booze', 'intent', 'heart', 'hard_drink', 'disembodied_spirit', 'purport', 'spirits', 'liveliness', 'feel', 'liquor', 'spirit', 'feeling', 'flavor', 'look', 'smell', 'tone', 'life', 'emotional_state', 'sprightliness']",How Much Do You Tell When You Talk?
that's,[],How Much Do You Tell When You Talk?
eventually,"['finally', 'eventually']",How Much Do You Tell When You Talk?
revealed,"['unwrap', 'discover', 'expose', 'let_on', 'bring_out', 'reveal', 'divulge', 'break', 'uncover', 'let_out', 'give_away', 'unveil', 'disclose']",How Much Do You Tell When You Talk?
later,"['by_and_by', 'recent', 'later', 'tardy', 'ulterior', 'belated', 'subsequently', 'after', 'later_on', 'former', 'afterwards', 'posterior', 'afterward', 'late', 'previous']",How Much Do You Tell When You Talk?
human,"['human', 'homo', 'human_being', 'man']",How Much Do You Tell When You Talk?
as,"['every_bit', 'AS', 'a', 'group_A', 'arsenic', 'type_A', 'deoxyadenosine_monophosphate', 'amp', 'antiophthalmic_factor', 'American_Samoa', 'angstrom', 'atomic_number_33', 'As', 'as', 'equally', 'A', 'adenine', 'axerophthol', 'ampere', 'angstrom_unit', 'vitamin_A', 'Eastern_Samoa']",How Much Do You Tell When You Talk?
progress,"['get_along', 'shape_up', 'move_on', 'onward_motion', 'advance', 'pass_on', 'progression', 'build_up', 'forward_motion', 'progress', 'come_along', 'come_on', 'go_on', 'march_on', 'advancement', 'procession', 'get_on', 'work_up', 'build']",How Much Do You Tell When You Talk?
always,"['perpetually', 'invariably', 'ever', 'constantly', 'incessantly', 'always', ""e'er"", 'forever']",How Much Do You Tell When You Talk?
mentally,['mentally'],How Much Do You Tell When You Talk?
instantly,"['immediately', 'directly', 'in_a_flash', 'straight_off', 'forthwith', 'at_once', 'straightaway', 'instantaneously', 'instantly', 'outright', 'right_away', 'now', 'like_a_shot']",How Much Do You Tell When You Talk?
psychological,['psychological'],How Much Do You Tell When You Talk?
hardly,"['barely', 'scarce', 'hardly', 'just', 'scarcely']",How Much Do You Tell When You Talk?
nagging,"['hen-peck', 'nag', 'shrewish', 'peck', 'nagging']",How Much Do You Tell When You Talk?
desire,"['desire', 'trust', 'hope', 'want']",How Much Do You Tell When You Talk?
ambivalence,"['ambivalence', 'ambivalency']",How Much Do You Tell When You Talk?
times,"['times', 'clock_time', 'clock', 'clip', 'meter', 'fourth_dimension', 'metre', 'sentence', 'multiplication', 'prison_term', 'time']",How Much Do You Tell When You Talk?
ear,"['spike', 'ear', 'auricle', 'pinna', 'capitulum']",How Much Do You Tell When You Talk?
other,"['early', 'former', 'other']",How Much Do You Tell When You Talk?
Conclusions,"['close', 'ratiocination', 'end', 'decision', 'stopping_point', 'conclusion', 'finish', 'ending', 'closing', 'finis', 'last', 'termination', 'determination', 'finale']",How Much Do You Tell When You Talk?
another,"['some_other', 'another']",How Much Do You Tell When You Talk?
spoke,"['radius', 'address', 'rundle', 'verbalise', 'rung', 'mouth', 'talk', 'spoke', 'utter', 'verbalize', 'speak', 'wheel_spoke']",How Much Do You Tell When You Talk?
Ray,"['ray', 'shaft', 'ray_of_light', 'radiate', 'light_beam', 'beam_of_light', 'electron_beam', 'irradiation', 'irradiate', 'beam', 'shaft_of_light', 're']",How Much Do You Tell When You Talk?
orientation,"['predilection', 'orientation', 'orientation_course', 'preference']",How Much Do You Tell When You Talk?
spot,"['billet', 'distinguish', 'fleck', 'topographic_point', 'smear', 'descry', 'espy', 'blemish', 'make_out', 'daub', 'situation', 'smudge', 'speckle', 'position', 'patch', 'pip', 'pick_out', 'recognise', 'office', 'smirch', 'touch', 'stain', 'spotlight', 'blot', 'tell_apart', 'berth', 'dapple', 'blob', 'place', 'discern', 'maculation', 'point', 'post', 'bit', 'spot', 'spy', 'recognize', 'slur']",How Much Do You Tell When You Talk?
sort,"['kind', 'classify', 'sieve', 'assort', 'form', 'sort_out', 'screen_out', 'screen', 'class', 'sorting', 'sort', 'separate', 'variety']",How Much Do You Tell When You Talk?
away,"['outside', 'forth', 'aside', 'by', 'off', 'out', 'away']",How Much Do You Tell When You Talk?
stress,"['focus', 'tenseness', 'accent', 'emphasize', 'strain', 'try', 'emphasis', 'tension', 'emphasise', 'stress', 'accentuate', 'punctuate']",How Much Do You Tell When You Talk?
same,"['Saami', 'Saame', 'Lapp', 'Sami', 'Lapplander', 'Same', 'same', 'like']",How Much Do You Tell When You Talk?
sentences,"['condemn', 'judgment_of_conviction', 'sentence', 'doom', 'condemnation', 'conviction', 'prison_term', 'time']",How Much Do You Tell When You Talk?
i.e.,"['i.e.', 'id_est', 'ie']",How Much Do You Tell When You Talk?
experience,"['experience', 'have', 'see', 'know', 'receive', 'feel', 'live', 'go_through', 'get']",How Much Do You Tell When You Talk?
drawling,['drawl'],How Much Do You Tell When You Talk?
and,[],How Much Do You Tell When You Talk?
level,"['storey', 'level', 'level_off', 'floor', 'even', 'charge', 'tied', 'degree', 'raze', 'flush', 'even_out', 'layer', 'take_down', 'pull_down', 'stage', 'flat', 'rase', 'tear_down', 'story', 'point', 'unwavering', 'dismantle', 'stratum', 'grade', 'spirit_level', 'horizontal_surface', 'tier', 'plane']",How Much Do You Tell When You Talk?
repetition,"['repeating', 'repeat', 'repetition']",How Much Do You Tell When You Talk?
Trager,[],How Much Do You Tell When You Talk?
pause,"['intermit', 'interruption', 'hesitate', 'break', 'pause', 'suspension', 'intermission']",How Much Do You Tell When You Talk?
book,"['Koran', 'record_book', 'Holy_Writ', 'book', 'book_of_account', 'reserve', 'rule_book', 'script', ""al-Qur'an"", 'ledger', 'Word', 'playscript', 'Holy_Scripture', 'leger', 'Book', 'hold', 'Bible', 'volume', 'Good_Book', 'Scripture', 'Quran', 'record', 'Christian_Bible', 'account_book', 'Word_of_God']",How Much Do You Tell When You Talk?
girls,"['girlfriend', 'young_woman', 'lady_friend', 'fille', 'girl', 'missy', 'miss', 'young_lady', 'little_girl', 'female_child', 'daughter']",How Much Do You Tell When You Talk?
explored,"['research', 'explore', 'search']",How Much Do You Tell When You Talk?
happened,"['bump', 'come_about', 'hap', 'fall_out', 'pass_off', 'find', 'materialize', 'encounter', 'happen', 'befall', 'pass', 'take_place', 'chance', 'go_on', 'bechance', 'occur', 'materialise']",How Much Do You Tell When You Talk?
central,"['central', 'exchange', 'key', 'primal', 'fundamental', 'telephone_exchange', 'cardinal']",How Much Do You Tell When You Talk?
knotted,"['gnarly', 'knobbed', 'tangle', 'knot', 'knotted', 'ravel', 'knotty', 'gnarled']",How Much Do You Tell When You Talk?
him,[],How Much Do You Tell When You Talk?
described,"['distinguish', 'key', 'describe', 'discover', 'line', 'delineate', 'described', 'depict', 'draw', 'account', 'identify', 'trace', 'name', 'report', 'key_out']",How Much Do You Tell When You Talk?
neurasthenic,['neurasthenic'],How Much Do You Tell When You Talk?
1940's,[],How Much Do You Tell When You Talk?
used,"['utilise', 'habituate', 'exploited', 'put-upon', 'apply', 'victimized', 'use', 'practice', 'expend', 'employ', 'utilize', 'used', 'ill-used', 'victimised', 'secondhand']",How Much Do You Tell When You Talk?
Ross,"['Sir_Ronald_Ross', 'Nellie_Ross', 'Nellie_Tayloe_Ross', 'Sir_John_Ross', 'Sir_James_Clark_Ross', 'Betsy_Ross', 'Betsy_Griscom_Ross', 'Ross', 'James_Clark_Ross', 'John_Ross']",How Much Do You Tell When You Talk?
doesn't,[],How Much Do You Tell When You Talk?
The,[],How Much Do You Tell When You Talk?
understanding,"['sympathize', 'realize', 'read', 'interpret', 'savvy', 'sympathy', 'empathize', 'agreement', 'apprehension', 'intellect', 'discernment', 'empathise', 'understanding', 'see', 'translate', 'understand', 'reason', 'infer', 'sympathise', 'realise']",How Much Do You Tell When You Talk?
signal,"['point', 'signalize', 'signalise', 'signal', 'indicate', 'sign', 'betoken', 'signaling', 'bespeak']",How Much Do You Tell When You Talk?
significant,"['pregnant', 'substantial', 'important', 'significant', 'meaning']",How Much Do You Tell When You Talk?
listen,"['mind', 'hear', 'take_heed', 'listen', 'heed']",How Much Do You Tell When You Talk?
points,"['level', 'head', 'channelise', 'taper', 'manoeuvre', 'charge', 'full_stop', 'degree', 'compass_point', 'breaker_point', 'bespeak', 'steer', 'tip', 'peak', 'dot', 'pointedness', 'distributor_point', 'detail', 'sharpen', 'stage', 'aim', 'period', 'signal', 'full_point', 'gunpoint', 'designate', 'show', 'manoeuver', 'direct', 'place', 'guide', 'channelize', 'stop', 'target', 'point', 'decimal_point', 'repoint', 'indicate', 'point_in_time', 'orient', 'percentage_point', 'item', 'spot', 'betoken', 'luff', 'power_point', 'maneuver']",How Much Do You Tell When You Talk?
Linguistic,"['lingual', 'linguistic']",How Much Do You Tell When You Talk?
speech,"['address', 'manner_of_speaking', 'delivery', 'spoken_language', ""actor's_line"", 'talking_to', 'spoken_communication', 'words', 'oral_communication', 'speech_communication', 'voice_communication', 'speech', 'lecture', 'language']",How Much Do You Tell When You Talk?
hands,"['men', 'hired_man', 'custody', 'script', 'pass_on', 'deal', 'helping_hand', 'give', 'mitt', 'work_force', 'workforce', 'hands', 'pass', 'paw', 'turn_over', 'manpower', 'hand', 'reach', 'handwriting', 'hired_hand', 'manus', 'bridge_player']",How Much Do You Tell When You Talk?
light,"['twinkle', 'illumine', 'get_off', 'Light_Within', 'lightly', 'promiscuous', 'igniter', 'wanton', 'faint', 'calorie-free', 'wakeful', 'Light', 'illume', 'lightness', 'light_source', 'ignite', 'clear', 'sluttish', 'luminousness', 'ignitor', 'tripping', 'Inner_Light', 'scant', 'sparkle', 'brightness_level', 'lighter', 'swooning', 'light-colored', 'unclouded', 'clean', 'idle', 'luminosity', 'lighting', 'get_down', 'unaccented', 'weak', 'fall', 'visible_radiation', 'spark', 'light', 'easy', 'perch', 'unhorse', 'low-cal', 'brightness', 'illuminate', 'abstemious', 'light-headed', 'short', 'lite', 'Christ_Within', 'light_up', 'loose', 'fire_up', 'lightsome', 'luminance', 'visible_light', 'illumination', 'alight', 'lightheaded', 'dismount']",How Much Do You Tell When You Talk?
up,"['improving', 'upwardly', 'astir', 'upwards', 'upward', 'up']",How Much Do You Tell When You Talk?
fade,"['slicing', 'languish', 'disappearance', 'wither', 'pass_off', 'fleet', 'slice', 'pass', 'melt', 'evanesce', 'fade', 'blow_over']",How Much Do You Tell When You Talk?
expressing,"['give_tongue_to', 'verbalise', 'extract', 'carry', 'evince', 'press_out', 'utter', 'show', 'state', 'express', 'convey', 'verbalize']",How Much Do You Tell When You Talk?
don't,[],How Much Do You Tell When You Talk?
point,"['level', 'head', 'channelise', 'taper', 'manoeuvre', 'charge', 'full_stop', 'degree', 'compass_point', 'breaker_point', 'bespeak', 'steer', 'tip', 'peak', 'dot', 'pointedness', 'distributor_point', 'detail', 'sharpen', 'stage', 'aim', 'period', 'signal', 'full_point', 'gunpoint', 'designate', 'show', 'manoeuver', 'direct', 'place', 'guide', 'channelize', 'stop', 'target', 'point', 'decimal_point', 'repoint', 'indicate', 'point_in_time', 'orient', 'percentage_point', 'item', 'spot', 'betoken', 'luff', 'power_point', 'maneuver']",How Much Do You Tell When You Talk?
accent,"['emphasize', 'accent', 'accent_mark', 'emphasis', 'dialect', 'emphasise', 'stress', 'accentuate', 'punctuate', 'speech_pattern', 'idiom']",How Much Do You Tell When You Talk?
becomes,"['become', 'go', 'turn', 'suit', 'get']",How Much Do You Tell When You Talk?
blunted,"['numb', 'blunt', 'blunted', 'dulled', 'benumb', 'dull', 'deaden']",How Much Do You Tell When You Talk?
enlivened,"['liven_up', 'enlivened', 'exalt', 'enliven', 'liven', 'animate', 'inspire', 'invigorate', 'spirited']",How Much Do You Tell When You Talk?
laughing,"['express_mirth', 'laugh', 'laughing', 'riant', 'express_joy']",How Much Do You Tell When You Talk?
mother's,[],How Much Do You Tell When You Talk?
none,['none'],How Much Do You Tell When You Talk?
therapist,"['healer', 'therapist']",How Much Do You Tell When You Talk?
might,"['mightiness', 'power', 'might']",How Much Do You Tell When You Talk?
content,"['capacity', 'subject', 'message', 'depicted_object', 'substance', 'content', 'contented', 'subject_matter', 'contentedness', 'cognitive_content', 'mental_object']",How Much Do You Tell When You Talk?
drawl,['drawl'],How Much Do You Tell When You Talk?
When,[],How Much Do You Tell When You Talk?
previous,"['old', 'former', 'premature', 'late', 'previous']",How Much Do You Tell When You Talk?
accept,"['take_on', 'accept', 'take', 'consent', 'go_for', 'swallow', 'take_over', 'assume', 'admit', 'bear', 'live_with', 'have']",How Much Do You Tell When You Talk?
third,"['third_gear', 'third_base', 'tierce', 'third', 'tertiary', 'thirdly', 'one-third', '3rd']",How Much Do You Tell When You Talk?
With,[],How Much Do You Tell When You Talk?
within,"['within', 'inside']",How Much Do You Tell When You Talk?
any,"['whatever', 'whatsoever', 'any']",How Much Do You Tell When You Talk?
origin,"['line', 'ancestry', 'origin', 'blood', 'pedigree', 'parentage', 'blood_line', 'bloodline', 'inception', 'rootage', 'beginning', 'extraction', 'descent', 'stemma', 'stock', 'root', 'source', 'origination', 'line_of_descent', 'lineage']",How Much Do You Tell When You Talk?
touching,"['allude', 'adjoin', 'impact', 'touching', 'have-to_doe_with', 'affecting', 'refer', 'match', 'poignant', 'bear_on', 'come_to', 'touch', 'equal', 'pertain', 'bear_upon', 'extend_to', 'advert', 'affect', 'tinge', 'tint', 'rival', 'meet', 'contact', 'tinct', 'touch_on', 'disturb', 'reach', 'stir', 'partake', 'relate', 'concern']",How Much Do You Tell When You Talk?
career,"['career', 'life_history', 'vocation', 'calling']",How Much Do You Tell When You Talk?
investigations,"['investigation', 'investigating', 'probe']",How Much Do You Tell When You Talk?
most,"['about', 'nearly', 'near', 'almost', 'well-nigh', 'most', 'virtually', 'to_the_highest_degree', 'nigh']",How Much Do You Tell When You Talk?
higher,"['in_high_spirits', 'high-pitched', 'gamey', 'higher', 'mellow', 'high', 'gamy', 'eminent']",How Much Do You Tell When You Talk?
