w,vector_semantico
sentimental,"['sentimental', 'mushy', 'bathetic', 'schmaltzy', 'soppy', 'drippy', 'mawkish', 'maudlin', 'schmalzy', 'hokey', 'slushy', 'soupy', 'kitschy']",Christian Ethics & the Sit-In
Then,"['then', 'and_so', 'so', 'and_then']",Christian Ethics & the Sit-In
power,"['world_power', 'power', 'major_power', 'big_businessman', 'powerfulness', 'top_executive', 'index', 'force', 'ability', 'tycoon', 'king', 'magnate', 'baron', 'superpower', 'mogul', 'mightiness', 'great_power', 'business_leader', 'office', 'might', 'exponent']",Christian Ethics & the Sit-In
like,"['wish', 'like', 'corresponding', 'comparable', 'the_like', 'care', 'same', 'alike', 'ilk', 'similar', 'the_likes_of']",Christian Ethics & the Sit-In
Nashville,"['capital_of_Tennessee', 'Nashville']",Christian Ethics & the Sit-In
either,['either'],Christian Ethics & the Sit-In
throughout,"['end-to-end', 'throughout', 'passim']",Christian Ethics & the Sit-In
new,"['newfangled', 'New', 'novel', 'new', 'newly', 'unexampled', 'freshly', 'fresh', 'young', 'raw', 'Modern']",Christian Ethics & the Sit-In
pre-Civil,[],Christian Ethics & the Sit-In
into,[],Christian Ethics & the Sit-In
most,"['near', 'nigh', 'well-nigh', 'nearly', 'about', 'almost', 'virtually', 'most', 'to_the_highest_degree']",Christian Ethics & the Sit-In
undue,"['inordinate', 'unwarranted', 'unreasonable', 'unjustified', 'excessive', 'undue']",Christian Ethics & the Sit-In
remember,"['retrieve', 'commend', 'think_back', 'think', 'commemorate', 'recall', 'call_up', 'call_back', 'think_of', 'recollect', 'remember']",Christian Ethics & the Sit-In
opposite,"['antonym', 'opposite_word', 'opposite', 'opposition', 'contrary', 'polar', 'diametric', 'face-to-face', 'opponent', 'reverse', 'inverse', 'diametrical', 'paired']",Christian Ethics & the Sit-In
contrary,"['opposite', 'contrary', 'adverse', 'wayward', 'reverse', 'obstinate', 'perverse']",Christian Ethics & the Sit-In
wise,"['impertinent', 'judicious', 'wise', 'Wise', 'Stephen_Samuel_Wise', 'knowing', 'impudent', 'overbold', 'wise_to', 'Isaac_Mayer_Wise', 'fresh', 'saucy', 'smart', 'sassy', 'heady']",Christian Ethics & the Sit-In
virtue,"['merit', 'chastity', 'virtue', 'moral_excellence', 'virtuousness', 'sexual_morality']",Christian Ethics & the Sit-In
1307,[],Christian Ethics & the Sit-In
documented,"['documented', 'attested', 'authenticated', 'document']",Christian Ethics & the Sit-In
been,"['equal', 'constitute', 'follow', 'be', 'exist', 'embody', 'live', 'make_up', 'cost', 'personify', 'represent', 'comprise']",Christian Ethics & the Sit-In
march,"['butt_against', 'butt_on', 'Mar', 'border', 'marching', 'butt', 'edge', 'marchland', 'marching_music', 'exhibit', 'borderland', 'march', 'border_district', 'demonstrate', 'abut', 'parade', 'Master_of_Architecture', 'March', 'adjoin', 'MArch', 'process']",Christian Ethics & the Sit-In
end,"['close', 'end', 'terminal', 'finish', 'stop', 'last', 'conclusion', 'goal', 'final_stage', 'death', 'cease', 'ending', 'remainder', 'oddment', 'remnant', 'destruction', 'terminate', 'closing']",Christian Ethics & the Sit-In
