w,vector_uso
A,"[0, 147, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Ship Who Sang
experience,"[123, 49, 492, 26, 129, 102, 0, 7, 37]",The Ship Who Sang
kept,"[1, 2, 28, 4, 0, 1, 5, 0, 7, 0, 0, 0, 0, 0, 1, 13, 4, 35, 1, 0, 0, 17, 0, 0]",The Ship Who Sang
forced,"[0, 3, 0, 14, 15, 9, 1, 11, 4, 0, 4, 5, 0, 0, 0, 10, 7]",The Ship Who Sang
left,"[0, 0, 0, 41, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 12, 32, 16, 0, 0, 0, 218, 0, 0, 9, 0, 0, 20, 27, 51]",The Ship Who Sang
shells,"[0, 0, 2, 35, 0, 23, 0, 0, 0, 0, 0, 1, 3, 0, 0, 6, 7]",The Ship Who Sang
development,"[0, 1, 23, 0, 8, 13, 0, 3, 0]",The Ship Who Sang
extricate,"[1, 0, 0, 0]",The Ship Who Sang
Base,"[0, 3, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 37, 0, 11, 0, 0, 3, 1, 59, 0, 0, 21, 0, 1, 0, 26, 7, 3, 54, 0, 19, 23, 0, 0, 0, 2, 8, 0, 0]",The Ship Who Sang
installed,"[0, 3, 0, 0, 1]",The Ship Who Sang
politely,"[0, 2]",The Ship Who Sang
started,"[0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 0, 123, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 47, 90, 0, 0, 0, 19]",The Ship Who Sang
whichever,[],The Ship Who Sang
works,"[0, 0, 0, 9, 113, 0, 0, 0, 18, 0, 0, 6, 2, 0, 22, 1, 0, 3, 1, 0, 6, 127, 5, 0, 0, 39, 0, 0, 12, 0, 0, 0, 23, 0, 13, 1, 0, 0, 43, 24, 0, 22, 0, 13, 0, 90, 12, 37, 0, 0, 1, 1, 0, 3, 0]",The Ship Who Sang
introduce,"[0, 12, 0, 2, 0, 0, 0, 3, 0, 0, 0, 36, 0, 0, 2, 0, 0, 0]",The Ship Who Sang
extension,"[0, 5, 0, 0, 1, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0]",The Ship Who Sang
with,[],The Ship Who Sang
research,"[0, 2, 7, 0, 7]",The Ship Who Sang
unusual,"[9, 12]",The Ship Who Sang
claws,"[0, 1, 0, 0, 0]",The Ship Who Sang
baritone,"[0, 1, 0, 0]",The Ship Who Sang
like,"[5, 17, 176, 15, 0, 88, 1, 0, 2, 0, 21]",The Ship Who Sang
direct,"[4, 72, 0, 12, 0, 3, 1, 0, 0, 5, 0, 0, 0, 0, 73, 4, 16, 0, 37, 16, 7, 0, 80, 20, 0, 0, 6, 10, 0, 2, 0]",The Ship Who Sang
lived,"[0, 0, 49, 0, 0, 26, 90, 722, 129, 5, 6, 0, 2, 0, 1, 83]",The Ship Who Sang
Why,"[0, 40]",The Ship Who Sang
self-pitying,[],The Ship Who Sang
who,"[0, 0]",The Ship Who Sang
Venusians,[],The Ship Who Sang
index,"[2, 0, 0, 12, 58, 0, 1, 0]",The Ship Who Sang
past,"[0, 0, 39, 0, 3, 0, 497]",The Ship Who Sang
executed,"[43, 52, 1, 2, 0, 0, 0, 0, 1, 1, 163, 0]",The Ship Who Sang
tinkering,"[0, 0, 0, 0, 0, 3, 0, 0, 0]",The Ship Who Sang
Aj,[],The Ship Who Sang
mechanisms,"[7, 0, 1]",The Ship Who Sang
am,"[21, 0, 0, 26, 0, 1, 0, 0, 6, 0, 722, 0, 12, 0, 3, 6, 11, 0, 0, 0]",The Ship Who Sang
eliminating,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 0, 0]",The Ship Who Sang
playing,"[0, 0, 18, 4, 19, 0, 0, 0, 0, 3, 0, 5, 127, 0, 6, 0, 23, 0, 0, 6, 0, 1, 43, 0, 22, 0, 0, 2]",The Ship Who Sang
Elvis,"[0, 1, 0, 2, 0, 0, 25, 0, 0, 2, 1, 0]",The Ship Who Sang
initial,[8],The Ship Who Sang
In,"[0, 0, 0, 3, 0, 2255, 152, 2, 1, 0]",The Ship Who Sang
microphones,"[0, 1]",The Ship Who Sang
sixteenth,"[1, 0, 0, 0]",The Ship Who Sang
behind,"[1, 7, 0, 0, 0, 0, 3, 0, 0, 0, 4, 0, 0, 0, 0, 12, 0, 1, 0, 0, 1, 38, 235, 13, 3, 0, 5, 0, 0, 0, 0]",The Ship Who Sang
company,"[0, 11, 1, 2, 2, 15, 0, 0, 14, 0, 0]",The Ship Who Sang
For,[],The Ship Who Sang
Nozze,[],The Ship Who Sang
',[],The Ship Who Sang
adventures,"[15, 4, 0, 2, 2, 0, 0, 0, 0, 0, 0, 17, 2, 0]",The Ship Who Sang
bother,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 32, 0, 3, 0, 0, 0]",The Ship Who Sang
grinned,[2],The Ship Who Sang
made,"[0, 0, 0, 113, 0, 9, 0, 0, 0, 26, 0, 18, 21, 0, 0, 0, 1, 1, 0, 4, 1, 0, 492, 0, 9, 0, 21, 0, 163, 0, 0, 0, 0, 127, 123, 39, 6, 0, 1, 31, 1, 9, 0, 4, 11, 0, 1, 0, 0, 0, 80, 0, 16, 5, 3, 8, 0, 117, 51, 0, 0, 17, 0, 0, 0, 0, 0, 0]",The Ship Who Sang
soprano,"[1, 0]",The Ship Who Sang
teachers,"[7, 2]",The Ship Who Sang
Well,"[0, 2, 0, 1, 0, 82, 20, 4, 1, 5, 134]",The Ship Who Sang
practicality,[2],The Ship Who Sang
So,"[0, 0, 22, 17, 0, 0, 12, 0, 177, 0, 3, 228]",The Ship Who Sang
connections,"[0, 5, 3, 0, 0, 0, 3, 1, 0]",The Ship Who Sang
insane,"[8, 0, 4]",The Ship Who Sang
body,"[3, 0, 50, 1, 0, 2, 0, 0, 0, 0, 0]",The Ship Who Sang
Dark,"[0, 1, 1, 0, 5, 0, 1, 0, 51, 3, 21, 0, 0, 0, 0, 1, 31, 1, 13, 1, 8, 0, 0, 8, 0, 0, 0, 2, 0, 1, 2, 0, 0]",The Ship Who Sang
oral,"[2, 0, 0, 0, 0, 0]",The Ship Who Sang
I've,[],The Ship Who Sang
life,"[1, 0, 14, 0, 98, 0, 1, 0, 0, 0, 0, 0, 0, 33]",The Ship Who Sang
perfect,"[6, 0, 0, 3, 9, 0, 0, 1, 0, 12, 0, 0, 0, 2, 0, 0, 22, 2]",The Ship Who Sang
mouths,"[1, 0, 0, 0, 26, 0, 14, 14, 0, 0, 0, 0, 0, 2, 0]",The Ship Who Sang
posed,"[51, 72, 10, 2, 0, 0, 0, 19, 0, 1, 29, 6, 46, 123, 8, 0, 0, 0, 0, 0, 0, 1, 0, 23, 0, 36, 0, 0]",The Ship Who Sang
authorities,"[0, 3, 3, 3, 0, 1, 0, 0, 2, 0, 13, 1, 0, 1, 16, 4, 2, 0, 0, 1]",The Ship Who Sang
to,[],The Ship Who Sang
in,"[0, 0, 0, 3, 0, 2255, 152, 2, 1, 0]",The Ship Who Sang
recently,"[0, 0, 8, 2, 30]",The Ship Who Sang
pores,"[0, 0, 2, 23, 5, 0, 0, 0]",The Ship Who Sang
responses,"[8, 28, 1, 25, 1]",The Ship Who Sang
nursery,"[0, 0, 6, 0]",The Ship Who Sang
happy,"[1, 0, 19, 4]",The Ship Who Sang
panorama,"[1, 17, 12, 0, 8, 3, 0, 0]",The Ship Who Sang
solution,"[8, 4, 27, 0, 25, 10]",The Ship Who Sang
When,[],The Ship Who Sang
around,"[85, 237, 6, 2, 0, 0, 0, 182, 3, 0]",The Ship Who Sang
neural,"[3, 0, 4, 1]",The Ship Who Sang
central,"[0, 0, 5, 6, 0, 14, 6]",The Ship Who Sang
trajectory,"[1, 13]",The Ship Who Sang
indestructible,"[1, 0, 0, 2]",The Ship Who Sang
months,"[0, 8]",The Ship Who Sang
hideous,"[1, 0, 0, 0, 1]",The Ship Who Sang
complete,"[9, 3, 2, 12, 0, 0, 2, 3, 0, 0, 0, 163, 4, 22, 6, 0, 0, 1, 2, 0, 6, 1, 3, 0, 0, 0, 1]",The Ship Who Sang
directives,[0],The Ship Who Sang
Robert,"[0, 0, 6]",The Ship Who Sang
whatever,"[14, 168, 0]",The Ship Who Sang
dwarfs,"[0, 1, 3, 0, 0, 0]",The Ship Who Sang
Scout,"[0, 12, 0, 0, 0, 4, 1, 5, 0, 1, 0, 0, 0, 0]",The Ship Who Sang
maintained,"[2, 0, 1, 0, 4, 35, 2, 5, 0, 1, 17, 0, 0, 1, 3, 3, 2, 2]",The Ship Who Sang
half,"[36, 1]",The Ship Who Sang
unpleased,[],The Ship Who Sang
substitute,"[0, 3, 0, 0, 0, 8, 0, 0, 0, 0, 0, 13, 0, 4, 0, 3, 5, 0, 0, 3, 0, 1, 3]",The Ship Who Sang
wheels,"[7, 0, 0, 0, 0, 1, 0, 0, 5, 11]",The Ship Who Sang
:,[],The Ship Who Sang
Universe,"[20, 0, 22, 96, 7, 0, 0, 4]",The Ship Who Sang
holding,"[2, 0, 113, 3, 0, 0, 2, 0, 10, 2, 0, 492, 1, 5, 13, 10, 0, 0, 1, 3, 0, 6, 6, 0, 2, 0, 1, 12, 6, 4, 9, 5, 1, 1, 0, 0, 1, 1, 1, 8, 80, 9, 1, 35, 0, 0, 0, 7, 3, 38, 51, 0, 0, 0, 0, 17, 4, 0, 2, 3]",The Ship Who Sang
match,"[0, 0, 11, 1, 19, 1, 0, 0, 0, 4, 0, 0, 0, 14, 8, 2, 6, 2, 0, 0, 3, 12, 2, 3, 0, 0, 11, 2, 0]",The Ship Who Sang
