w,vector_semantico
experience,"['experience', 'receive', 'go_through', 'get', 'see', 'have', 'feel', 'know', 'live']",The Star Dwellers
here,"['here', 'Here', 'Hera', 'hither']",The Star Dwellers
snapping,"['snarl', 'photograph', 'break_down', 'snap', 'shoot', 'tear', 'click', 'snatch', 'snatch_up', 'flick', 'bust', 'rupture', 'crack', 'lose_it']",The Star Dwellers
Besides,"['likewise', 'as_well', 'too', 'besides', 'also', 'in_any_case']",The Star Dwellers
absolutes,['absolute'],The Star Dwellers
declaration,"['resolution', 'contract', 'announcement', 'resolve', 'declaration', 'proclamation', 'annunciation']",The Star Dwellers
as,"['a', 'As', 'amp', 'as', 'deoxyadenosine_monophosphate', 'AS', 'adenine', 'every_bit', 'vitamin_A', 'A', 'ampere', 'angstrom', 'group_A', 'Eastern_Samoa', 'equally', 'angstrom_unit', 'arsenic', 'axerophthol', 'American_Samoa', 'atomic_number_33', 'antiophthalmic_factor', 'type_A']",The Star Dwellers
kind,"['sort', 'form', 'tolerant', 'variety', 'genial', 'kind']",The Star Dwellers
really,"['really', 'rattling', 'actually', 'truly', 'very', 'genuinely', 'real', 'in_truth']",The Star Dwellers
admitted,"['admit', 'hold', 'acknowledge', 'take_on', 'accommodate', 'let_in', 'take', 'allow_in', 'intromit', 'accept', 'include', 'allow']",The Star Dwellers
whereas,[],The Star Dwellers
radar,"['radar', 'radio_detection_and_ranging', 'radiolocation', 'microwave_radar']",The Star Dwellers
little,"['trivial', 'slight', 'piffling', 'short', 'piddling', 'little', 'petty', 'niggling', 'footling', 'picayune', 'minuscule', 'fiddling', 'lilliputian', 'small']",The Star Dwellers
Always,"['ever', 'always', 'incessantly', 'perpetually', ""e'er"", 'forever', 'invariably', 'constantly']",The Star Dwellers
fixed,"['fasten', 'fixate', 'fix', 'sterilize', 'unsex', 'make', 'prepare', 'pay_off', 'get', 'secure', 'limit', 'repair', 'posit', 'cook', 'mend', 'fixed', 'frozen', 'bushel', 'touch_on', 'specify', 'pay_back', 'doctor', 'ready', 'situate', 'define', 'desexualize', 'desex', 'sterilise', 'set_up', 'desexualise', 'rigid', 'deposit', 'restore', 'furbish_up', 'gear_up', 'determine', 'set']",The Star Dwellers
at,"['astatine', 'atomic_number_85', 'at', 'At']",The Star Dwellers
Hesperus',[],The Star Dwellers
In,"['inch', 'inwards', 'indium', 'inward', 'Indiana', 'In', 'in', 'IN', 'atomic_number_49', 'Hoosier_State']",The Star Dwellers
worth,"['worth', 'Charles_Frederick_Worth', 'deserving', 'Worth']",The Star Dwellers
be,"['exist', 'cost', 'represent', 'make_up', 'be', 'embody', 'follow', 'beryllium', 'Be', 'comprise', 'live', 'constitute', 'equal', 'glucinium', 'personify', 'atomic_number_4']",The Star Dwellers
convinced,"['convinced', 'confident', 'positive', 'convince', 'convert', 'win_over']",The Star Dwellers
don't,[],The Star Dwellers
him,[],The Star Dwellers
which,[],The Star Dwellers
riot,"['rioting', 'orgy', 'bacchanalia', 'wow', 'drunken_revelry', 'carouse', 'howler', 'sidesplitter', 'belly_laugh', 'debauch', 'bacchanal', 'roister', 'riot', 'thigh-slapper', 'saturnalia', 'public_violence', 'debauchery', 'scream']",The Star Dwellers
periods,"['period', 'point', 'full_point', 'full_stop', 'menstruation', 'flow', 'catamenia', 'menstruum', 'period_of_time', 'stop', 'geological_period', 'time_period', 'menses']",The Star Dwellers
because,[],The Star Dwellers
law,"['police_force', 'practice_of_law', 'police', 'natural_law', 'constabulary', 'jurisprudence', 'legal_philosophy', 'law_of_nature', 'law']",The Star Dwellers
speak,"['utter', 'address', 'talk', 'mouth', 'verbalize', 'verbalise', 'speak']",The Star Dwellers
),[],The Star Dwellers
since,[],The Star Dwellers
Being,"['exist', 'organism', 'cost', 'represent', 'existence', 'be', 'make_up', 'embody', 'follow', 'being', 'comprise', 'beingness', 'live', 'constitute', 'equal', 'personify']",The Star Dwellers
Republics,"['republic', 'commonwealth', 'democracy']",The Star Dwellers
practicing,"['apply', 'do', 'commit', 'practise', 'rehearse', 'use', 'practice', 'drill', 'exercise']",The Star Dwellers
sort,"['screen_out', 'sort', 'sorting', 'separate', 'form', 'variety', 'screen', 'classify', 'assort', 'sort_out', 'class', 'sieve', 'kind']",The Star Dwellers
trick,"['whoremonger', 'play_tricks', 'legerdemain', 'play_a_trick_on', 'joke', 'illusion', 'play_a_joke_on', 'fox', 'deception', 'magic_trick', 'pull_a_fast_one_on', 'put-on', 'whoremaster', 'caper', 'john', 'conjuration', 'conjuring_trick', 'flim-flam', 'thaumaturgy', 'trick', 'prank', 'fast_one', 'antic', 'magic', 'fob']",The Star Dwellers
angry,"['wild', 'angry', 'raging', 'furious', 'tempestuous']",The Star Dwellers
aboard,"['aboard', 'on_base', 'alongside', 'on_board']",The Star Dwellers
taught,"['instruct', 'learn', 'teach']",The Star Dwellers
computer,"['information_processing_system', 'electronic_computer', 'computing_device', 'data_processor', 'reckoner', 'figurer', 'computer', 'calculator', 'computing_machine', 'estimator']",The Star Dwellers
trained,"['educate', 'rail', 'school', 'cultivate', 'take', 'train', 'develop', 'prepare', 'discipline', 'groom', 'trail', 'condition', 'civilise', 'direct', 'coach', 'civilize', 'trained', 'check', 'aim', 'take_aim']",The Star Dwellers
quarters,"['poop', 'billet', 'twenty-five_percent', 'stern', 'one-quarter', 'fourth', 'tail', 'quarter', 'draw', 'one-fourth', 'fourth_part', 'quarters', 'after_part', 'canton', 'draw_and_quarter', 'quartern', 'living_quarters']",The Star Dwellers
Soviet,"['soviet', 'Soviet']",The Star Dwellers
will,"['testament', 'volition', 'leave', 'will', 'bequeath']",The Star Dwellers
agent,"['agentive_role', 'broker', 'factor', 'federal_agent', 'agent']",The Star Dwellers
parochial,"['parochial', 'insular']",The Star Dwellers
short-lived,"['passing', 'transient', 'fugacious', 'transitory', 'ephemeral', 'short-lived']",The Star Dwellers
but,"['but', 'simply', 'just', 'only', 'merely']",The Star Dwellers
Coal,"['char', 'ember', 'coal']",The Star Dwellers
Holies,"['holy', 'holy_place', 'sanctum']",The Star Dwellers
doubt,"['incertitude', 'doubt', 'doubtfulness', 'dubiety', 'question', 'uncertainty', 'dubiousness']",The Star Dwellers
everything,[],The Star Dwellers
powers,"['ability', 'office', 'power', 'world_power', 'tycoon', 'baron', 'king', 'business_leader', 'top_executive', 'might', 'exponent', 'superpower', 'great_power', 'force', 'mogul', 'major_power', 'powerfulness', 'index', 'mightiness', 'magnate', 'big_businessman']",The Star Dwellers
eventually,"['eventually', 'finally']",The Star Dwellers
again,"['over_again', 'once_again', 'once_more', 'again']",The Star Dwellers
He,"['atomic_number_2', 'he', 'helium', 'He']",The Star Dwellers
part,"['persona', 'office', 'percentage', 'section', 'portion', 'part', 'function', 'depart', 'split_up', 'start_out', 'share', 'separate', 'split', 'take_off', 'break_up', 'set_off', 'theatrical_role', 'component', 'start', 'role', 'set_out', 'component_part', 'divide', 'division', 'partly', 'disunite', 'region', 'piece', 'character', 'set_forth', 'contribution', 'partially', 'break', 'voice', 'parting', 'constituent']",The Star Dwellers
easy,"['well-heeled', 'well-fixed', 'sluttish', 'easygoing', 'easy', 'slow', 'soft', 'comfortable', 'easily', 'promiscuous', 'gentle', 'well-to-do', 'leisurely', 'well-off', 'light', 'tardily', 'slowly', 'wanton', 'prosperous', 'well-situated', 'loose']",The Star Dwellers
signed,"['ratify', 'contract', 'subscribe', 'signalize', 'signal', 'signalise', 'sign_on', 'gestural', 'sign', 'signed', 'sign-language', 'sign_up', 'bless']",The Star Dwellers
virulence,"['virulence', 'virulency']",The Star Dwellers
incident,"['incidental', 'incident']",The Star Dwellers
distance,"['outstrip', 'outdistance', 'space', 'length', 'distance', 'aloofness']",The Star Dwellers
(,[],The Star Dwellers
Your,[],The Star Dwellers
blackness,"['pitch_blackness', 'lightlessness', 'total_darkness', 'inkiness', 'black', 'blackness']",The Star Dwellers
