w,vector_semantico
explosives,['explosive'],The Ikon
here,"['here', 'Here', 'Hera', 'hither']",The Ikon
rough,"['rough', 'unsmooth', 'boisterous', 'pugnacious', 'rough_out', 'crude', 'raspy', 'harsh', 'approximative', 'fierce', 'jumpy', 'roughly', 'rough_in', 'jolty', 'gravelly', 'jolting', 'approximate', 'scratchy', 'rasping', 'bumpy', 'uncut', 'rocky', 'grating']",The Ikon
radiance,"['refulgency', 'glow', 'radiance', 'shine', 'radiancy', 'effulgence', 'refulgence', 'glowing']",The Ikon
post,"['office', 'mail', 'station', 'post', 'situation', 'Emily_Price_Post', 'send', 'military_post', 'place', 'berth', 'Charles_William_Post', 'Post', 'postal_service', 'position', 'stake', 'put_up', 'carry', 'billet', 'C._W._Post', 'Wiley_Post', 'Emily_Post', 'spot', 'brand', 'mail_service']",The Ikon
overcome,"['overtake', 'sweep_over', 'overwhelm', 'subdue', 'overpower', 'defeat', 'overcome', 'get_over', 'whelm', 'get_the_better_of', 'master', 'have_the_best', 'surmount', 'get_the_best']",The Ikon
crawling,"['creep', 'grovel', 'crawl', 'creeping', 'cringe', 'cower', 'crawling', 'fawn']",The Ikon
flesh,"['soma', 'anatomy', 'material_body', 'pulp', 'physical_body', 'human_body', 'physique', 'bod', 'build', 'form', 'chassis', 'flesh', 'frame', 'shape', 'figure']",The Ikon
Americans,"['American_language', 'American', 'American_English']",The Ikon
leg,"['branch', 'peg', 'pegleg', 'leg', 'stage', 'wooden_leg', 'ramification']",The Ikon
right,"['decently', 'flop', 'mightily', 'right_field', 'mighty', 'right', 'powerful', 'aright', 'rightfield', 'justly', 'ripe', 'right_wing', 'rectify', 'rightfulness', 'compensate', 'in_good_order', 'correctly', 'good', 'properly', 'right_on', 'redress', 'proper', 'correct', 'right_hand', 'veracious', 'right-hand', 'the_right_way', 'decent']",The Ikon
as,"['a', 'As', 'amp', 'as', 'deoxyadenosine_monophosphate', 'AS', 'adenine', 'every_bit', 'vitamin_A', 'A', 'ampere', 'angstrom', 'group_A', 'Eastern_Samoa', 'equally', 'angstrom_unit', 'arsenic', 'axerophthol', 'American_Samoa', 'atomic_number_33', 'antiophthalmic_factor', 'type_A']",The Ikon
really,"['really', 'rattling', 'actually', 'truly', 'very', 'genuinely', 'real', 'in_truth']",The Ikon
came,"['come', 'make_out', 'number', 'amount', 'get_along', 'issue_forth', 'hail', 'derive', 'get', 'follow', 'arrive', 'occur', 'do', 'descend', 'add_up', 'come_in', 'fare', 'fall', 'total', 'come_up']",The Ikon
fire,"['displace', 'give_the_sack', 'flak', 'flack', 'evoke', 'discharge', 'fervidness', 'enkindle', 'elicit', 'firing', 'give_notice', 'force_out', 'fire', 'fervour', 'arouse', 'send_away', 'burn_down', 'sack', 'burn', 'give_the_axe', 'attack', 'ardor', 'provoke', 'raise', 'kindle', 'fuel', 'can', 'open_fire', 'dismiss', 'go_off', 'fervor', 'blast', 'fervency', 'flame', 'terminate', 'flaming', 'ardour']",The Ikon
steered,"['maneuver', 'steer', 'direct', 'point', 'channelise', 'manoeuvre', 'manoeuver', 'channelize', 'head', 'guide']",The Ikon
peered,['peer'],The Ikon
little,"['trivial', 'slight', 'piffling', 'short', 'piddling', 'little', 'petty', 'niggling', 'footling', 'picayune', 'minuscule', 'fiddling', 'lilliputian', 'small']",The Ikon
foot,"['groundwork', 'infantry', 'hoof', 'hoof_it', 'substructure', 'human_foot', 'foot', 'understructure', 'metrical_foot', 'leg_it', 'base', 'foot_up', 'pick', 'fundament', 'invertebrate_foot', 'animal_foot', 'metrical_unit', 'foundation', 'ft', 'pes']",The Ikon
pen,"['compose', 'write', 'indite', 'penitentiary', 'pen', 'playpen']",The Ikon
at,"['astatine', 'atomic_number_85', 'at', 'At']",The Ikon
slit,"['dent', 'scratch', 'puss', 'incision', 'slice', 'snatch', 'twat', 'slit', 'prick', 'pussy', 'cunt']",The Ikon
fixed,"['fasten', 'fixate', 'fix', 'sterilize', 'unsex', 'make', 'prepare', 'pay_off', 'get', 'secure', 'limit', 'repair', 'posit', 'cook', 'mend', 'fixed', 'frozen', 'bushel', 'touch_on', 'specify', 'pay_back', 'doctor', 'ready', 'situate', 'define', 'desexualize', 'desex', 'sterilise', 'set_up', 'desexualise', 'rigid', 'deposit', 'restore', 'furbish_up', 'gear_up', 'determine', 'set']",The Ikon
laughed,"['express_joy', 'laugh', 'express_mirth']",The Ikon
English,"['side', 'English_language', 'English', 'English_people']",The Ikon
Big,"['big', 'expectant', 'large', 'vainglorious', 'grownup', 'braggy', 'bighearted', 'vauntingly', 'enceinte', 'self-aggrandising', 'handsome', 'adult', 'fully_grown', 'magnanimous', 'full-grown', 'great', 'boastfully', 'liberal', 'openhanded', 'giving', 'boastful', 'self-aggrandizing', 'freehanded', 'bad', 'crowing', 'prominent', 'bountiful', 'grown', 'swelled', 'with_child', 'cock-a-hoop', 'gravid', 'braggart', 'bragging', 'bounteous', 'heavy']",The Ikon
knowledge,"['cognition', 'knowledge', 'noesis']",The Ikon
In,"['inch', 'inwards', 'indium', 'inward', 'Indiana', 'In', 'in', 'IN', 'atomic_number_49', 'Hoosier_State']",The Ikon
motion,"['motion', 'apparent_motion', 'movement', 'apparent_movement', 'move', 'question', 'gesticulate', 'gesture', 'motility']",The Ikon
always,"['ever', 'always', 'incessantly', 'perpetually', ""e'er"", 'forever', 'invariably', 'constantly']",The Ikon
sound,"['effectual', 'vocalise', 'levelheaded', 'well-grounded', 'auditory_sensation', 'profound', 'phone', 'healthy', 'audio', 'legal', 'strait', 'speech_sound', 'sound', 'good', 'level-headed', 'fathom', 'intelligent', 'go', 'reasoned', 'wakeless', 'vocalize', 'voice', 'heavy']",The Ikon
quick,"['warm', 'promptly', 'prompt', 'agile', 'speedy', 'quick', 'flying', 'spry', 'ready', 'fast', 'quickly', 'straightaway', 'immediate', 'nimble']",The Ikon
be,"['exist', 'cost', 'represent', 'make_up', 'be', 'embody', 'follow', 'beryllium', 'Be', 'comprise', 'live', 'constitute', 'equal', 'glucinium', 'personify', 'atomic_number_4']",The Ikon
try,"['prove', 'try_out', 'strain', 'hear', 'adjudicate', 'stress', 'effort', 'taste', 'essay', 'judge', 'sample', 'try', 'assay', 'test', 'endeavor', 'attempt', 'seek', 'try_on', 'examine', 'endeavour', 'render']",The Ikon
him,[],The Ikon
don't,[],The Ikon
which,[],The Ikon
whir,"['purr', 'birr', 'whizz', 'whirr', 'whiz', 'whir', 'whirring']",The Ikon
honest,"['fair', 'dependable', 'good', 'true', 'honest', 'reliable', 'honorable']",The Ikon
because,[],The Ikon
warped,"['falsify', 'buckle', 'garble', 'heave', 'warp', 'warped', 'distort']",The Ikon
went,"['survive', 'pass_away', 'give_way', 'function', 'depart', 'fail', 'locomote', 'expire', 'conk_out', 'blend', 'get_going', 'croak', 'fit', 'run_short', 'snuff_it', 'live_on', 'plump', 'go_away', 'get', 'hold_up', 'operate', 'drop_dead', 'pop_off', 'become', 'live', 'start', 'belong', 'extend', 'conk', 'rifle', 'move', 'run_low', 'blend_in', 'give_out', 'run', 'sound', 'endure', 'hold_out', 'break_down', 'choke', 'decease', 'travel', 'perish', ""cash_in_one's_chips"", 'die', 'work', 'go', 'kick_the_bucket', 'buy_the_farm', 'pass', 'lead', 'break', 'exit', 'give-up_the_ghost', 'proceed', 'go_bad', 'last']",The Ikon
speak,"['utter', 'address', 'talk', 'mouth', 'verbalize', 'verbalise', 'speak']",The Ikon
Off,"['remove', 'off', 'cancelled', 'turned', 'sour', 'dispatch', 'slay', 'hit', 'polish_off', 'forth', 'murder', 'bump_off', 'away']",The Ikon
hand,"['pass_on', 'mitt', 'turn_over', 'hand', 'manus', 'script', 'deal', 'hired_hand', 'pass', 'helping_hand', 'handwriting', 'give', 'bridge_player', 'paw', 'reach', 'hired_man']",The Ikon
angry,"['wild', 'angry', 'raging', 'furious', 'tempestuous']",The Ikon
hulk,"['heavyweight', 'hulk', 'tower', 'whale', 'giant', 'loom', 'predominate']",The Ikon
size,"['size', 'sizing', 'size_of_it']",The Ikon
supports,"['substantiate', 'financial_support', 'corroborate', 'brook', 'sustain', 'stomach', 'support', 'indorse', 'bread_and_butter', 'funding', 'confirm', 'keep', 'abide', 'underpin', 'stick_out', 'suffer', 'subscribe', 'hold_up', 'plunk_for', 'bear', 'patronise', 'stand', 'patronize', 'livelihood', 'reinforcement', 'accompaniment', 'affirm', 'backing', 'documentation', 'endorse', 'back_up', 'fend_for', 'endure', 'musical_accompaniment', 'supporting', 'backup', 'living', 'financial_backing', 'patronage', 'keep_going', 'put_up', 'plump_for', 'reenforcement', 'tolerate', 'sustenance', 'bear_out', 'hold', 'defend', 'digest', 'back']",The Ikon
walk,"['take_the_air', 'walking', 'walk_of_life', 'walk', 'pass', 'walkway', 'manner_of_walking', 'paseo', 'base_on_balls']",The Ikon
safe,"['prophylactic', 'dependable', 'safety', 'good', 'rubber', 'secure', 'condom', 'safe']",The Ikon
overheat,['overheat'],The Ikon
Give,"['apply', 'give_way', 'spring', 'gift', 'give', 'grant', 'generate', 'contribute', 'kick_in', 'establish', 'make', 'collapse', 'present', 'founder', 'return', 'chip_in', 'throw', 'consecrate', 'reach', 'open', 'ease_up', 'yield', 'have', 'leave', 'commit', 'springiness', 'pay', 'fall_in', 'afford', 'cave_in', 'dedicate', 'pass_on', 'hold', 'impart', 'hand', 'turn_over', 'move_over', 'devote', 'pass', 'break', 'feed', 'sacrifice', 'render']",The Ikon
