w,vector_semantico
here,"['here', 'Here', 'Hera', 'hither']",Encounter with Evil
catchup,[],Encounter with Evil
clock,"['clock', 'time']",Encounter with Evil
right,"['decently', 'flop', 'mightily', 'right_field', 'mighty', 'right', 'powerful', 'aright', 'rightfield', 'justly', 'ripe', 'right_wing', 'rectify', 'rightfulness', 'compensate', 'in_good_order', 'correctly', 'good', 'properly', 'right_on', 'redress', 'proper', 'correct', 'right_hand', 'veracious', 'right-hand', 'the_right_way', 'decent']",Encounter with Evil
as,"['a', 'As', 'amp', 'as', 'deoxyadenosine_monophosphate', 'AS', 'adenine', 'every_bit', 'vitamin_A', 'A', 'ampere', 'angstrom', 'group_A', 'Eastern_Samoa', 'equally', 'angstrom_unit', 'arsenic', 'axerophthol', 'American_Samoa', 'atomic_number_33', 'antiophthalmic_factor', 'type_A']",Encounter with Evil
kind,"['sort', 'form', 'tolerant', 'variety', 'genial', 'kind']",Encounter with Evil
really,"['really', 'rattling', 'actually', 'truly', 'very', 'genuinely', 'real', 'in_truth']",Encounter with Evil
actions,"['fulfill', 'fulfil', 'process', 'sue', 'accomplish', 'legal_action', 'execute', 'natural_process', 'carry_through', 'natural_action', 'action_at_law', 'action_mechanism', 'carry_out', 'action', 'activity', 'litigate', 'activeness', 'military_action']",Encounter with Evil
sucked,"['soak_up', 'suck_in', 'fellate', 'nurse', 'suckle', 'suck_up', 'absorb', 'draw', 'wet-nurse', 'breastfeed', 'imbibe', 'suck', 'blow', 'sop_up', 'go_down_on', 'take_up', 'give_suck', 'lactate', 'take_in']",Encounter with Evil
curse,"['imprecate', 'jinx', 'damn', 'curse', 'whammy', 'anathemise', 'swear', 'nemesis', 'anathemize', 'curse_word', 'cuss', 'swearing', 'unchurch', 'oath', 'beshrew', 'maledict', 'condemnation', 'execration', 'hex', 'bedamn', 'bane', 'blaspheme', 'expletive', 'swearword', 'excommunicate', 'torment', 'scourge']",Encounter with Evil
muttered,"['maunder', 'murmur', 'mutter', 'gnarl', 'mussitate', 'grumble', 'croak', 'mumble']",Encounter with Evil
little,"['trivial', 'slight', 'piffling', 'short', 'piddling', 'little', 'petty', 'niggling', 'footling', 'picayune', 'minuscule', 'fiddling', 'lilliputian', 'small']",Encounter with Evil
at,"['astatine', 'atomic_number_85', 'at', 'At']",Encounter with Evil
mouth,"['utter', 'oral_cavity', 'back_talk', 'mouthpiece', 'lip', 'verbalize', 'oral_fissure', 'sass', 'talk', 'rima_oris', 'mouth', 'backtalk', 'verbalise', 'speak', 'sassing']",Encounter with Evil
pushed,"['advertize', 'promote', 'labour', 'push', 'labor', 'advertise', 'tug', 'fight', 'crusade', 'force', 'crowd', 'press', 'campaign', 'agitate', 'bear_on', 'drive']",Encounter with Evil
In,"['inch', 'inwards', 'indium', 'inward', 'Indiana', 'In', 'in', 'IN', 'atomic_number_49', 'Hoosier_State']",Encounter with Evil
always,"['ever', 'always', 'incessantly', 'perpetually', ""e'er"", 'forever', 'invariably', 'constantly']",Encounter with Evil
sound,"['effectual', 'vocalise', 'levelheaded', 'well-grounded', 'auditory_sensation', 'profound', 'phone', 'healthy', 'audio', 'legal', 'strait', 'speech_sound', 'sound', 'good', 'level-headed', 'fathom', 'intelligent', 'go', 'reasoned', 'wakeless', 'vocalize', 'voice', 'heavy']",Encounter with Evil
be,"['exist', 'cost', 'represent', 'make_up', 'be', 'embody', 'follow', 'beryllium', 'Be', 'comprise', 'live', 'constitute', 'equal', 'glucinium', 'personify', 'atomic_number_4']",Encounter with Evil
try,"['prove', 'try_out', 'strain', 'hear', 'adjudicate', 'stress', 'effort', 'taste', 'essay', 'judge', 'sample', 'try', 'assay', 'test', 'endeavor', 'attempt', 'seek', 'try_on', 'examine', 'endeavour', 'render']",Encounter with Evil
him,[],Encounter with Evil
don't,[],Encounter with Evil
drove,"['force_back', 'take', 'motor', 'labour', 'get', 'ride', 'force', 'drive', 'drove_chisel', 'push_back', 'push', 'drove', 'repel', 'ram', 'repulse', 'horde', 'swarm', 'labor', 'beat_back', 'aim', 'tug']",Encounter with Evil
