w,vector_semantico
memorial,"['memorial', 'remembrance', 'monument', 'commemoration']",A Wreath for Garibaldi
Vatican,"['Vatican', 'Vatican_Palace']",A Wreath for Garibaldi
sentimental,"['sentimental', 'mushy', 'bathetic', 'schmaltzy', 'soppy', 'drippy', 'mawkish', 'maudlin', 'schmalzy', 'hokey', 'slushy', 'soupy', 'kitschy']",A Wreath for Garibaldi
like,"['wish', 'like', 'corresponding', 'comparable', 'the_like', 'care', 'same', 'alike', 'ilk', 'similar', 'the_likes_of']",A Wreath for Garibaldi
either,['either'],A Wreath for Garibaldi
new,"['newfangled', 'New', 'novel', 'new', 'newly', 'unexampled', 'freshly', 'fresh', 'young', 'raw', 'Modern']",A Wreath for Garibaldi
seen,"['image', 'project', 'assure', 'come_across', 'realize', 'find_out', 'regard', 'determine', 'take_in', 'catch', 'figure', 'ensure', 'reckon', 'look', 'construe', 'hear', 'run_across', 'fancy', 'consider', 'learn', 'realise', 'get_word', 'visit', 'discover', 'go_through', 'watch', 'examine', 'escort', 'understand', 'get_a_line', 'go_steady', 'witness', 'pick_up', 'see_to_it', 'view', 'visualize', 'encounter', 'find', 'go_out', 'envision', 'run_into', 'interpret', 'date', 'take_care', 'picture', 'control', 'ascertain', 'get_wind', 'visualise', 'check', 'attend', 'experience', 'insure', 'see', 'meet']",A Wreath for Garibaldi
treatment,"['handling', 'treatment', 'intervention', 'discourse', 'discussion']",A Wreath for Garibaldi
Day,"['day', 'twenty-four_hours', 'mean_solar_day', 'daylight', 'solar_day', 'sidereal_day', 'Clarence_Day', 'daytime', 'Day', 'twenty-four_hour_period', '24-hour_interval', 'Clarence_Shepard_Day_Jr.']",A Wreath for Garibaldi
into,[],A Wreath for Garibaldi
small,"['small-scale', 'minor', 'minuscule', 'little', 'diminished', 'modest', 'low', 'small', 'humble', 'pocket-size', 'belittled', 'pocket-sized', 'lowly']",A Wreath for Garibaldi
I,"['ane', 'unity', 'single', '1', 'iodin', 'I', 'i', 'one', 'atomic_number_53', 'ace', 'iodine']",A Wreath for Garibaldi
most,"['near', 'nigh', 'well-nigh', 'nearly', 'about', 'almost', 'virtually', 'most', 'to_the_highest_degree']",A Wreath for Garibaldi
30th,"['30th', 'thirtieth']",A Wreath for Garibaldi
station,"['post', 'send', 'place', 'station']",A Wreath for Garibaldi
So,"['and_so', 'hence', 'thus', 'therefore', 'thence', 'indeed', 'sol', 'then', 'soh', 'so', 'thusly', 'and_then']",A Wreath for Garibaldi
sculptor,"['sculpturer', 'sculptor', 'Sculptor', 'statue_maker', 'carver']",A Wreath for Garibaldi
Linz,"['Linz', 'Lentia']",A Wreath for Garibaldi
shot,"['scud', 'flash', 'gibe', 'blast', 'inject', 'fritter_away', 'guesswork', 'guessing', 'dash', 'germinate', 'guess', 'dig', 'hit', 'iridescent', 'film', 'pip', 'fool_away', 'fool', 'shooter', 'shooting', 'shot', 'snap', 'charge', 'scoot', 'dissipate', 'slam', 'crack', 'stroke', 'blastoff', 'shoot', 'burgeon_forth', 'shoot_down', 'pullulate', 'shaft', 'chatoyant', 'jibe', 'barb', 'tear', 'changeable', 'scene', 'injection', 'snapshot', 'frivol_away', 'buck', 'photograph', 'fritter', 'dead_reckoning', 'stab', 'dart', 'spud', 'sprout', 'pellet', 'take', 'bourgeon', 'nip']",A Wreath for Garibaldi
Pickett's,[],A Wreath for Garibaldi
been,"['equal', 'constitute', 'follow', 'be', 'exist', 'embody', 'live', 'make_up', 'cost', 'personify', 'represent', 'comprise']",A Wreath for Garibaldi
April,"['Apr', 'April']",A Wreath for Garibaldi
march,"['butt_against', 'butt_on', 'Mar', 'border', 'marching', 'butt', 'edge', 'marchland', 'marching_music', 'exhibit', 'borderland', 'march', 'border_district', 'demonstrate', 'abut', 'parade', 'Master_of_Architecture', 'March', 'adjoin', 'MArch', 'process']",A Wreath for Garibaldi
end,"['close', 'end', 'terminal', 'finish', 'stop', 'last', 'conclusion', 'goal', 'final_stage', 'death', 'cease', 'ending', 'remainder', 'oddment', 'remnant', 'destruction', 'terminate', 'closing']",A Wreath for Garibaldi
down,"['pile', 'blue', 'downcast', 'downhearted', 'land', 'kill', 'low-spirited', 'down_pat', 'consume', 'fine-tune', 'downwardly', 'dispirited', 'push_down', 'refine', 'polish', 'toss_off', 'knock_down', 'low', 'devour', 'down_feather', 'down', 'go_through', 'depressed', 'Down', 'grim', 'cut_down', 'shoot_down', 'pull_down', 'downward', 'drink_down', 'gloomy', 'bolt_down', 'John_L._H._Down', 'pop', 'belt_down', 'down_in_the_mouth', 'pour_down', 'downwards', 'mastered']",A Wreath for Garibaldi
feel,"['feel', 'flavor', 'smell', 'experience', 'flavour', 'tone', 'sense', 'finger', 'palpate', 'find', 'feeling', 'spirit', 'tactile_property', 'look']",A Wreath for Garibaldi
waiting,"['wait', 'waitress', 'waiting', 'hold_off', 'await', 'hold_back', 'expect', 'ready_and_waiting', 'look']",A Wreath for Garibaldi
ones,"['unity', 'single', '1', 'I', 'one', 'ace']",A Wreath for Garibaldi
Southerners,['Southerner'],A Wreath for Garibaldi
straight,"['heterosexual', 'direct', 'flat', 'uncoiled', 'true', 'straight_person', 'unbent', 'unbowed', 'straightaway', 'heterosexual_person', 'consecutive', 'straightforward', 'directly', 'neat', 'full-strength', 'straight', 'square']",A Wreath for Garibaldi
rows,"['row', 'wrangle', 'run-in', 'rowing', 'course', 'quarrel', 'dustup', 'words']",A Wreath for Garibaldi
known,"['cognize', 'fuck', 'get_laid', 'have_a_go_at_it', 'have_it_away', 'bed', 'have_it_off', 'sleep_together', 'sleep_with', 'have_intercourse', 'recognize', 'cognise', 'live', 'acknowledge', 'make_out', 'make_love', 'love', 'bang', 'jazz', 'recognise', 'bonk', 'be_intimate', 'lie_with', 'screw', 'hump', 'known', 'roll_in_the_hay', 'have_sex', 'eff', 'know', 'get_it_on', 'do_it', 'experience']",A Wreath for Garibaldi
A,"['vitamin_A', 'A', 'deoxyadenosine_monophosphate', 'adenine', 'a', 'group_A', 'amp', 'ampere', 'angstrom', 'type_A', 'antiophthalmic_factor', 'axerophthol', 'angstrom_unit']",A Wreath for Garibaldi
city,"['metropolis', 'city', 'urban_center']",A Wreath for Garibaldi
Rottosei,[],A Wreath for Garibaldi
'',[],A Wreath for Garibaldi
himself,[],A Wreath for Garibaldi
publishers,"['publisher', 'publishing_company', 'newspaper_publisher', 'publishing_house', 'publishing_firm']",A Wreath for Garibaldi
commemorated,"['record', 'memorialise', 'mark', 'commemorate', 'immortalise', 'memorialize', 'immortalize', 'remember']",A Wreath for Garibaldi
escape,"['escape', 'bunk', 'run_away', 'escape_valve', 'evasion', 'hightail_it', 'escape_cock', 'elude', 'turn_tail', 'safety_valve', 'head_for_the_hills', 'dodging', 'get_away', 'flight', 'fly_the_coop', 'run', 'get_out', 'break_away', 'leakage', 'miss', 'relief_valve', 'leak', 'scat', 'scarper', 'take_to_the_woods', 'lam', 'outflow', 'get_off', 'get_by', 'escapism', 'break_loose']",A Wreath for Garibaldi
Sky,"['flip', 'sky', 'pitch', 'toss']",A Wreath for Garibaldi
paid,"['compensate', 'pay', 'pay_up', 'bear', 'pay_off', 'paid', 'yield', 'give', 'ante_up', 'devote', 'make_up', 'nonrecreational', 'paying', 'gainful']",A Wreath for Garibaldi
top,"['overstep', 'top', 'big_top', 'crest', 'tiptop', 'top_off', 'upper_side', 'tip', 'crown', 'height', 'cover', 'lead', 'pinnacle', 'superlative', 'acme', 'whirligig', 'pinch', 'top_out', 'top_side', 'circus_tent', 'go_past', 'summit', 'teetotum', 'transcend', 'top_of_the_inning', 'elevation', 'clear', 'pass', 'meridian', 'round_top', 'exceed', 'upside', 'peak', 'spinning_top']",A Wreath for Garibaldi
