w,vector_semantico
A,"['vitamin_A', 'A', 'a', 'axerophthol', 'deoxyadenosine_monophosphate', 'group_A', 'ampere', 'amp', 'type_A', 'angstrom', 'adenine', 'angstrom_unit', 'antiophthalmic_factor']",Rhode Island Legislative Council. Research Report Number 1
Automobile,"['motorcar', 'machine', 'car', 'auto', 'automobile']",Rhode Island Legislative Council. Research Report Number 1
experience,"['get', 'experience', 'have', 'live', 'know', 'see', 'go_through', 'receive', 'feel']",Rhode Island Legislative Council. Research Report Number 1
variously,"['multifariously', 'variously', 'diversely']",Rhode Island Legislative Council. Research Report Number 1
replacement,"['replacement', 'surrogate', 'transposition', 'successor', 'refilling', 'substitute', 'permutation', 'renewal', 'switch', 'substitution', 'alternate', 'replacing', 'replenishment']",Rhode Island Legislative Council. Research Report Number 1
total,"['number', 'summate', 'add', 'total', 'totality', 'sum_up', 'come', 'sum', 'tot_up', 'tote_up', 'tot', 'add_together', 'full', 'aggregate', 'entire', 'tally', 'amount', 'add_up']",Rhode Island Legislative Council. Research Report Number 1
left,"['get_out', 'leave_alone', 'go_away', 'left', 'left-hand', 'entrust', 'remaining', 'allow_for', 'exit', 'left_over', 'left_hand', 'go_out', 'pull_up_stakes', 'leftfield', 'go_forth', 'leftover', 'odd', 'impart', 'allow', 'leave', 'provide', 'depart', 'unexpended', 'left_wing', 'will', 'pass_on', 'bequeath', 'forget', 'leave_behind', 'left_field', 'lead', 'result', 'give']",Rhode Island Legislative Council. Research Report Number 1
'30s,[],Rhode Island Legislative Council. Research Report Number 1
confined,"['throttle', 'restrain', 'trammel', 'enclose', 'captive', 'limit', 'imprisoned', 'restrict', 'bound', 'confine', 'detain', 'hold_in', 'jailed', 'hold', 'circumscribe', 'confined']",Rhode Island Legislative Council. Research Report Number 1
closely,"['closely', 'intimately', 'nearly', 'tight', 'close']",Rhode Island Legislative Council. Research Report Number 1
effectiveness,"['effectuality', 'potency', 'effectiveness', 'effectivity', 'strength', 'effectualness']",Rhode Island Legislative Council. Research Report Number 1
4,"['iv', 'quartet', 'quadruplet', '4', 'IV', 'four', 'quaternary', 'quatern', 'quaternity', 'foursome', 'tetrad', 'Little_Joe', 'quaternion']",Rhode Island Legislative Council. Research Report Number 1
growth,"['ontogenesis', 'growing', 'maturation', 'ontogeny', 'outgrowth', 'growth', 'development', 'increment', 'increase', 'emergence']",Rhode Island Legislative Council. Research Report Number 1
procedure,"['subroutine', 'process', 'procedure', 'operation', 'subprogram', 'routine', 'function']",Rhode Island Legislative Council. Research Report Number 1
with,[],Rhode Island Legislative Council. Research Report Number 1
steadily,"['steady', 'steadily']",Rhode Island Legislative Council. Research Report Number 1
Works,"['kit_and_caboodle', 'piece_of_work', 'whole_kit_and_caboodle', 'employment', 'make', 'whole_kit_and_boodle', 'whole_works', 'whole_kit', 'bring', 'industrial_plant', 'kit_and_boodle', 'function', 'solve', 'wreak', 'works', 'deeds', 'oeuvre', 'operate', 'exploit', 'do_work', 'crop', 'work', 'exercise', 'mould', 'knead', 'form', 'workplace', 'whole_shebang', 'process', 'body_of_work', 'work_out', 'forge', 'play', 'whole_caboodle', 'plant', 'workings', 'make_for', 'cultivate', 'run', 'study', 'full_treatment', 'act', 'act_upon', 'shape', 'puzzle_out', 'go', 'influence', 'turn', 'figure_out', 'put_to_work', 'lick', 'sour', 'ferment', 'mold', 'work_on']",Rhode Island Legislative Council. Research Report Number 1
dates,"['date', 'date_stamp', 'day_of_the_month', 'appointment', 'go_out', 'escort', 'see', 'engagement', 'particular_date', 'go_steady']",Rhode Island Legislative Council. Research Report Number 1
refinements,"['elaboration', 'nuance', 'polish', 'cultivation', 'culture', 'refining', 'nicety', 'finish', 'subtlety', 'refinement', 'shade', 'civilization', 'purification', 'civilisation']",Rhode Island Legislative Council. Research Report Number 1
well-administered,[],Rhode Island Legislative Council. Research Report Number 1
driver,"['driver', 'number_one_wood', 'device_driver']",Rhode Island Legislative Council. Research Report Number 1
immediately,"['immediately', 'directly', 'straightaway', 'like_a_shot', 'instantly', 'right_away', 'now', 'at_once', 'straight_off', 'forthwith']",Rhode Island Legislative Council. Research Report Number 1
uniformly,['uniformly'],Rhode Island Legislative Council. Research Report Number 1
who,"['World_Health_Organization', 'WHO']",Rhode Island Legislative Council. Research Report Number 1
past,"['past_tense', 'retiring', 'past', 'yesteryear', 'preceding', 'past_times', 'by']",Rhode Island Legislative Council. Research Report Number 1
similarly,"['likewise', 'similarly']",Rhode Island Legislative Council. Research Report Number 1
survey,"['study', 'sight', 'view', 'go_over', 'survey', 'surveil', 'sketch', 'appraise', 'follow', 'review', 'resume']",Rhode Island Legislative Council. Research Report Number 1
tires,"['wear_out', 'outwear', 'fatigue', 'weary', 'wear_upon', 'tire_out', 'exhaust', 'tyre', 'wear', 'play_out', 'sap', 'wear_down', 'bore', 'fag_out', 'tire', 'run_down', 'pall', 'jade', 'fag']",Rhode Island Legislative Council. Research Report Number 1
"22,000",[],Rhode Island Legislative Council. Research Report Number 1
This,[],Rhode Island Legislative Council. Research Report Number 1
behind,"['butt', 'stern', 'tail_end', 'hindquarters', 'fanny', 'tush', 'tail', 'buttocks', 'buns', 'in_arrears', 'posterior', 'keister', 'tooshie', 'nates', 'prat', 'seat', 'behindhand', 'ass', 'hind_end', 'bum', 'backside', 'behind', 'can', 'bottom', 'rear', 'rump', 'slow', 'rear_end', 'derriere', 'fundament', 'arse']",Rhode Island Legislative Council. Research Report Number 1
In,"['atomic_number_49', 'indium', 'inwards', 'inch', 'IN', 'in', 'In', 'inward', 'Indiana', 'Hoosier_State']",Rhode Island Legislative Council. Research Report Number 1
economical,"['economic', 'economical', 'scotch', 'sparing', 'stinting', 'frugal']",Rhode Island Legislative Council. Research Report Number 1
purchase,"['purchase', 'buy', 'leverage']",Rhode Island Legislative Council. Research Report Number 1
made,"['take_a_shit', 'arrive_at', 'lay_down', 'make', 'make_believe', 'draw', 'take_in', 'take_a_leak', 'wee', 'clear', 'realise', 'cause', 'hit', 'micturate', 'urinate', 'pee', 'earn', 'constitute', 'construct', 'cook', 'stool', 'piddle', 'have', 'pull_in', 'build', 'spend_a_penny', 'ready', 'get_to', 'do', 'make_water', 'progress_to', 'relieve_oneself', 'wee-wee', 'work', 'get', 'form', 'throw', 'make_up', 'induce', 'name', 'attain', 'score', 'puddle', 'create', 'reach', 'defecate', 'fix', 'stimulate', 'bring_in', 'pretend', 'take', 'pass_water', 'produce', 'gain', 'establish', 'realize', 'take_a_crap', 'made', 'give', 'piss', 'prepare', 'hold', 'seduce', 'crap', 'pee-pee', 'ca-ca', 'nominate', 'shit']",Rhode Island Legislative Council. Research Report Number 1
signify,"['mean', 'stand_for', 'intend', 'signify']",Rhode Island Legislative Council. Research Report Number 1
concerning,"['bear_on', 'pertain', 'come_to', 'concern', 'relate', 'touch_on', 'have-to_doe_with', 'touch', 'occupy', 'worry', 'refer', 'interest']",Rhode Island Legislative Council. Research Report Number 1
Meaningful,['meaningful'],Rhode Island Legislative Council. Research Report Number 1
unduly,['unduly'],Rhode Island Legislative Council. Research Report Number 1
replace,"['interchange', 'exchange', 'supercede', 'supersede', 'put_back', 'replace', 'substitute', 'supplant', 'supervene_upon']",Rhode Island Legislative Council. Research Report Number 1
accomplish,"['action', 'attain', 'carry_through', 'carry_out', 'execute', 'accomplish', 'fulfill', 'achieve', 'reach', 'fulfil']",Rhode Island Legislative Council. Research Report Number 1
So,"['sol', 'thusly', 'therefore', 'indeed', 'and_so', 'soh', 'thus', 'thence', 'then', 'and_then', 'hence', 'so']",Rhode Island Legislative Council. Research Report Number 1
repair,"['remedy', 'stamping_ground', 'repair', 'restore', 'renovate', 'fixing', 'amend', 'quicken', 'resort', 'furbish_up', 'mending', 'recreate', 'reparation', 'vivify', 'doctor', 'mend', 'remediate', 'revivify', 'indemnify', 'compensate', 'touch_on', 'bushel', 'animate', 'haunt', 'rectify', 'fix', 'recompense', 'fixture', 'revive', 'reanimate', 'hangout']",Rhode Island Legislative Council. Research Report Number 1
flexible,"['pliable', 'whippy', 'compromising', 'pliant', 'flexible', 'flexile', 'conciliatory', 'elastic']",Rhode Island Legislative Council. Research Report Number 1
antiquated,"['antediluvian', 'antiquated', 'archaic', 'antiquate', 'antique']",Rhode Island Legislative Council. Research Report Number 1
war,"['war', 'state_of_war', 'warfare']",Rhode Island Legislative Council. Research Report Number 1
called,"['ring', 'shout_out', 'anticipate', 'promise', 'cry', 'shout', 'yell', 'predict', 'foretell', 'call_off', 'forebode', 'squall', 'visit', 'call', 'phone', 'hollo', 'call_in', 'name', 'prognosticate', 'holler', 'telephone', 'send_for', 'address', 'scream', 'bid', 'call_up']",Rhode Island Legislative Council. Research Report Number 1
Twenty-six,"['26', 'XXVI', 'twenty-six', 'xxvi']",Rhode Island Legislative Council. Research Report Number 1
to,[],Rhode Island Legislative Council. Research Report Number 1
in,"['atomic_number_49', 'indium', 'inwards', 'inch', 'IN', 'in', 'In', 'inward', 'Indiana', 'Hoosier_State']",Rhode Island Legislative Council. Research Report Number 1
recently,"['latterly', 'of_late', 'recently', 'lately', 'late']",Rhode Island Legislative Council. Research Report Number 1
headquarter,['headquarter'],Rhode Island Legislative Council. Research Report Number 1
Registry,"['registry', 'register']",Rhode Island Legislative Council. Research Report Number 1
payment,"['payment', 'requital', 'defrayal', 'defrayment']",Rhode Island Legislative Council. Research Report Number 1
operating,"['operating', 'run', 'maneuver', 'in_operation', 'go', 'control', 'mesh', 'operate', 'manoeuver', 'manoeuvre', 'engage', 'lock', 'operate_on', 'operational', 'work', 'function']",Rhode Island Legislative Council. Research Report Number 1
Whether,[],Rhode Island Legislative Council. Research Report Number 1
Vehicle,"['fomite', 'vehicle']",Rhode Island Legislative Council. Research Report Number 1
assistance,"['help', 'assistance', 'assist', 'aid']",Rhode Island Legislative Council. Research Report Number 1
annually,"['per_annum', 'p.a.', 'annually', 'yearly', 'per_year', 'every_year', 'each_year']",Rhode Island Legislative Council. Research Report Number 1
Forty-seven,"['forty-seven', 'xlvii', '47']",Rhode Island Legislative Council. Research Report Number 1
Providence,"['providence', 'Providence', 'capital_of_Rhode_Island']",Rhode Island Legislative Council. Research Report Number 1
central,"['cardinal', 'telephone_exchange', 'exchange', 'fundamental', 'primal', 'central', 'key']",Rhode Island Legislative Council. Research Report Number 1
insurance,"['indemnity', 'insurance', 'insurance_policy', 'policy']",Rhode Island Legislative Council. Research Report Number 1
loose,"['unaffixed', 'unloose', 'escaped', 'easy', 'relax', 'at_large', 'liberal', 'idle', 'on_the_loose', 'loose', 'wanton', 'slack', 'free', 'light', 'release', 'unleash', 'informal', 'sluttish', 'loosen', 'unloosen', 'promiscuous', 'let_loose', 'liberate', 'lax', 'open']",Rhode Island Legislative Council. Research Report Number 1
switched,"['interchange', 'exchange', 'flip', 'swop', 'throw', 'trade', 'shift', 'change_over', 'switch_over', 'swap', 'change', 'flip-flop', 'alternate', 'switch', 'tack']",Rhode Island Legislative Council. Research Report Number 1
employee,['employee'],Rhode Island Legislative Council. Research Report Number 1
complete,"['perfect', 'discharge', 'nail', 'pure', 'fill_out', 'sodding', 'utter', 'gross', 'all_over', 'make_out', 'stark', 'over', 'accomplished', 'complete', 'ended', 'terminated', 'consummate', 'thoroughgoing', 'everlasting', 'unadulterated', 'staring', 'dispatch', 'finish', 'fill_in', 'arrant', 'double-dyed', 'concluded']",Rhode Island Legislative Council. Research Report Number 1
Based,"['based', 'establish', 'base', 'found', 'ground', 'free-base']",Rhode Island Legislative Council. Research Report Number 1
Motor,"['motor', 'drive', 'centrifugal', 'motive']",Rhode Island Legislative Council. Research Report Number 1
Police,"['law', 'constabulary', 'police', 'patrol', 'police_force']",Rhode Island Legislative Council. Research Report Number 1
periods,"['period_of_time', 'menstruation', 'menstruum', 'point', 'full_stop', 'geological_period', 'time_period', 'stop', 'flow', 'full_point', 'period', 'catamenia', 'menses']",Rhode Island Legislative Council. Research Report Number 1
:,[],Rhode Island Legislative Council. Research Report Number 1
newly-created,[],Rhode Island Legislative Council. Research Report Number 1
any,"['whatever', 'any', 'whatsoever']",Rhode Island Legislative Council. Research Report Number 1
them,[],Rhode Island Legislative Council. Research Report Number 1
``,[],Rhode Island Legislative Council. Research Report Number 1
help,"['assistance', 'serve', 'assistant', 'aid', 'avail', 'help_oneself', 'helper', 'service', 'facilitate', 'supporter', 'help', 'assist']",Rhode Island Legislative Council. Research Report Number 1
through,"['through_and_through', 'done', 'through', 'through_with']",Rhode Island Legislative Council. Research Report Number 1
registered,"['file', 'cross-file', 'read', 'register', 'show', 'registered', 'record']",Rhode Island Legislative Council. Research Report Number 1
'',[],Rhode Island Legislative Council. Research Report Number 1
estimate,"['approximate', 'estimation', 'approximation', 'judge', 'estimate', 'reckon', 'gauge', 'calculate', 'appraisal', 'figure', 'guess', 'idea', 'count_on', 'forecast']",Rhode Island Legislative Council. Research Report Number 1
determining,"['square_off', 'determining', 'see', 'settle', 'deciding', 'watch', 'decide', 'limit', 'find_out', 'find', 'regulate', 'set', 'define', 'ascertain', 'determine', 'check', 'fix', 'shape', 'determinant', ""make_up_one's_mind"", 'determinative', 'influence', 'square_up', 'learn', 'specify', 'mold']",Rhode Island Legislative Council. Research Report Number 1
Few,['few'],Rhode Island Legislative Council. Research Report Number 1
increased,"['increased', 'increase']",Rhode Island Legislative Council. Research Report Number 1
Probably,"['probably', 'in_all_probability', 'belike', 'likely', 'credibly', 'plausibly', 'in_all_likelihood', 'believably']",Rhode Island Legislative Council. Research Report Number 1
report,"['describe', 'news_report', 'study', 'write_up', 'composition', 'paper', 'story', 'theme', 'written_report', 'report_card', 'cover', 'report', 'account', 'reputation']",Rhode Island Legislative Council. Research Report Number 1
responsibility,"['duty', 'obligation', 'province', 'responsibility', 'responsibleness']",Rhode Island Legislative Council. Research Report Number 1
every,['every'],Rhode Island Legislative Council. Research Report Number 1
except,"['exclude', 'demur', 'leave_off', 'leave_out', 'except', 'take_out', 'omit']",Rhode Island Legislative Council. Research Report Number 1
privately-owned,[],Rhode Island Legislative Council. Research Report Number 1
States,"['state_of_matter', 'Department_of_State', 'commonwealth', 'United_States_Department_of_State', 'submit', 'province', 'posit', 'body_politic', 'tell', 'express', 'state', 'say', 'country', 'DoS', 'State', 'land', 'State_Department', 'nation', 'res_publica', 'put_forward']",Rhode Island Legislative Council. Research Report Number 1
has,"['sustain', 'experience', 'give_birth', 'make', 'take_in', 'hour_angle', 'suffer', 'have_got', 'cause', 'accept', 'own', 'have', 'feature', 'ingest', 'consume', 'get', 'bear', 'throw', 'induce', 'let', 'stimulate', 'birth', 'possess', 'take', 'deliver', 'give', 'HA', 'hold', 'receive']",Rhode Island Legislative Council. Research Report Number 1
lack,"['deficiency', 'want', 'lack', 'miss']",Rhode Island Legislative Council. Research Report Number 1
charge,"['tear', 'institutionalize', 'explosive_charge', 'flush', 'burden', 'kick', 'shoot_down', 'bear_down', 'turn_on', 'commission', 'accusation', 'care', 'burster', 'armorial_bearing', 'tutelage', 'file', 'appoint', 'institutionalise', 'bearing', 'blame', 'cathexis', 'bursting_charge', 'electric_charge', 'guardianship', 'charge', 'lodge', 'load', 'point', 'commit', 'level', 'excite', 'buck', 'billing', 'bang', 'complaint', 'bill', 'thrill', 'accuse', 'rush', 'charge_up', 'saddle', 'direction', 'mission', 'consign', 'agitate', 'send', 'commove', 'rouse', 'boot', 'shoot', 'heraldic_bearing']",Rhode Island Legislative Council. Research Report Number 1
was,"['constitute', 'WA', 'equal', 'Evergreen_State', 'embody', 'cost', 'comprise', 'represent', 'make_up', 'live', 'be', 'exist', 'follow', 'personify', 'Washington']",Rhode Island Legislative Council. Research Report Number 1
attempt,"['essay', 'seek', 'try', 'effort', 'set_about', 'attack', 'undertake', 'endeavour', 'assay', 'endeavor', 'attempt']",Rhode Island Legislative Council. Research Report Number 1
Unit,"['whole', 'unit', 'social_unit', 'building_block', 'unit_of_measurement']",Rhode Island Legislative Council. Research Report Number 1
develop,"['spring_up', 'explicate', 'evolve', 'uprise', 'build_up', 'arise', 'formulate', 'originate', 'grow', 'acquire', 'modernize', 'educate', 'develop', 'get', 'train', 'break', 'germinate', 'rise', 'modernise', 'produce', 'recrudesce', 'prepare', 'make_grow']",Rhode Island Legislative Council. Research Report Number 1
lend,"['lend', 'bestow', 'add', 'loan', 'bring', 'contribute', 'impart']",Rhode Island Legislative Council. Research Report Number 1
title,"['claim', 'deed', 'rubric', 'title', 'statute_title', 'championship', 'entitle', 'style', 'form_of_address', 'title_of_respect', 'deed_of_conveyance']",Rhode Island Legislative Council. Research Report Number 1
years,"['years', 'yr', 'old_age', 'age', 'twelvemonth', 'class', 'days', 'eld', 'geezerhood', 'year', 'long_time']",Rhode Island Legislative Council. Research Report Number 1
governing,"['order', 'governing', 'regularise', 'governance', 'government_activity', 'regulate', 'rule', 'administration', 'government', 'regularize', 'govern']",Rhode Island Legislative Council. Research Report Number 1
for,[],Rhode Island Legislative Council. Research Report Number 1
expenses,"['write_down', 'expense', 'disbursement', 'write_off', 'disbursal']",Rhode Island Legislative Council. Research Report Number 1
$50,[],Rhode Island Legislative Council. Research Report Number 1
been,"['constitute', 'equal', 'embody', 'cost', 'comprise', 'represent', 'make_up', 'live', 'be', 'exist', 'follow', 'personify']",Rhode Island Legislative Council. Research Report Number 1
regulations,"['regulation', 'regulating', 'regularisation', 'regularization', 'ordinance', 'rule']",Rhode Island Legislative Council. Research Report Number 1
important,"['of_import', 'crucial', 'significant', 'important', 'authoritative']",Rhode Island Legislative Council. Research Report Number 1
beyond,['beyond'],Rhode Island Legislative Council. Research Report Number 1
financed,['finance'],Rhode Island Legislative Council. Research Report Number 1
latter,['latter'],Rhode Island Legislative Council. Research Report Number 1
389,[],Rhode Island Legislative Council. Research Report Number 1
public,"['public', 'populace', 'world']",Rhode Island Legislative Council. Research Report Number 1
laws,"['law', 'natural_law', 'legal_philosophy', 'Pentateuch', 'Laws', 'practice_of_law', 'constabulary', 'jurisprudence', 'Torah', 'police', 'law_of_nature', 'police_force']",Rhode Island Legislative Council. Research Report Number 1
subsistence,['subsistence'],Rhode Island Legislative Council. Research Report Number 1
solely,"['entirely', 'only', 'alone', 'exclusively', 'solely']",Rhode Island Legislative Council. Research Report Number 1
fleet,"['pass_off', 'flit', 'fade', 'swift', 'flutter', 'dart', 'blow_over', 'fleet', 'pass', 'evanesce']",Rhode Island Legislative Council. Research Report Number 1
include,"['let_in', 'include', 'admit']",Rhode Island Legislative Council. Research Report Number 1
activities,"['action', 'activity', 'activeness', 'bodily_process', 'natural_action', 'bodily_function', 'body_process', 'natural_process']",Rhode Island Legislative Council. Research Report Number 1
need,"['motivation', 'involve', 'necessitate', 'want', 'take', 'call_for', 'motive', 'postulate', 'require', 'penury', 'ask', 'pauperism', 'demand', 'pauperization', 'indigence', 'need']",Rhode Island Legislative Council. Research Report Number 1
advent,"['Second_Advent', 'Second_Coming_of_Christ', 'Advent', 'coming', 'Second_Coming', 'Parousia', 'advent']",Rhode Island Legislative Council. Research Report Number 1
and,[],Rhode Island Legislative Council. Research Report Number 1
"16,000",[],Rhode Island Legislative Council. Research Report Number 1
B,"['B-complex_vitamin', 'vitamin_B', 'b', 'atomic_number_5', 'B', 'bacillus', 'group_B', 'B_vitamin', 'vitamin_B_complex', 'Bel', 'B_complex', 'barn', 'boron', 'type_B']",Rhode Island Legislative Council. Research Report Number 1
duties,"['tariff', 'duty', 'obligation', 'responsibility']",Rhode Island Legislative Council. Research Report Number 1
met,"['run_across', 'cope_with', 'see', 'meet', 'fulfill', 'suffer', 'foregather', 'fill', 'converge', 'assemble', 'get_together', 'contact', 'encounter', 'come_across', 'fulfil', 'fit', 'take_on', 'adjoin', 'play', 'gather', 'conform_to', 'forgather', 'satisfy', 'match', 'touch', 'receive', 'run_into']",Rhode Island Legislative Council. Research Report Number 1
restrictions,"['restriction', 'confinement', 'limitation']",Rhode Island Legislative Council. Research Report Number 1
engineers,"['railroad_engineer', 'direct', 'applied_scientist', 'organize', 'engine_driver', 'organise', 'orchestrate', 'technologist', 'mastermind', 'locomotive_engineer', 'engineer']",Rhode Island Legislative Council. Research Report Number 1
drivers,"['driver', 'number_one_wood', 'device_driver']",Rhode Island Legislative Council. Research Report Number 1
costs,"['monetary_value', 'toll', 'cost', 'price', 'be', 'costs']",Rhode Island Legislative Council. Research Report Number 1
averaged,"['average', 'average_out']",Rhode Island Legislative Council. Research Report Number 1
23,"['XXIII', '23', 'xxiii', 'twenty-three']",Rhode Island Legislative Council. Research Report Number 1
allowances,"['leeway', 'tolerance', 'adjustment', 'allowance_account', 'margin', 'valuation_reserve', 'allowance', 'valuation_account']",Rhode Island Legislative Council. Research Report Number 1
all,"['entirely', 'all', 'whole', 'completely', 'totally', 'altogether', 'wholly']",Rhode Island Legislative Council. Research Report Number 1
equipment,['equipment'],Rhode Island Legislative Council. Research Report Number 1
abuse,"['contumely', 'insult', 'maltreat', 'ill-use', 'vilification', 'step', 'clapperclaw', 'abuse', 'ill-usage', 'maltreatment', 'blackguard', 'shout', 'ill-treat', 'revilement', 'pervert', 'misuse', 'mistreat', 'ill-treatment']",Rhode Island Legislative Council. Research Report Number 1
reasonably,"['fairly', 'pretty', 'moderately', 'sanely', 'sensibly', 'passably', 'somewhat', 'reasonably', 'jolly', 'middling']",Rhode Island Legislative Council. Research Report Number 1
discount,"['disregard', 'deduction', 'bank_discount', 'brush_aside', 'brush_off', 'ignore', 'rebate', 'discount_rate', 'push_aside', 'discount', 'price_reduction', 'dismiss']",Rhode Island Legislative Council. Research Report Number 1
average,"['norm', 'mediocre', 'intermediate', 'average_out', 'modal', 'medium', 'average', 'median', 'mean', 'fair', 'middling', 'ordinary']",Rhode Island Legislative Council. Research Report Number 1
6,"['Captain_Hicks', 'six', 'VI', 'hexad', 'sextuplet', 'half_dozen', 'sextet', 'sestet', 'sixer', 'vi', 'sise', 'half-dozen', '6', 'half_a_dozen']",Rhode Island Legislative Council. Research Report Number 1
Table,"['defer', 'shelve', 'tabulate', 'put_off', 'tabularise', 'put_over', 'postpone', 'prorogue', 'table', 'mesa', 'tabularize', 'set_back', 'remit', 'hold_over', 'tabular_array', 'board']",Rhode Island Legislative Council. Research Report Number 1
too,"['excessively', 'overly', 'besides', 'also', 'to_a_fault', 'likewise', 'as_well', 'too']",Rhode Island Legislative Council. Research Report Number 1
providing,"['provide', 'supply', 'ply', 'cater', 'render', 'bring_home_the_bacon', 'put_up', 'offer', 'allow_for', 'furnish', 'allow', 'leave']",Rhode Island Legislative Council. Research Report Number 1
example,"['illustration', 'object_lesson', 'model', 'deterrent_example', 'case', 'representative', 'lesson', 'exercise', 'good_example', 'example', 'instance', 'exemplar']",Rhode Island Legislative Council. Research Report Number 1
