w,vector_semantico
A,"['vitamin_A', 'A', 'a', 'axerophthol', 'deoxyadenosine_monophosphate', 'group_A', 'ampere', 'amp', 'type_A', 'angstrom', 'adenine', 'angstrom_unit', 'antiophthalmic_factor']",Newark Evening News
16-hour,[],Newark Evening News
steel,"['steel', 'brand', 'nerve', 'blade', 'sword']",Newark Evening News
spark,"['activate', 'Muriel_Sarah_Spark', 'spark', 'actuate', 'discharge', 'touch_off', 'sparkle', 'glint', 'Dame_Muriel_Spark', 'set_off', 'twinkle', 'trigger', 'light', 'Muriel_Spark', 'Spark', 'trip', 'electric_discharge', 'trigger_off', 'flicker', 'spark_off', 'electric_arc', 'arc']",Newark Evening News
Hodges,[],Newark Evening News
week,"['week', 'calendar_week', 'workweek', 'hebdomad']",Newark Evening News
lined,"['describe', 'line', 'seamed', 'draw', 'lined', 'trace', 'delineate', 'run_along']",Newark Evening News
march,"['edge', 'butt', 'butt_on', 'march', 'March', 'marching_music', 'parade', 'Master_of_Architecture', 'marching', 'border', 'process', 'MArch', 'adjoin', 'borderland', 'demonstrate', 'exhibit', 'abut', 'marchland', 'Mar', 'butt_against', 'border_district']",Newark Evening News
criticism,"['critique', 'unfavorable_judgment', 'criticism', 'literary_criticism']",Newark Evening News
Industrial,['industrial'],Newark Evening News
sea,"['sea', 'ocean']",Newark Evening News
preserves,"['bear_on', 'preserve', 'keep_up', 'continue', 'save', 'keep', 'carry_on', 'maintain', 'conserve', 'uphold', 'conserves', 'preserves']",Newark Evening News
agriculture,"['agriculture', 'USDA', 'Agriculture', 'agribusiness', 'farming', 'Department_of_Agriculture', 'factory_farm', 'husbandry', 'Agriculture_Department']",Newark Evening News
year-earlier,[],Newark Evening News
saved,"['lay_aside', 'save', 'carry_through', 'redeem', 'economise', 'saved', 'pull_through', 'spare', 'hold_open', 'make_unnecessary', 'economize', 'save_up', 'write', 'keep_open', 'relieve', 'preserve', 'deliver', 'keep', 'salvage', 'salve', 'protected', 'bring_through']",Newark Evening News
having,"['sustain', 'experience', 'give_birth', 'make', 'take_in', 'suffer', 'have_got', 'cause', 'accept', 'own', 'have', 'feature', 'ingest', 'consume', 'get', 'bear', 'throw', 'induce', 'let', 'stimulate', 'birth', 'possess', 'take', 'deliver', 'give', 'hold', 'receive']",Newark Evening News
acreage,"['acreage', 'land_area']",Newark Evening News
second,"['s', 'endorse', 'moment', 'endorsement', '2nd', 'irregular', 'second', 'sec', 'indorse', 'arcsecond', 'back', 'indorsement', 'minute', 'secondly', 'mo', '2d', 'second_gear', 'bit', 'secondment', 'second_base', 'instant']",Newark Evening News
effectiveness,"['effectuality', 'potency', 'effectiveness', 'effectivity', 'strength', 'effectualness']",Newark Evening News
4,"['iv', 'quartet', 'quadruplet', '4', 'IV', 'four', 'quaternary', 'quatern', 'quaternity', 'foursome', 'tetrad', 'Little_Joe', 'quaternion']",Newark Evening News
complexity,"['complexness', 'complexity']",Newark Evening News
pro-Trujillo,[],Newark Evening News
with,[],Newark Evening News
sailing,"['glide', 'sweep', 'sail', 'sailplaning', 'soaring', 'navigate', 'gliding', 'navigation', 'sailing', 'voyage', 'seafaring']",Newark Evening News
Hoffa,"['James_Riddle_Hoffa', 'Jimmy_Hoffa', 'Hoffa']",Newark Evening News
conclusions,"['decision', 'conclusion', 'closing', 'finale', 'stopping_point', 'finish', 'finis', 'ratiocination', 'termination', 'end', 'close', 'last', 'determination', 'ending']",Newark Evening News
like,"['corresponding', 'wish', 'like', 'similar', 'ilk', 'same', 'alike', 'the_likes_of', 'comparable', 'the_like', 'care']",Newark Evening News
secession,"['withdrawal', 'secession', 'sezession', 'Secession']",Newark Evening News
country,"['commonwealth', 'country', 'rural_area', 'body_politic', 'land', 'state', 'nation', 'res_publica', 'area']",Newark Evening News
who,"['World_Health_Organization', 'WHO']",Newark Evening News
nations,"['commonwealth', 'country', 'Nation', 'Carry_Nation', 'body_politic', 'land', 'state', 'Carry_Amelia_Moore_Nation', 'nation', 'res_publica']",Newark Evening News
prognostication,"['presage', 'prediction', 'prophecy', 'omen', 'prognostication', 'forecasting', 'portent', 'prodigy', 'prognostic', 'vaticination', 'foretelling']",Newark Evening News
alike,"['similar', 'alike', 'like', 'likewise']",Newark Evening News
organization,"['arrangement', 'governing_body', 'brass', 'organisation', 'constitution', 'system', 'governance', 'organization', 'formation', 'establishment', 'administration']",Newark Evening News
coalition,"['coalescency', 'concretion', 'alliance', 'conglutination', 'fusion', 'alinement', 'coalition', 'coalescence', 'alignment']",Newark Evening News
factories,"['manufacturing_plant', 'mill', 'factory', 'manufactory']",Newark Evening News
This,[],Newark Evening News
harboring,"['entertain', 'nurse', 'harbour', 'harbor', 'shield', 'hold']",Newark Evening News
In,"['atomic_number_49', 'indium', 'inwards', 'inch', 'IN', 'in', 'In', 'inward', 'Indiana', 'Hoosier_State']",Newark Evening News
end,"['cease', 'closing', 'conclusion', 'remnant', 'remainder', 'finish', 'goal', 'close', 'terminal', 'stop', 'terminate', 'destruction', 'oddment', 'end', 'final_stage', 'last', 'death', 'ending']",Newark Evening News
direction,"['instruction', 'centering', 'steering', 'counsel', 'focal_point', 'way', 'management', 'guidance', 'focus', 'counseling', 'commission', 'charge', 'focusing', 'counselling', 'focussing', 'direction']",Newark Evening News
putting,"['putting', 'put', 'couch', 'lay', 'invest', 'place', 'arrange', 'order', 'putt', 'commit', 'cast', 'set_up', 'redact', 'set', 'pose', 'frame', 'assign', 'position']",Newark Evening News
towel,['towel'],Newark Evening News
Betting,"['reckon', 'card-playing', 'calculate', 'look', 'wager', 'depend', 'bet', 'sporting', 'betting', 'play', 'dissipated', 'count']",Newark Evening News
thinks,"['opine', 'cogitate', 'believe', 'suppose', 'guess', 'conceive', 'reckon', 'recall', 'intend', 'mean', 'recollect', 'consider', 'imagine', 'remember', 'think', 'cerebrate', 'call_back', 'call_up', 'retrieve']",Newark Evening News
troubles,"['distract', 'inconvenience_oneself', 'incommode', 'upset', 'fuss', 'trouble_oneself', 'ail', 'disoblige', 'problem', 'inconvenience', 'perturb', 'put_out', 'worry', 'unhinge', 'disquiet', 'trouble', 'pain', 'cark', 'difficulty', 'hassle', 'bother', 'discommode', 'disorder', 'disturb']",Newark Evening News
presence,"['presence', 'mien', 'bearing', 'comportment', 'front']",Newark Evening News
based,"['based', 'establish', 'base', 'found', 'ground', 'free-base']",Newark Evening News
vantage,"['advantage', 'vantage']",Newark Evening News
sanctuary,"['sanctuary', 'chancel', 'asylum', 'refuge', 'bema']",Newark Evening News
