w,vector_semantico
wooden,['wooden'], A Cup of the Sun
belied,"['misrepresent', 'contradict', 'belie', 'negate']", A Cup of the Sun
also,"['likewise', 'also', 'too', 'besides', 'as_well']", A Cup of the Sun
tunneled,"['burrow', 'tunnel']", A Cup of the Sun
For,[], A Cup of the Sun
above,"['supra', 'in_a_higher_place', 'higher_up', 'above', 'to_a_higher_place']", A Cup of the Sun
disliked,"['dislike', 'disliked']", A Cup of the Sun
next,"['following', 'succeeding', 'adjacent', 'future', 'next', 'side_by_side']", A Cup of the Sun
grasp,"['hold_on', 'grok', 'clasp', 'grip', 'clench', 'hold', 'grasp', 'compass', 'comprehend', 'savvy', 'dig', 'appreciation', 'reach', 'get_the_picture', 'clutch', 'range', 'apprehend', 'clutches']", A Cup of the Sun
by,"['aside', 'away', 'by', 'past']", A Cup of the Sun
slid,"['slue', 'slew', 'slip', 'slither', 'slide', 'skid']", A Cup of the Sun
swirled,"['swirl', 'whirl', 'purl', 'twirl', 'whirlpool', 'eddy', 'twiddle']", A Cup of the Sun
biggest,"['handsome', 'great', 'adult', 'bountiful', 'openhanded', 'with_child', 'braggart', 'bighearted', 'expectant', 'giving', 'heavy', 'vainglorious', 'boastful', 'self-aggrandizing', 'magnanimous', 'liberal', 'full-grown', 'prominent', 'self-aggrandising', 'bounteous', 'fully_grown', 'swelled', 'cock-a-hoop', 'big', 'freehanded', 'braggy', 'enceinte', 'crowing', 'large', 'grownup', 'bad', 'gravid', 'bragging', 'grown']", A Cup of the Sun
them,[], A Cup of the Sun
released,"['let_go', 'secrete', 'expel', 'unblock', 'give_up', 'unloose', 'bring_out', 'put_out', 'publish', 'exhaust', 'free', 'discharge', 'release', 'unfreeze', 'relinquish', 'turn', 'liberate', 'resign', 'eject', 'issue', 'unloosen', 'loose', 'let_go_of']", A Cup of the Sun
moving,"['make_a_motion', 'strike', 'proceed', 'moving', 'actuate', 'locomote', 'prompt', 'propel', 'act', 'go', 'affect', 'displace', 'incite', 'run', 'be_active', 'impress', 'travel', 'move', 'motivate']", A Cup of the Sun
pact,"['treaty', 'pact', 'accord']", A Cup of the Sun
stretched,"['dilute', 'stretch_out', 'stretched', 'elongate', 'adulterate', 'stretch_along', 'load', 'debase', 'extend', 'stretch', 'unfold']", A Cup of the Sun
That,[], A Cup of the Sun
touch,"['allude', 'adjoin', 'impact', 'touching', 'have-to_doe_with', 'tactile_sensation', 'refer', 'jot', 'soupcon', 'match', 'skin_senses', 'partake', 'bear_on', 'come_to', 'touch', 'equal', 'signature', 'ghost', 'sense_of_touch', 'pertain', 'bear_upon', 'speck', 'extend_to', 'cutaneous_senses', 'advert', 'feeling', 'affect', 'tactual_sensation', 'touch_modality', 'hint', 'tinge', 'trace', 'tint', 'rival', 'touch_sensation', 'meet', 'contact', 'tinct', 'touch_on', 'disturb', 'reach', 'spot', 'pinch', 'stir', 'mite', 'relate', 'concern']", A Cup of the Sun
tapering,"['point', 'tapering_off', 'tapering', 'dwindling', 'taper', 'sharpen', 'tapered', 'narrowing']", A Cup of the Sun
that's,[], A Cup of the Sun
creaking,"['squeak', 'screech', 'screak', 'creak', 'whine', 'skreak', 'creaking']", A Cup of the Sun
downcast,"['downcast', 'low-spirited', 'down', 'blue', 'grim', 'gloomy', 'low', 'dispirited', 'down_in_the_mouth', 'depressed', 'downhearted']", A Cup of the Sun
toes,"['toe', 'toenail']", A Cup of the Sun
smoked,"['smoke-dried', 'smoked', 'fume', 'smoke-cured', 'smoke']", A Cup of the Sun
leg,"['branch', 'leg', 'wooden_leg', 'pegleg', 'ramification', 'stage', 'peg']", A Cup of the Sun
whirling,"['swirl', 'whirl', 'gyrate', 'purl', 'tumble', 'whirl_around', 'twirl', 'whirling', 'whirlpool', 'spin', 'gyration', 'twiddle', 'birl', 'eddy', 'reel', 'spin_around']", A Cup of the Sun
