w,vector_semantico
storage,"['storage', 'store', 'memory_board', 'storehouse', 'computer_memory', 'warehousing', 'repositing', 'memory', 'computer_storage', 'reposition', 'depot', 'entrepot']", The Dallas Morning News
Grover,[], The Dallas Morning News
Dr.,"['Dr.', 'doctor', 'physician', 'MD', 'medico', 'doc']", The Dallas Morning News
also,"['likewise', 'also', 'too', 'besides', 'as_well']", The Dallas Morning News
retailers,"['retail_merchant', 'retailer']", The Dallas Morning News
designed,"['design', 'designed', 'contrive', 'intentional', 'project', 'plan']", The Dallas Morning News
next,"['following', 'succeeding', 'adjacent', 'future', 'next', 'side_by_side']", The Dallas Morning News
Education,"['education', 'educational_activity', 'training', 'breeding', 'Education', 'instruction', 'teaching', 'Education_Department', 'didactics', 'Department_of_Education', 'pedagogy']", The Dallas Morning News
appointment,"['naming', 'date', 'fitting', 'appointment', 'engagement', 'designation', 'appointee', 'assignment']", The Dallas Morning News
Berry,"['Charles_Edward_Berry', 'Chuck_Berry', 'berry', 'Berry']", The Dallas Morning News
Aikin,[], The Dallas Morning News
Texan,['Texan'], The Dallas Morning News
instructor,"['teacher', 'instructor']", The Dallas Morning News
cases,"['event', 'font', 'eccentric', 'instance', 'shell', 'typeface', 'lawsuit', 'pillowcase', 'cause', 'character', 'type', 'example', 'showcase', 'sheath', 'guinea_pig', 'casing', 'suit', 'grammatical_case', 'pillow_slip', 'subject', 'encase', ""typesetter's_case"", 'incase', 'causa', 'vitrine', ""compositor's_case"", 'case', 'slip', 'face', 'caseful', 'display_case', 'fount']", The Dallas Morning News
by,"['aside', 'away', 'by', 'past']", The Dallas Morning News
last,"['death', 'live_on', 'in_conclusion', 'finally', 'finish', 'close', 'last', 'live', 'terminal', 'hold_up', 'final_stage', 'endure', 'finale', 'utmost', 'last-place', 'end', 'lastly', ""cobbler's_last"", 'final', 'lowest', 'stopping_point', 'go', 'hold_out', 'concluding', 'finis', 'net', 'conclusion', 'survive', ""shoemaker's_last""]", The Dallas Morning News
brokers,"['agent', 'factor', 'broker']", The Dallas Morning News
them,[], The Dallas Morning News
Highway,"['highway', 'main_road']", The Dallas Morning News
abandoned,"['deserted', 'abandon', 'desert', 'abandoned', 'give_up', 'vacate', 'desolate', 'forsake', 'derelict', 'empty']", The Dallas Morning News
real,"['material', 'real', 'real_number', 'genuine', 'existent', 'literal', 'substantial', 'tangible', 'really', 'rattling', 'veridical', 'actual', 'very']", The Dallas Morning News
Worth,"['deserving', 'Charles_Frederick_Worth', 'worth', 'Worth']", The Dallas Morning News
members,"['phallus', 'extremity', 'member', 'fellow_member', 'penis', 'appendage']", The Dallas Morning News
generally,"['in_general', 'more_often_than_not', 'loosely', 'mostly', 'in_the_main', 'generally', 'by_and_large', 'broadly_speaking', 'broadly']", The Dallas Morning News
directed,"['address', 'head', 'channelise', 'manoeuvre', 'calculate', 'send', 'steer', 'conduct', 'organise', 'engineer', 'directed', 'take', 'aim', 'orchestrate', 'place', 'direct', 'lead', 'manoeuver', 'guide', 'channelize', 'target', 'mastermind', 'point', 'train', 'take_aim', 'maneuver', 'organize']", The Dallas Morning News
forced,"['squeeze', 'ram', 'strained', 'force', 'thrust', 'wedge', 'drive', 'coerce', 'push', 'draw', 'hale', 'pressure', 'storm', 'pull', 'forced', 'constrained', 'impel']", The Dallas Morning News
If,[], The Dallas Morning News
House,"['planetary_house', 'home', 'house', 'put_up', 'sign_of_the_zodiac', 'business_firm', 'star_sign', 'family', 'sign', 'household', 'menage', 'theater', 'theatre', 'domiciliate', 'firm', 'mansion']", The Dallas Morning News
conservative,"['bourgeois', 'Conservative', 'buttoned-down', 'button-down', 'conservativist', 'cautious', 'conservative', 'materialistic']", The Dallas Morning News
senators,['senator'], The Dallas Morning News
got,"['experience', 'contract', 'scram', 'stick', 'develop', 'find', 'fuck_off', 'baffle', 'receive', 'stimulate', 'bring', 'amaze', 'set_about', 'commence', 'let', 'catch', 'cause', 'engender', 'mystify', 'fix', 'bugger_off', 'pay_back', 'grow', 'come', 'arrive', 'draw', 'start_out', 'arrest', 'bring_forth', 'generate', 'bewilder', 'get', 'take', 'become', 'aim', 'beat', 'get_down', 'go', 'father', 'buzz_off', 'induce', 'perplex', 'vex', 'nonplus', 'gravel', 'suffer', 'acquire', 'sire', 'stupefy', 'incur', 'have', 'start', 'begin', 'pose', ""get_under_one's_skin"", 'flummox', 'set_out', 'puzzle', 'pay_off', 'fetch', 'drive', 'obtain', 'make', 'sustain', 'mother', 'produce', 'convey', 'dumbfound', 'beget', 'capture']", The Dallas Morning News
Navigation,"['sailing', 'piloting', 'seafaring', 'navigation', 'pilotage']", The Dallas Morning News
