w,vector_semantico
ignition,"['ignition', 'lighting', 'ignition_system', 'inflammation', 'firing', 'kindling']","Fair, Bachelors Get Lonely"
mind,"['brain', 'creative_thinker', 'mind', 'judgement', 'head', 'judgment', 'idea', 'take_care', 'listen', 'bear_in_mind', 'intellect', 'nous', 'psyche', 'beware', 'thinker', 'heed']","Fair, Bachelors Get Lonely"
found,"['detect', 'found', 'line_up', 'retrieve', 'discover', 'find', 'ascertain', 'receive', 'establish', 'find_oneself', 'come_up', 'observe', 'institute', 'constitute', 'notice', 'plant', 'encounter', 'feel', 'happen', 'set_up', 'get', 'rule', 'witness', 'ground', 'see', 'determine', 'chance', 'find_out', 'get_hold', 'incur', 'bump', 'regain', 'launch', 'obtain', 'base', 'recover']","Fair, Bachelors Get Lonely"
For,[],"Fair, Bachelors Get Lonely"
find,"['uncovering', 'detect', 'line_up', 'retrieve', 'discover', 'find', 'ascertain', 'receive', 'find_oneself', 'come_up', 'discovery', 'observe', 'notice', 'encounter', 'feel', 'happen', 'get', 'rule', 'witness', 'see', 'determine', 'find_out', 'chance', 'get_hold', 'incur', 'bump', 'regain', 'breakthrough', 'obtain', 'recover']","Fair, Bachelors Get Lonely"
grinned,['grin'],"Fair, Bachelors Get Lonely"
by,"['aside', 'away', 'by', 'past']","Fair, Bachelors Get Lonely"
last,"['death', 'live_on', 'in_conclusion', 'finally', 'finish', 'close', 'last', 'live', 'terminal', 'hold_up', 'final_stage', 'endure', 'finale', 'utmost', 'last-place', 'end', 'lastly', ""cobbler's_last"", 'final', 'lowest', 'stopping_point', 'go', 'hold_out', 'concluding', 'finis', 'net', 'conclusion', 'survive', ""shoemaker's_last""]","Fair, Bachelors Get Lonely"
them,[],"Fair, Bachelors Get Lonely"
flush,"['affluent', 'level', 'charge', 'even', 'loaded', 'flower', 'bloom', 'flush', 'even_out', 'peak', 'crimson', 'scour', 'purge', 'gush', 'outpouring', 'efflorescence', 'blossom', 'hot_flash', 'thrill', 'prime', 'rosiness', 'bang', 'rush', 'wealthy', 'heyday', 'boot', 'blush', 'kick', 'moneyed', 'redden', 'sluice']","Fair, Bachelors Get Lonely"
suddenly,"['suddenly', 'short', 'abruptly', 'all_of_a_sudden', 'on_the_spur_of_the_moment', 'of_a_sudden', 'dead']","Fair, Bachelors Get Lonely"
moving,"['make_a_motion', 'strike', 'proceed', 'moving', 'actuate', 'locomote', 'prompt', 'propel', 'act', 'go', 'affect', 'displace', 'incite', 'run', 'be_active', 'impress', 'travel', 'move', 'motivate']","Fair, Bachelors Get Lonely"
That,[],"Fair, Bachelors Get Lonely"
drove,"['push_back', 'force_back', 'drove_chisel', 'push', 'repel', 'ram', 'labor', 'force', 'drove', 'get', 'repulse', 'take', 'aim', 'swarm', 'ride', 'motor', 'tug', 'drive', 'horde', 'labour', 'beat_back']","Fair, Bachelors Get Lonely"
that's,[],"Fair, Bachelors Get Lonely"
really,"['genuinely', 'truly', 'real', 'in_truth', 'really', 'rattling', 'actually', 'very']","Fair, Bachelors Get Lonely"
If,[],"Fair, Bachelors Get Lonely"
selfish,['selfish'],"Fair, Bachelors Get Lonely"
