w,vector_semantico
found,"['detect', 'found', 'line_up', 'retrieve', 'discover', 'find', 'ascertain', 'receive', 'establish', 'find_oneself', 'come_up', 'observe', 'institute', 'constitute', 'notice', 'plant', 'encounter', 'feel', 'happen', 'set_up', 'get', 'rule', 'witness', 'ground', 'see', 'determine', 'chance', 'find_out', 'get_hold', 'incur', 'bump', 'regain', 'launch', 'obtain', 'base', 'recover']",Radio Emission of the Moon and Planet
also,"['likewise', 'also', 'too', 'besides', 'as_well']",Radio Emission of the Moon and Planet
follows,"['watch', 'accompany', 'surveil', 'come_after', 'adopt', 'survey', 'observe', 'keep_abreast', 'stick_with', 'come', 'watch_over', 'play_along', 'keep_up', 'take_after', 'espouse', 'travel_along', 'abide_by', 'fall_out', 'trace', 'succeed', 'conform_to', 'comply', 'pursue', 'follow', 'stick_to', 'be', 'postdate', 'keep_an_eye_on']",Radio Emission of the Moon and Planet
Table,"['put_over', 'set_back', 'postpone', 'tabularize', 'put_off', 'mesa', 'tabularise', 'remit', 'table', 'tabular_array', 'defer', 'prorogue', 'tabulate', 'board', 'hold_over', 'shelve']",Radio Emission of the Moon and Planet
For,[],Radio Emission of the Moon and Planet
cases,"['event', 'font', 'eccentric', 'instance', 'shell', 'typeface', 'lawsuit', 'pillowcase', 'cause', 'character', 'type', 'example', 'showcase', 'sheath', 'guinea_pig', 'casing', 'suit', 'grammatical_case', 'pillow_slip', 'subject', 'encase', ""typesetter's_case"", 'incase', 'causa', 'vitrine', ""compositor's_case"", 'case', 'slip', 'face', 'caseful', 'display_case', 'fount']",Radio Emission of the Moon and Planet
by,"['aside', 'away', 'by', 'past']",Radio Emission of the Moon and Planet
waves,"['flap', 'wafture', 'Wave', 'moving_ridge', 'brandish', 'curl', 'flourish', 'undulation', 'undulate', 'roll', 'waving', 'wave', 'beckon']",Radio Emission of the Moon and Planet
phases,"['phase', 'phase_angle', 'form', 'stage']",Radio Emission of the Moon and Planet
layer,"['bed', 'level', 'layer', 'stratum']",Radio Emission of the Moon and Planet
Radio,"['radio_receiver', 'tuner', 'wireless', 'radio', 'receiving_set', 'radiocommunication', 'radio_set']",Radio Emission of the Moon and Planet
