w,vector_semantico
somewhat,"['middling', 'somewhat', 'more_or_less', 'slightly', 'passably', 'reasonably', 'pretty', 'fairly', 'jolly', 'moderately']",The Christian Science Monitor
weeks,"['hebdomad', 'week', 'workweek', 'calendar_week']",The Christian Science Monitor
rumored,"['rumor', 'bruit', 'rumour']",The Christian Science Monitor
members',[],The Christian Science Monitor
carry,"['persuade', 'carry', 'sway', 'dribble', 'behave', 'have_a_bun_in_the_oven', 'run', 'comport', 'expect', 'deport', 'transmit', 'hold', 'stock', 'take', 'convey', 'post', 'bear', 'stockpile', 'channel', 'pack', 'impart', 'transport', 'express', 'acquit', 'conduct', 'extend', 'gestate', 'contain']",The Christian Science Monitor
dealing,"['dole_out', 'dealing', 'look_at', 'care', 'treat', 'divvy_up', 'dealings', 'consider', 'address', 'trade', 'contend', 'deal_out', 'portion_out', 'make_out', 'administer', 'deal', 'share', 'carry_on', 'allot', 'lot', 'take', 'dispense', 'dish_out', 'handle', 'apportion', 'get_by', 'cope', 'grapple', 'mete_out', 'parcel_out', 'make_do', 'shell_out', 'manage', 'cover', 'transaction', 'distribute', 'plow', 'conduct', 'sell']",The Christian Science Monitor
described,"['report', 'distinguish', 'line', 'identify', 'account', 'key', 'depict', 'draw', 'described', 'delineate', 'discover', 'key_out', 'describe', 'trace', 'name']",The Christian Science Monitor
perhaps,"['peradventure', 'possibly', 'perhaps', 'maybe', 'perchance', 'mayhap']",The Christian Science Monitor
toward,[],The Christian Science Monitor
rapid,"['speedy', 'rapid']",The Christian Science Monitor
much,"['very_much', 'often', 'a_lot', 'practically', 'a_great_deal', 'lots', 'a_good_deal', 'much']",The Christian Science Monitor
in,"['atomic_number_49', 'inward', 'In', 'inch', 'inwards', 'IN', 'Hoosier_State', 'indium', 'in', 'Indiana']",The Christian Science Monitor
these,[],The Christian Science Monitor
popularity,['popularity'],The Christian Science Monitor
maintenance,"['sustenance', 'sustainment', 'upkeep', 'criminal_maintenance', 'care', 'alimony', 'maintenance', 'sustentation']",The Christian Science Monitor
Lao,"['Lao', 'Laotian']",The Christian Science Monitor
organization,"['constitution', 'administration', 'organization', 'formation', 'governance', 'brass', 'organisation', 'system', 'arrangement', 'governing_body', 'establishment']",The Christian Science Monitor
chain,"['Ernst_Boris_Chain', 'chain', 'mountain_chain', 'strand', 'Sir_Ernst_Boris_Chain', 'mountain_range', 'string', 'range_of_mountains', 'range', 'concatenation', 'Chain', 'chain_of_mountains', 'chemical_chain']",The Christian Science Monitor
Investigation,"['investigating', 'probe', 'investigation']",The Christian Science Monitor
sheet,"['piece_of_paper', 'tabloid', 'sheet_of_paper', 'shroud', 'flat_solid', 'mainsheet', 'tack', 'sheet', 'rag', 'canvass', 'sail', 'weather_sheet', 'bed_sheet', 'plane', 'canvas']",The Christian Science Monitor
Very,"['real', 'selfsame', 'really', 'very', 'rattling', 'identical']",The Christian Science Monitor
they,[],The Christian Science Monitor
Advisory,"['consultative', 'consultive', 'consultatory', 'advisory']",The Christian Science Monitor
States',[],The Christian Science Monitor
set,"['arrange', 'adjust', 'go_down', 'do', 'specify', 'fix', 'solidification', 'countersink', 'Seth', 'coif', 'readiness', 'localise', 'dress', 'prepare', 'lay', 'set_up', 'fixed', 'laid', 'bent', 'mark', 'determined', 'Set', 'determine', 'jell', 'congeal', 'primed', 'set', 'define', 'put', 'place', 'curing', 'limit', 'rigid', 'hardening', 'go_under', 'located', 'dictated', 'correct', 'plant', 'typeset', 'lot', 'lay_out', 'coiffe', 'hardened', 'sic', 'position', 'fit', 'exercise_set', 'circle', 'placed', 'stage_set', 'ready', 'localize', 'fructify', 'coiffure', 'solidifying', 'situated', 'rig', 'pose', 'gear_up', 'band']",The Christian Science Monitor
de,"['Diamond_State', 'First_State', 'Delaware', 'DE']",The Christian Science Monitor
statements,"['argument', 'program_line', 'affirmation', 'statement', 'assertion', 'command', 'instruction', 'financial_statement']",The Christian Science Monitor
ban,"['Bachelor_of_Arts_in_Nursing', 'forbiddance', 'ostracize', 'shun', 'banning', 'ostracise', 'blackball', 'proscription', 'prohibition', 'censor', 'BAN', 'cast_out', 'banish', 'forbidding', 'ban']",The Christian Science Monitor
disapprove,"['reject', 'disapprove']",The Christian Science Monitor
general,"['full_general', 'general', 'worldwide', 'world-wide', 'cosmopolitan', 'universal', 'ecumenical', 'oecumenical', 'superior_general']",The Christian Science Monitor
appreciation,"['taste', 'discernment', 'appreciation', 'admiration', 'hold', 'grasp', 'perceptiveness']",The Christian Science Monitor
assailed,"['set_on', 'round', 'assail', 'lash_out', 'snipe', 'assault', 'attack']",The Christian Science Monitor
threshold,"['limen', 'doorstep', 'threshold', 'room_access', 'verge', 'doorway', 'door', 'doorsill', 'brink']",The Christian Science Monitor
table,"['board', 'postpone', 'defer', 'put_over', 'table', 'set_back', 'mesa', 'hold_over', 'prorogue', 'remit', 'tabularise', 'tabularize', 'tabulate', 'shelve', 'put_off', 'tabular_array']",The Christian Science Monitor
felt,"['feel', 'matte_up', 'matte', 'felt_up', 'mat_up', 'mat', 'felt', 'matt-up', 'find', 'palpate', 'sense', 'experience', 'finger']",The Christian Science Monitor
Nixon,"['Richard_Milhous_Nixon', 'Richard_Nixon', 'President_Nixon', 'Nixon', 'Richard_M._Nixon']",The Christian Science Monitor
through,"['through', 'done', 'through_and_through', 'through_with']",The Christian Science Monitor
diplomatic,"['diplomatic', 'diplomatical']",The Christian Science Monitor
no,"['No', 'no_more', 'no', 'nobelium', 'atomic_number_102']",The Christian Science Monitor
globe,"['Earth', 'earth', 'ball', 'orb', 'world', 'globe']",The Christian Science Monitor
