w,taza
"('There', 'had')",0.16666666666666666,A Wreath for Garibaldi
"('had', 'been')",0.0,A Wreath for Garibaldi
"('been', 'signs')",0.16666666666666666,A Wreath for Garibaldi
"('signs', 'and')",0.16666666666666666,A Wreath for Garibaldi
"('and', 'portents')",0.1111111111111111,A Wreath for Garibaldi
"('portents', 'like')",0.1,A Wreath for Garibaldi
"('like', 'the')",0.16666666666666666,A Wreath for Garibaldi
"('the', 'regular')",0.125,A Wreath for Garibaldi
"('regular', 'toppling')",0.18181818181818182,A Wreath for Garibaldi
"('toppling', 'over')",0.1,A Wreath for Garibaldi
"('over', 'and')",0.0,A Wreath for Garibaldi
"('and', 'defacing')",0.375,A Wreath for Garibaldi
"('defacing', 'of')",0.1111111111111111,A Wreath for Garibaldi
"('of', 'the')",0.0,A Wreath for Garibaldi
"('the', 'bust')",0.16666666666666666,A Wreath for Garibaldi
"('bust', 'of')",0.0,A Wreath for Garibaldi
"('of', 'Lauro')",0.16666666666666666,A Wreath for Garibaldi
"('Lauro', 'Di')",0.0,A Wreath for Garibaldi
"('Di', 'Bosis')",0.2,A Wreath for Garibaldi
"('Bosis', 'near')",0.0,A Wreath for Garibaldi
"('near', 'the')",0.16666666666666666,A Wreath for Garibaldi
"('the', 'Villa')",0.0,A Wreath for Garibaldi
"('Villa', 'Lante')",0.125,A Wreath for Garibaldi
"('Lante', 'and')",0.3333333333333333,A Wreath for Garibaldi
"('and', 'in')",0.25,A Wreath for Garibaldi
"('in', 'the')",0.0,A Wreath for Garibaldi
"('the', 'Gianicolo')",0.0,A Wreath for Garibaldi
"('Gianicolo', '.')",0.0,A Wreath for Garibaldi
"('.', 'Something')",0.0,A Wreath for Garibaldi
"('Something', 'was')",0.0,A Wreath for Garibaldi
"('was', 'happening')",0.1111111111111111,A Wreath for Garibaldi
"('happening', 'all')",0.125,A Wreath for Garibaldi
"('all', 'right')",0.0,A Wreath for Garibaldi
"('right', ',')",0.0,A Wreath for Garibaldi
"(',', 'slowly')",0.0,A Wreath for Garibaldi
"('slowly', 'it')",0.0,A Wreath for Garibaldi
"('it', 'is')",0.3333333333333333,A Wreath for Garibaldi
"('is', 'true')",0.0,A Wreath for Garibaldi
"('true', ',')",0.0,A Wreath for Garibaldi
"(',', 'but')",0.0,A Wreath for Garibaldi
"('but', 'you')",0.2,A Wreath for Garibaldi
"('you', 'could')",0.3333333333333333,A Wreath for Garibaldi
"('could', 'feel')",0.14285714285714285,A Wreath for Garibaldi
"('feel', 'it')",0.0,A Wreath for Garibaldi
"('it', '.')",0.0,A Wreath for Garibaldi
"('.', 'The')",0.0,A Wreath for Garibaldi
"('The', 'Italians')",0.0,A Wreath for Garibaldi
"('Italians', 'felt')",0.2222222222222222,A Wreath for Garibaldi
"('felt', 'it')",0.2,A Wreath for Garibaldi
"('.', 'Little')",0.0,A Wreath for Garibaldi
"('Little', 'things')",0.2222222222222222,A Wreath for Garibaldi
"('things', '.')",0.0,A Wreath for Garibaldi
"('.', 'An')",0.0,A Wreath for Garibaldi
"('An', 'Italian')",0.14285714285714285,A Wreath for Garibaldi
"('Italian', 'poet')",0.1111111111111111,A Wreath for Garibaldi
"('poet', 'had')",0.0,A Wreath for Garibaldi
"('had', 'noticed')",0.1111111111111111,A Wreath for Garibaldi
"('noticed', 'plainclothes')",0.5,A Wreath for Garibaldi
"('plainclothes', 'policemen')",0.5833333333333334,A Wreath for Garibaldi
"('policemen', 'lounging')",0.4,A Wreath for Garibaldi
"('lounging', 'around')",0.3333333333333333,A Wreath for Garibaldi
"('around', 'the')",0.0,A Wreath for Garibaldi
"('the', 'area')",0.2,A Wreath for Garibaldi
"('area', 'of')",0.0,A Wreath for Garibaldi
"('of', 'Quirinal')",0.0,A Wreath for Garibaldi
"('Quirinal', 'Palace')",0.2,A Wreath for Garibaldi
"('Palace', ',')",0.0,A Wreath for Garibaldi
"(',', 'the')",0.0,A Wreath for Garibaldi
"('the', 'first')",0.14285714285714285,A Wreath for Garibaldi
"('first', 'time')",0.2857142857142857,A Wreath for Garibaldi
"('time', 'since')",0.2857142857142857,A Wreath for Garibaldi
"('since', 'the')",0.14285714285714285,A Wreath for Garibaldi
"('the', 'war')",0.0,A Wreath for Garibaldi
"('war', '.')",0.0,A Wreath for Garibaldi
"('.', 'At')",0.0,A Wreath for Garibaldi
"('At', 'least')",0.16666666666666666,A Wreath for Garibaldi
"('least', 'they')",0.2857142857142857,A Wreath for Garibaldi
"('they', ""hadn't"")",0.25,A Wreath for Garibaldi
"(""hadn't"", 'stepped')",0.2222222222222222,A Wreath for Garibaldi
"('stepped', 'up')",0.16666666666666666,A Wreath for Garibaldi
"('up', 'and')",0.0,A Wreath for Garibaldi
"('and', 'asked')",0.3333333333333333,A Wreath for Garibaldi
"('asked', 'to')",0.0,A Wreath for Garibaldi
"('to', 'see')",0.0,A Wreath for Garibaldi
"('see', 'papers')",0.4,A Wreath for Garibaldi
