w,vector_semantico
conscious,"['witting', 'conscious']",Hunter at Large
carry,"['persuade', 'carry', 'sway', 'dribble', 'behave', 'have_a_bun_in_the_oven', 'run', 'comport', 'expect', 'deport', 'transmit', 'hold', 'stock', 'take', 'convey', 'post', 'bear', 'stockpile', 'channel', 'pack', 'impart', 'transport', 'express', 'acquit', 'conduct', 'extend', 'gestate', 'contain']",Hunter at Large
sting,"['pang', 'twinge', 'sting', 'insect_bite', 'confidence_game', 'bunko', 'con', 'bite', 'confidence_trick', 'prick', 'hustle', 'stinging', 'con_game', 'flimflam', 'gyp', 'bunco', 'bunco_game', 'stick', 'burn', 'bunko_game']",Hunter at Large
corpse,"['remains', 'corpse', 'clay', 'stiff', 'cadaver']",Hunter at Large
grieving,"['mourning', 'grieve', 'aggrieve', 'sorrowing', 'grieving', 'grief-stricken', 'sorrow', 'bereft', 'bereaved']",Hunter at Large
toward,[],Hunter at Large
nobody,"['nobody', 'nonentity', 'cipher', 'cypher']",Hunter at Large
in,"['atomic_number_49', 'inward', 'In', 'inch', 'inwards', 'IN', 'Hoosier_State', 'indium', 'in', 'Indiana']",Hunter at Large
much,"['very_much', 'often', 'a_lot', 'practically', 'a_great_deal', 'lots', 'a_good_deal', 'much']",Hunter at Large
turned,"['deform', 'move_around', 'release', 'rick', 'turn', 'turn_over', 'turned', 'wrick', 'sour', 'sprain', 'change_state', 'wrench', 'bend', 'grow', 'change_by_reversal', 'twist', 'become', 'ferment', 'work', 'flex', 'plough', 'plow', 'call_on', 'off', 'reverse']",Hunter at Large
chance,"['chance', 'bump', 'take_a_chance', 'prospect', 'opportunity', 'gamble', 'adventure', 'run_a_risk', 'find', 'take_chances', 'encounter', 'probability', 'risk', 'casual', 'luck', 'fortune', 'happen', 'hazard']",Hunter at Large
pressure,"['imperativeness', 'force_per_unit_area', 'pressure', 'insistence', 'atmospheric_pressure', 'squeeze', 'blackjack', 'insistency', 'blackmail', 'air_pressure', 'coerce', 'force', 'pressure_sensation', 'hale', 'pressing', 'pressure_level', 'press']",Hunter at Large
apparently,"['apparently', 'patently', 'on_the_face_of_it', 'manifestly', 'ostensibly', 'seemingly', 'evidently', 'plainly', 'obviously', 'plain']",Hunter at Large
call,"['prognosticate', 'cry', 'send_for', 'phone_call', 'scream', 'shout', 'telephone_call', 'predict', 'call_option', 'hollo', 'name', 'holler', 'squall', 'call_off', 'call', 'address', 'phone', 'forebode', 'Call', 'song', 'call_up', 'shout_out', 'ring', 'vociferation', 'anticipate', 'telephone', 'call_in', 'claim', 'yell', 'margin_call', 'outcry', 'visit', 'promise', 'bid', 'foretell', 'birdcall', 'birdsong']",Hunter at Large
undulating,"['wave', 'roll', 'undulate', 'ruffle', 'cockle', 'ripple', 'riffle', 'flap']",Hunter at Large
leave,"['leave_behind', 'bequeath', 'give', 'entrust', 'pass_on', 'allow', 'will', 'go_away', 'leave_of_absence', 'leave', 'leave_alone', 'pull_up_stakes', 'exit', 'allow_for', 'get_out', 'go_out', 'forget', 'go_forth', 'provide', 'depart', 'result', 'parting', 'impart', 'leave-taking', 'lead', 'farewell']",Hunter at Large
gear,"['power_train', 'paraphernalia', 'geared_wheel', 'gear', 'pitch', 'cogwheel', 'appurtenance', 'gearing', 'gear_wheel', 'geartrain', 'train', 'gear_mechanism']",Hunter at Large
they,[],Hunter at Large
decided,"['decide', 'adjudicate', 'settle', ""make_up_one's_mind"", 'distinct', 'resolve', 'determine', 'decided']",Hunter at Large
set,"['arrange', 'adjust', 'go_down', 'do', 'specify', 'fix', 'solidification', 'countersink', 'Seth', 'coif', 'readiness', 'localise', 'dress', 'prepare', 'lay', 'set_up', 'fixed', 'laid', 'bent', 'mark', 'determined', 'Set', 'determine', 'jell', 'congeal', 'primed', 'set', 'define', 'put', 'place', 'curing', 'limit', 'rigid', 'hardening', 'go_under', 'located', 'dictated', 'correct', 'plant', 'typeset', 'lot', 'lay_out', 'coiffe', 'hardened', 'sic', 'position', 'fit', 'exercise_set', 'circle', 'placed', 'stage_set', 'ready', 'localize', 'fructify', 'coiffure', 'solidifying', 'situated', 'rig', 'pose', 'gear_up', 'band']",Hunter at Large
day,"['daylight', 'Clarence_Shepard_Day_Jr.', '24-hour_interval', 'twenty-four_hour_period', 'Day', 'mean_solar_day', 'day', 'Clarence_Day', 'sidereal_day', 'daytime', 'solar_day', 'twenty-four_hours']",Hunter at Large
suitcase,"['travelling_bag', 'suitcase', 'traveling_bag', 'grip', 'bag']",Hunter at Large
above,"['above', 'higher_up', 'in_a_higher_place', 'supra', 'to_a_higher_place']",Hunter at Large
pocket,"['pocket', 'air_pocket', 'scoop', 'pouch', 'air_hole', 'bag', 'sac', 'sack']",Hunter at Large
body,"['torso', 'body', 'soundbox', 'consistence', 'organic_structure', 'personify', 'trunk', 'dead_body', 'eubstance', 'physical_structure', 'consistency']",Hunter at Large
Before,"['in_front', 'ahead', 'earlier', 'before']",Hunter at Large
felt,"['feel', 'matte_up', 'matte', 'felt_up', 'mat_up', 'mat', 'felt', 'matt-up', 'find', 'palpate', 'sense', 'experience', 'finger']",Hunter at Large
through,"['through', 'done', 'through_and_through', 'through_with']",Hunter at Large
Still,"['silence', 'nevertheless', 'motionless', 'silent', 'tranquil', 'distillery', 'unruffled', 'noneffervescent', 'hush', 'stillness', 'tranquillise', 'inactive', 'withal', 'soundless', 'notwithstanding', 'all_the_same', 'however', 'placid', 'calm', 'static', 'allay', 'yet', 'ease', 'tranquilize', 'quieten', 'even_so', 'still', 'relieve', 'smooth', 'tranquillize', 'calm_down', 'lull', 'stock-still', 'hush_up', 'shut_up', 'nonetheless', 'even', 'quiet']",Hunter at Large
thing,"['matter', 'thing', 'affair']",Hunter at Large
beam,"['shine', 'air', 'radio_beam', 'glow', 'shaft_of_light', 'electron_beam', 'light_beam', 'irradiation', 'balance_beam', 'radiate', 'beam_of_light', 'ray', 'beam', 'send', 'ray_of_light', 'transmit', 'broadcast', 'shaft']",Hunter at Large
maybe,"['peradventure', 'possibly', 'perhaps', 'maybe', 'perchance', 'mayhap']",Hunter at Large
no,"['No', 'no_more', 'no', 'nobelium', 'atomic_number_102']",Hunter at Large
knelt,['kneel'],Hunter at Large
post,"['Emily_Price_Post', 'military_post', 'carry', 'Post', 'spot', 'berth', 'C._W._Post', 'brand', 'mail', 'billet', 'Emily_Post', 'Charles_William_Post', 'Wiley_Post', 'place', 'put_up', 'office', 'postal_service', 'position', 'send', 'post', 'stake', 'station', 'situation', 'mail_service']",Hunter at Large
too,"['excessively', 'overly', 'as_well', 'to_a_fault', 'besides', 'likewise', 'too', 'also']",Hunter at Large
barely,"['scarce', 'just', 'scarcely', 'scantily', 'barely', 'hardly']",Hunter at Large
There,"['in_that_respect', 'on_that_point', 'at_that_place', 'in_that_location', 'thither', 'there']",Hunter at Large
reached,"['accomplish', 'give', 'make', 'reach', 'arrive_at', 'touch', 'contact', 'pass_on', 'get_through', 'turn_over', 'hit', 'achieve', 'pass', 'get_hold_of', 'gain', 'attain', 'extend_to', 'strain', 'reach_out', 'progress_to', 'get_to', 'hand', 'strive']",Hunter at Large
home,"['house', 'abode', 'family', 'domicile', 'habitation', 'interior', 'home_base', 'place', 'national', 'dwelling', 'nursing_home', 'plate', 'rest_home', 'menage', 'home_plate', 'internal', 'home', 'dwelling_house', 'household', 'base']",Hunter at Large
longer,"['retentive', 'foresighted', 'recollective', 'tenacious', 'foresightful', 'farseeing', 'prospicient', 'longer', 'farsighted', 'longsighted', 'thirster', 'yearner', 'long']",Hunter at Large
big,"['boastful', 'grown', 'bad', 'braggart', 'giving', 'self-aggrandising', 'vainglorious', 'self-aggrandizing', 'freehanded', 'boastfully', 'full-grown', 'gravid', 'bighearted', 'liberal', 'heavy', 'bounteous', 'enceinte', 'great', 'fully_grown', 'cock-a-hoop', 'handsome', 'adult', 'crowing', 'bountiful', 'swelled', 'with_child', 'openhanded', 'expectant', 'bragging', 'magnanimous', 'braggy', 'grownup', 'prominent', 'large', 'vauntingly', 'big']",Hunter at Large
long,"['retentive', 'foresighted', 'recollective', 'yearn', 'tenacious', 'foresightful', 'hanker', 'farseeing', 'prospicient', 'longsighted', 'farsighted', 'long']",Hunter at Large
hunch,"['intuition', 'hunch_over', 'suspicion', 'hump', 'hunch', 'hunch_forward']",Hunter at Large
noticeable,"['detectable', 'obtrusive', 'noticeable']",Hunter at Large
spray,"['nebuliser', 'atomizer', 'spray', 'spraying', 'sprayer', 'nebulizer', 'atomiser']",Hunter at Large
make,"['urinate', 'get', 'realize', 'give', 'ca-ca', 'make', 'reach', 'do', 'arrive_at', 'cook', 'brand', 'fix', 'pull_in', 'build', 'pass_water', 'constitute', 'name', 'create', 'hit', 'piss', 'bring_in', 'construct', 'prepare', 'produce', 'stool', 'take_a_crap', 'pee', 'shuffle', 'induce', 'relieve_oneself', 'stimulate', 'gain', 'wee', 'attain', 'spend_a_penny', 'take_a_leak', 'seduce', 'pretend', 'clear', 'hold', 'make_water', 'make_up', 'progress_to', 'take', 'get_to', 'establish', 'shuffling', 'take_in', 'shit', 'piddle', 'take_a_shit', 'nominate', 'work', 'ready', 'micturate', 'defecate', 'lay_down', 'throw', 'cause', 'form', 'score', 'wee-wee', 'make_believe', 'pee-pee', 'draw', 'crap', 'earn', 'realise', 'puddle', 'have']",Hunter at Large
burden,"['burthen', 'charge', 'effect', 'gist', 'essence', 'burden', 'weight', 'core', 'incumbrance', 'weight_down', 'saddle', 'load', 'onus', 'encumbrance', 'loading']",Hunter at Large
full,"['total', 'full-of-the-moon', 'good', 'full_phase_of_the_moon', 'full_moon', 'broad', 'to_the_full', 'wax', 'replete', 'full', 'entire', 'wide-cut', 'wide', 'fully']",Hunter at Large
crouch,"['squat', 'scrunch', 'scrunch_up', 'bend', 'stoop', 'hunker_down', 'crouch', 'bow', 'hunker']",Hunter at Large
spend,"['spend', 'pass', 'expend', 'drop']",Hunter at Large
its,"['information_technology', 'IT']",Hunter at Large
hair,"[""hair's-breadth"", 'hairsbreadth', 'haircloth', 'whisker', 'tomentum', 'hair', 'fuzz', 'pilus']",Hunter at Large
some,"['about', 'more_or_less', 'just_about', 'around', 'close_to', 'or_so', 'some', 'approximately', 'roughly']",Hunter at Large
balance,"['Libra_the_Balance', 'counterpoise', 'poise', 'equaliser', 'balance', 'equipoise', 'residual', 'Balance', 'residuum', 'proportionality', 'residue', 'equilibrate', 'symmetry', 'equilibrium', 'correspondence', 'symmetricalness', 'remainder', 'equalizer', 'equilibrize', 'proportion', 'Libra_the_Scales', 'rest', 'counterbalance', 'equilibrise', 'balance_wheel', 'counterweight', 'Libra']",Hunter at Large
turn,"['deform', 'spell', 'move_around', 'play', 'release', 'bit', 'act', 'rick', 'turn', 'turn_over', 'tour', 'wrick', 'sour', 'turning', 'bend', 'change_state', 'sprain', 'wrench', 'routine', 'grow', 'bout', 'change_by_reversal', 'twist', 'go', 'become', 'good_turn', 'ferment', 'work', 'crook', 'round', 'number', 'flex', 'turn_of_events', 'plough', 'plow', 'call_on', 'reverse']",Hunter at Large
weapon,"['artillery', 'weapon', 'weapon_system', 'arm']",Hunter at Large
as,"['antiophthalmic_factor', 'axerophthol', 'a', 'group_A', 'arsenic', 'As', 'as', 'vitamin_A', 'angstrom_unit', 'deoxyadenosine_monophosphate', 'ampere', 'every_bit', 'amp', 'AS', 'A', 'equally', 'adenine', 'atomic_number_33', 'American_Samoa', 'Eastern_Samoa', 'type_A', 'angstrom']",Hunter at Large
groin,"['jetty', 'breakwater', 'mole', 'bulwark', 'seawall', 'inguen', 'groyne', 'groin']",Hunter at Large
falling,"['go_down', 'accrue', 'falling', 'dropping', 'pass', 'strike', 'hang', 'shine', 'decrease', 'precipitate', 'light', 'return', 'diminish', 'lessen', 'devolve', 'flow', 'descend', 'fall', 'settle', 'fall_down', 'come', 'come_down']",Hunter at Large
cleared,"['brighten', 'shed_light_on', 'realize', 'vindicated', 'exonerated', 'clear_up', 'make', 'exculpated', 'pull_in', 'crystalise', 'cleared', 'straighten_out', 'bring_in', 'authorize', 'pass', 'sort_out', 'crystallize', 'absolved', 'crystallise', 'enlighten', 'authorise', 'top', 'illuminate', 'gain', 'exonerate', 'elucidate', 'clear', 'discharge', 'assoil', 'solve', 'light_up', 'take_in', 'unclutter', 'sack_up', 'exculpate', 'crystalize', 'earn', 'realise', 'acquit', 'net', 'sack']",Hunter at Large
heavier,"['leaden', 'weighty', 'sullen', 'overweight', 'intemperate', 'grievous', 'sound', 'cloggy', 'gravid', 'grave', 'operose', 'lowering', 'heavy', 'enceinte', 'punishing', 'great', 'lumbering', 'fleshy', 'laboured', 'backbreaking', 'grueling', 'clayey', 'wakeless', 'hard', 'with_child', 'sonorous', 'weighed_down', 'labored', 'expectant', 'arduous', 'gruelling', 'toilsome', 'laborious', 'impenetrable', 'dense', 'ponderous', 'large', 'profound', 'big', 'threatening']",Hunter at Large
ruts,"['estrus', 'oestrus', 'groove', 'furrow', 'rut', 'heat']",Hunter at Large
