w,vector_semantico
modification,"['limiting', 'modification', 'alteration', 'adjustment', 'change', 'qualifying']",The Normal Forces and Their Thermodynamic Significance
suspended,"['suspended', 'freeze', 'suspend', 'set_aside', 'debar']",The Normal Forces and Their Thermodynamic Significance
Measurements,"['measure', 'measurement', 'mensuration', 'measuring']",The Normal Forces and Their Thermodynamic Significance
reference,"['point_of_reference', 'cite', 'reference', 'source', 'consultation', 'computer_address', 'address', 'citation', 'acknowledgment', 'mention', 'character_reference', 'book_of_facts', 'extension', 'reference_book', 'credit', 'denotation', 'reference_work', 'reference_point', 'quotation', 'character']",The Normal Forces and Their Thermodynamic Significance
gas,"['flatulence', 'accelerator', 'gas_pedal', 'boast', 'gas', 'natural_gas', 'gasoline', 'bluster', 'blow', 'tout', 'shoot_a_line', 'flatulency', 'gasolene', 'gaseous_state', 'gasconade', 'petrol', 'gun', 'accelerator_pedal', 'vaunt', 'brag', 'swash', 'throttle']",The Normal Forces and Their Thermodynamic Significance
described,"['report', 'distinguish', 'line', 'identify', 'account', 'key', 'depict', 'draw', 'described', 'delineate', 'discover', 'key_out', 'describe', 'trace', 'name']",The Normal Forces and Their Thermodynamic Significance
methods,"['method', 'method_acting']",The Normal Forces and Their Thermodynamic Significance
toward,[],The Normal Forces and Their Thermodynamic Significance
in,"['atomic_number_49', 'inward', 'In', 'inch', 'inwards', 'IN', 'Hoosier_State', 'indium', 'in', 'Indiana']",The Normal Forces and Their Thermodynamic Significance
these,[],The Normal Forces and Their Thermodynamic Significance
chance,"['chance', 'bump', 'take_a_chance', 'prospect', 'opportunity', 'gamble', 'adventure', 'run_a_risk', 'find', 'take_chances', 'encounter', 'probability', 'risk', 'casual', 'luck', 'fortune', 'happen', 'hazard']",The Normal Forces and Their Thermodynamic Significance
pressure,"['imperativeness', 'force_per_unit_area', 'pressure', 'insistence', 'atmospheric_pressure', 'squeeze', 'blackjack', 'insistency', 'blackmail', 'air_pressure', 'coerce', 'force', 'pressure_sensation', 'hale', 'pressing', 'pressure_level', 'press']",The Normal Forces and Their Thermodynamic Significance
apparently,"['apparently', 'patently', 'on_the_face_of_it', 'manifestly', 'ostensibly', 'seemingly', 'evidently', 'plainly', 'obviously', 'plain']",The Normal Forces and Their Thermodynamic Significance
increased,"['increase', 'increased']",The Normal Forces and Their Thermodynamic Significance
call,"['prognosticate', 'cry', 'send_for', 'phone_call', 'scream', 'shout', 'telephone_call', 'predict', 'call_option', 'hollo', 'name', 'holler', 'squall', 'call_off', 'call', 'address', 'phone', 'forebode', 'Call', 'song', 'call_up', 'shout_out', 'ring', 'vociferation', 'anticipate', 'telephone', 'call_in', 'claim', 'yell', 'margin_call', 'outcry', 'visit', 'promise', 'bid', 'foretell', 'birdcall', 'birdsong']",The Normal Forces and Their Thermodynamic Significance
measurement,"['measure', 'measurement', 'mensuration', 'measuring']",The Normal Forces and Their Thermodynamic Significance
end,"['death', 'remainder', 'oddment', 'final_stage', 'remnant', 'last', 'end', 'finish', 'cease', 'conclusion', 'destruction', 'terminate', 'goal', 'closing', 'terminal', 'close', 'stop', 'ending']",The Normal Forces and Their Thermodynamic Significance
they,[],The Normal Forces and Their Thermodynamic Significance
theoretical,"['theoretical', 'theoretic']",The Normal Forces and Their Thermodynamic Significance
thermodynamic,"['thermodynamical', 'thermodynamic']",The Normal Forces and Their Thermodynamic Significance
Consider,"['see', 'regard', 'consider', 'deal', 'moot', 'look_at', 'weigh', 'view', 'deliberate', 'study', 'take', 'count', 'believe', 'debate', 'reckon', 'think', 'turn_over', 'conceive']",The Normal Forces and Their Thermodynamic Significance
