w,vector_semantico
Some,"['roughly', 'just_about', 'some', 'approximately', 'around', 'or_so', 'more_or_less', 'close_to', 'about']","An Act for International Development, A Summary Presentation"
experience,"['experience', 'receive', 'go_through', 'get', 'see', 'have', 'feel', 'know', 'live']","An Act for International Development, A Summary Presentation"
sovereignty,"['reign', 'sovereignty']","An Act for International Development, A Summary Presentation"
dishonesty,"['dishonesty', 'knavery']","An Act for International Development, A Summary Presentation"
completely,"['altogether', 'entirely', 'whole', 'completely', 'wholly', 'all', 'totally']","An Act for International Development, A Summary Presentation"
success,"['winner', 'success', 'succeeder', 'achiever']","An Act for International Development, A Summary Presentation"
self-help,['self-help'],"An Act for International Development, A Summary Presentation"
insist,"['take_a_firm_stand', 'insist', 'assert', 'importune']","An Act for International Development, A Summary Presentation"
as,"['a', 'As', 'amp', 'as', 'deoxyadenosine_monophosphate', 'AS', 'adenine', 'every_bit', 'vitamin_A', 'A', 'ampere', 'angstrom', 'group_A', 'Eastern_Samoa', 'equally', 'angstrom_unit', 'arsenic', 'axerophthol', 'American_Samoa', 'atomic_number_33', 'antiophthalmic_factor', 'type_A']","An Act for International Development, A Summary Presentation"
kind,"['sort', 'form', 'tolerant', 'variety', 'genial', 'kind']","An Act for International Development, A Summary Presentation"
actions,"['fulfill', 'fulfil', 'process', 'sue', 'accomplish', 'legal_action', 'execute', 'natural_process', 'carry_through', 'natural_action', 'action_at_law', 'action_mechanism', 'carry_out', 'action', 'activity', 'litigate', 'activeness', 'military_action']","An Act for International Development, A Summary Presentation"
expansion,"['expansion', 'expanding_upon', 'elaboration', 'enlargement']","An Act for International Development, A Summary Presentation"
little,"['trivial', 'slight', 'piffling', 'short', 'piddling', 'little', 'petty', 'niggling', 'footling', 'picayune', 'minuscule', 'fiddling', 'lilliputian', 'small']","An Act for International Development, A Summary Presentation"
design,"['innovation', 'plan', 'purpose', 'conception', 'excogitation', 'aim', 'blueprint', 'design', 'intention', 'pattern', 'designing', 'intent', 'invention', 'project', 'contrive', 'figure']","An Act for International Development, A Summary Presentation"
at,"['astatine', 'atomic_number_85', 'at', 'At']","An Act for International Development, A Summary Presentation"
Second,"['endorsement', 'indorse', 'moment', 'indorsement', '2d', 'secondly', '2nd', 'minute', 's', 'arcsecond', 'irregular', 'second', 'endorse', 'mo', 'instant', 'second_gear', 'secondment', 'sec', 'bit', 'second_base', 'back']","An Act for International Development, A Summary Presentation"
limits,"['demarcation', 'confine', 'fix', 'terminus_ad_quem', 'point_of_accumulation', 'circumscribe', 'limitation', 'limit', 'restrict', 'boundary', 'trammel', 'terminal_point', 'specify', 'demarcation_line', 'define', 'bound', 'throttle', 'restrain', 'determine', 'limit_point', 'set']","An Act for International Development, A Summary Presentation"
