w,vector_semantico
introduction,"['introduction', 'first_appearance', 'debut', 'initiation', 'unveiling', 'foundation', 'origination', 'presentation', 'creation', 'instauration', 'insertion', 'entry', 'founding', 'intromission', 'institution', 'launching', 'innovation', 'intro']",Organizing the Local Church
new,"['newfangled', 'New', 'novel', 'new', 'newly', 'unexampled', 'freshly', 'fresh', 'young', 'raw', 'Modern']",Organizing the Local Church
join,"['get_together', 'connect', 'link', 'fall_in', 'join', 'bring_together', 'conjoin', 'articulation', 'link_up', 'union', 'unite', 'junction', 'sum', 'joint', 'juncture']",Organizing the Local Church
into,[],Organizing the Local Church
Fellowship,"['family', 'companionship', 'society', 'fellowship', 'company']",Organizing the Local Church
90,"['xc', 'ninety', '90', 'XC']",Organizing the Local Church
toward,[],Organizing the Local Church
Faith,"['religion', 'religious_belief', 'organized_religion', 'trust', 'faith']",Organizing the Local Church
most,"['near', 'nigh', 'well-nigh', 'nearly', 'about', 'almost', 'virtually', 'most', 'to_the_highest_degree']",Organizing the Local Church
justifiably,['justifiably'],Organizing the Local Church
study,"['analyze', 'read', 'canvass', 'report', 'study', 'cogitation', 'consider', 'learn', 'work', 'contemplate', 'meditate', 'hit_the_books', 'bailiwick', 'field', 'sketch', 'examine', 'subject', 'subject_area', 'written_report', 'analyse', 'canvas', 'discipline', 'subject_field', 'survey', 'take', 'field_of_study']",Organizing the Local Church
held,"['take_hold', 'entertain', 'hold_up', 'defy', 'defend', 'obligate', 'hold', 'confine', 'accommodate', 'book', 'held', 'bind', 'give', 'contain', 'oblige', 'view_as', 'keep_back', 'halt', 'sustain', 'throw', 'retain', 'harbour', 'support', 'prevail', 'declare', 'adjudge', 'nurse', 'maintain', 'obtain', 'take_for', 'go_for', 'hold_in', 'carry', 'moderate', 'make', 'curb', 'harbor', 'take', 'hold_back', 'concur', 'guard', 'restrain', 'bear', 'reserve', 'admit', 'control', 'withstand', 'agree', 'keep', 'concord', 'check', 'arrest', 'have_got', 'deem', 'have', 'apply']",Organizing the Local Church
Introduce,"['introduce', 'bring_in', 'precede', 'put_in', 'inaugurate', 'acquaint', 'present', 'stick_in', 'enter', 'preface', 'premise', 'usher_in', 'insert', 'bring_out', 'innovate', 'inclose', 'infix', 'enclose']",Organizing the Local Church
audio-visual,[],Organizing the Local Church
stands,"['fend', 'sales_booth', 'digest', 'stall', 'base', 'bandstand', 'tie-up', 'endure', 'brook', 'support', 'point_of_view', 'resist', 'abide', 'outdoor_stage', 'standstill', 'place_upright', 'standpoint', 'stomach', 'pedestal', 'rack', 'viewpoint', 'put_up', 'suffer', 'stick_out', 'bear', 'remain_firm', 'tolerate', 'stand', 'stand_up']",Organizing the Local Church
4,"['quadruplet', 'four', 'quaternion', 'iv', 'quaternity', 'tetrad', '4', 'IV', 'quatern', 'quaternary', 'Little_Joe', 'quartet', 'foursome']",Organizing the Local Church
Sunday,"['Dominicus', 'Billy_Sunday', ""Lord's_Day"", 'Sunday', 'William_Ashley_Sunday', 'Sun']",Organizing the Local Church
been,"['equal', 'constitute', 'follow', 'be', 'exist', 'embody', 'live', 'make_up', 'cost', 'personify', 'represent', 'comprise']",Organizing the Local Church
