w,vector_semantico
shook,"['shook', 'shake_up', 'judder', 'shake_off', 'throw_off', 'stir', 'rock', 'shake', 'escape_from', 'sway', 'agitate', 'didder', 'excite', 'stimulate']",The Shadow Catcher
!,[],The Shadow Catcher
riders,"['passenger', 'rider']",The Shadow Catcher
began,"['begin', 'lead_off', 'get_down', 'get', 'set_about', 'set_out', 'start', 'start_out', 'commence']",The Shadow Catcher
seem,"['appear', 'seem', 'look']",The Shadow Catcher
barrel,"['drum', 'barrel', 'cask', 'bbl', 'gun_barrel', 'barrelful']",The Shadow Catcher
methods,"['method', 'method_acting']",The Shadow Catcher
toward,[],The Shadow Catcher
rapid,"['speedy', 'rapid']",The Shadow Catcher
fast,"['quick', 'dissolute', 'tight', 'libertine', 'flying', 'firm', 'immobile', 'debauched', 'degenerate', 'riotous', 'dissipated', 'fasting', 'loyal', 'fast', 'truehearted', 'profligate', 'degraded']",The Shadow Catcher
survivors,"['survivor', 'subsister']",The Shadow Catcher
in,"['atomic_number_49', 'inward', 'In', 'inch', 'inwards', 'IN', 'Hoosier_State', 'indium', 'in', 'Indiana']",The Shadow Catcher
turned,"['deform', 'move_around', 'release', 'rick', 'turn', 'turn_over', 'turned', 'wrick', 'sour', 'sprain', 'change_state', 'wrench', 'bend', 'grow', 'change_by_reversal', 'twist', 'become', 'ferment', 'work', 'flex', 'plough', 'plow', 'call_on', 'off', 'reverse']",The Shadow Catcher
sigh,"['suspiration', 'suspire', 'sigh']",The Shadow Catcher
looming,"['hover', 'predominate', 'bulk_large', 'hulk', 'brood', 'tower', 'loom']",The Shadow Catcher
broke,"['infract', 'bankrupt', 'die', 'wear_out', 'broke', 'better', 'give_out', 'unwrap', 'divulge', 'breach', 'break_dance', 'offend', 'pause', 'transgress', 'discontinue', 'damp', 'recrudesce', 'dampen', 'part', 'snap_off', 'collapse', 'fall_in', 'wear', 'crack', 'interrupt', 'break-dance', 'go_bad', 'soften', 'weaken', 'skint', 'conk_out', 'stone-broke', 'relegate', 'break', 'break_away', 'give_way', 'bring_out', 'violate', 'founder', 'let_on', 'give', 'get_around', 'break_out', 'erupt', 'demote', 'let_out', 'split_up', 'fall_apart', 'split', 'ruin', 'kick_downstairs', 'go', 'fracture', 'go_against', 'break_off', 'disclose', 'discover', 'give_away', 'expose', 'bump', 'break_down', 'break_up', 'burst', 'stop', 'break_in', 'cave_in', 'come_apart', 'check', 'get_out', 'stony-broke', 'reveal', 'separate', 'intermit', 'smash', 'fail', 'bust', 'develop']",The Shadow Catcher
end,"['death', 'remainder', 'oddment', 'final_stage', 'remnant', 'last', 'end', 'finish', 'cease', 'conclusion', 'destruction', 'terminate', 'goal', 'closing', 'terminal', 'close', 'stop', 'ending']",The Shadow Catcher
finally,"['eventually', 'at_last', 'ultimately', 'last', 'at_long_last', 'in_conclusion', 'finally', 'in_the_end', 'lastly']",The Shadow Catcher
indistinguishable,"['identical', 'undistinguishable', 'indistinguishable']",The Shadow Catcher
children,"['nestling', 'tike', 'youngster', 'tiddler', 'fry', 'kid', 'tyke', 'minor', 'baby', 'shaver', 'nipper', 'child', 'small_fry']",The Shadow Catcher
they,[],The Shadow Catcher
set,"['arrange', 'adjust', 'go_down', 'do', 'specify', 'fix', 'solidification', 'countersink', 'Seth', 'coif', 'readiness', 'localise', 'dress', 'prepare', 'lay', 'set_up', 'fixed', 'laid', 'bent', 'mark', 'determined', 'Set', 'determine', 'jell', 'congeal', 'primed', 'set', 'define', 'put', 'place', 'curing', 'limit', 'rigid', 'hardening', 'go_under', 'located', 'dictated', 'correct', 'plant', 'typeset', 'lot', 'lay_out', 'coiffe', 'hardened', 'sic', 'position', 'fit', 'exercise_set', 'circle', 'placed', 'stage_set', 'ready', 'localize', 'fructify', 'coiffure', 'solidifying', 'situated', 'rig', 'pose', 'gear_up', 'band']",The Shadow Catcher
day,"['daylight', 'Clarence_Shepard_Day_Jr.', '24-hour_interval', 'twenty-four_hour_period', 'Day', 'mean_solar_day', 'day', 'Clarence_Day', 'sidereal_day', 'daytime', 'solar_day', 'twenty-four_hours']",The Shadow Catcher
Canadian's,[],The Shadow Catcher
dark,"['gloomy', 'wickedness', 'dark-skinned', 'sullen', 'dismal', 'night', 'saturnine', 'dingy', 'sour', 'benighted', 'darkness', 'coloured', 'colored', 'sorry', 'drear', 'non-white', 'glowering', 'dreary', 'dark', 'drab', 'shadow', 'morose', 'obscure', 'blue', 'iniquity', 'glum', 'dour', 'nighttime', 'moody', 'sinister', 'disconsolate', 'grim', 'black']",The Shadow Catcher
above,"['above', 'higher_up', 'in_a_higher_place', 'supra', 'to_a_higher_place']",The Shadow Catcher
gunfire,"['gunshot', 'gunfire']",The Shadow Catcher
body,"['torso', 'body', 'soundbox', 'consistence', 'organic_structure', 'personify', 'trunk', 'dead_body', 'eubstance', 'physical_structure', 'consistency']",The Shadow Catcher
sounded,"['voice', 'vocalize', 'go', 'fathom', 'vocalise', 'sound']",The Shadow Catcher
Before,"['in_front', 'ahead', 'earlier', 'before']",The Shadow Catcher
new-spilled,[],The Shadow Catcher
They'll,[],The Shadow Catcher
Old,"['onetime', 'old', 'older', 'former', 'erstwhile', 'Old', 'sometime', 'previous', 'sure-enough', 'honest-to-goodness', 'honest-to-god', 'one-time', 'quondam']",The Shadow Catcher
through,"['through', 'done', 'through_and_through', 'through_with']",The Shadow Catcher
thing,"['matter', 'thing', 'affair']",The Shadow Catcher
Still,"['silence', 'nevertheless', 'motionless', 'silent', 'tranquil', 'distillery', 'unruffled', 'noneffervescent', 'hush', 'stillness', 'tranquillise', 'inactive', 'withal', 'soundless', 'notwithstanding', 'all_the_same', 'however', 'placid', 'calm', 'static', 'allay', 'yet', 'ease', 'tranquilize', 'quieten', 'even_so', 'still', 'relieve', 'smooth', 'tranquillize', 'calm_down', 'lull', 'stock-still', 'hush_up', 'shut_up', 'nonetheless', 'even', 'quiet']",The Shadow Catcher
small,"['low', 'pocket-size', 'small-scale', 'modest', 'minor', 'belittled', 'small', 'diminished', 'lowly', 'minuscule', 'little', 'humble', 'pocket-sized']",The Shadow Catcher
raid,"['foray', 'bust', 'raid', 'maraud', 'foray_into']",The Shadow Catcher
scalp,['scalp'],The Shadow Catcher
flung,"['splurge', 'toss_out', 'toss_away', 'chuck_out', 'cast_aside', 'put_away', 'throw_out', 'cast_away', 'toss', 'discard', 'fling', 'dispose', 'throw_away', 'cast_out']",The Shadow Catcher
no,"['No', 'no_more', 'no', 'nobelium', 'atomic_number_102']",The Shadow Catcher
explanations,"['account', 'explanation']",The Shadow Catcher
post,"['Emily_Price_Post', 'military_post', 'carry', 'Post', 'spot', 'berth', 'C._W._Post', 'brand', 'mail', 'billet', 'Emily_Post', 'Charles_William_Post', 'Wiley_Post', 'place', 'put_up', 'office', 'postal_service', 'position', 'send', 'post', 'stake', 'station', 'situation', 'mail_service']",The Shadow Catcher
Attack,"['blast', 'assail', 'lash_out', 'assault', 'aggress', 'attempt', 'flack', 'onslaught', 'approach', 'tone-beginning', 'flak', 'onset', 'set_on', 'plan_of_attack', 'fire', 'attack', 'onrush', 'round', 'snipe']",The Shadow Catcher
There,"['in_that_respect', 'on_that_point', 'at_that_place', 'in_that_location', 'thither', 'there']",The Shadow Catcher
four,"['quadruplet', 'quaternary', 'four', 'quartet', 'IV', 'Little_Joe', 'quaternity', 'foursome', 'tetrad', 'iv', 'quaternion', 'four-spot', 'quatern', '4']",The Shadow Catcher
reached,"['accomplish', 'give', 'make', 'reach', 'arrive_at', 'touch', 'contact', 'pass_on', 'get_through', 'turn_over', 'hit', 'achieve', 'pass', 'get_hold_of', 'gain', 'attain', 'extend_to', 'strain', 'reach_out', 'progress_to', 'get_to', 'hand', 'strive']",The Shadow Catcher
Aricaras,"['Arikara', 'Aricara']",The Shadow Catcher
big,"['boastful', 'grown', 'bad', 'braggart', 'giving', 'self-aggrandising', 'vainglorious', 'self-aggrandizing', 'freehanded', 'boastfully', 'full-grown', 'gravid', 'bighearted', 'liberal', 'heavy', 'bounteous', 'enceinte', 'great', 'fully_grown', 'cock-a-hoop', 'handsome', 'adult', 'crowing', 'bountiful', 'swelled', 'with_child', 'openhanded', 'expectant', 'bragging', 'magnanimous', 'braggy', 'grownup', 'prominent', 'large', 'vauntingly', 'big']",The Shadow Catcher
long,"['retentive', 'foresighted', 'recollective', 'yearn', 'tenacious', 'foresightful', 'hanker', 'farseeing', 'prospicient', 'longsighted', 'farsighted', 'long']",The Shadow Catcher
whipping,"['welt', 'tanning', 'rack_up', 'strap', 'thrashing', 'scald', 'trounce', 'slaughter', 'beating', 'trouncing', 'lather', 'drubbing', 'whisk', 'walloping', 'whipstitching', 'worst', 'mop_up', 'whip', 'slash', 'lash', 'pip', 'flogging', 'flog', 'whipstitch', 'flagellation', 'lashing', 'debacle', 'snappy', 'whipping', 'blister']",The Shadow Catcher
black,"['Shirley_Temple', 'pitch-black', 'Negroid', 'inglorious', 'nigrify', 'mordant', 'disastrous', 'bootleg', 'smuggled', 'bleak', 'Black_person', 'fatal', 'blackamoor', 'smutty', 'opprobrious', 'black', 'inkiness', 'contraband', 'dark', 'melanise', 'Joseph_Black', 'disgraceful', 'Shirley_Temple_Black', 'total_darkness', 'lightlessness', 'shameful', 'Negro', 'dim', 'blacken', 'black-market', 'Black', 'ignominious', 'calamitous', 'grim', 'fateful', 'sinister', 'blackened', 'melanize', 'pitch-dark', 'blackness', 'pitch_blackness']",The Shadow Catcher
there's,[],The Shadow Catcher
survival,"['survival_of_the_fittest', 'survival', 'natural_selection', 'endurance', 'selection']",The Shadow Catcher
hunting,"['track_down', 'hunt', 'hunting', 'run', 'hound', 'hunt_down', 'trace', 'search']",The Shadow Catcher
mouth,"['mouthpiece', 'mouth', 'speak', 'backtalk', 'sassing', 'oral_cavity', 'sass', 'utter', 'talk', 'rima_oris', 'verbalize', 'oral_fissure', 'lip', 'verbalise', 'back_talk']",The Shadow Catcher
someone,"['soul', 'individual', 'someone', 'mortal', 'somebody', 'person']",The Shadow Catcher
spray,"['nebuliser', 'atomizer', 'spray', 'spraying', 'sprayer', 'nebulizer', 'atomiser']",The Shadow Catcher
talkin',[],The Shadow Catcher
savage,"['brute', 'fell', 'barbaric', 'blast', 'savage', 'wildcat', 'roughshod', 'uncivilized', 'cruel', 'wild', 'ferocious', 'wolf', 'furious', 'vicious', 'brutal', 'barbarous', 'barbarian', 'uncivilised', 'fierce', 'feral', 'pillory', 'crucify', 'ferine', 'beast']",The Shadow Catcher
