w,vector_semantico
Do,"['arrange', 'make', 'do', 'Doctor_of_Osteopathy', 'act', 'behave', 'brawl', 'coif', 'suffice', 'perform', 'exercise', 'dress', 'answer', 'practice', 'set', 'make_out', 'DO', 'practise', 'coiffe', 'execute', 'get_along', 'serve', 'ut', 'coiffure', 'cause', 'bash', 'doh', 'come', 'manage', 'fare']","Tristram Coffin, Not to the Swift"
DSM,[],"Tristram Coffin, Not to the Swift"
birth,"['deliver', 'parturition', 'nascence', 'nativity', 'giving_birth', 'give_birth', 'birthing', 'nascency', 'birth', 'parentage', 'bear', 'have']","Tristram Coffin, Not to the Swift"
perhaps,"['peradventure', 'possibly', 'perhaps', 'maybe', 'perchance', 'mayhap']","Tristram Coffin, Not to the Swift"
civilian,['civilian'],"Tristram Coffin, Not to the Swift"
panic,"['terror', 'panic', 'scare', 'affright']","Tristram Coffin, Not to the Swift"
fix,"['fasten', 'get', 'pay_off', 'make', 'cook', 'unsex', 'muddle', 'fixate', 'specify', 'fix', 'localization', 'kettle_of_fish', 'mess', 'prepare', 'sterilize', 'set_up', 'pickle', 'determine', 'pay_back', 'localisation', 'set', 'define', 'sterilise', 'fixing', 'limit', 'hole', 'mending', 'reparation', 'situate', 'deposit', 'secure', 'fixture', 'doctor', 'ready', 'jam', 'repair', 'desexualize', 'locating', 'bushel', 'posit', 'desex', 'furbish_up', 'mend', 'location', 'gear_up', 'touch_on', 'desexualise', 'restore']","Tristram Coffin, Not to the Swift"
in,"['atomic_number_49', 'inward', 'In', 'inch', 'inwards', 'IN', 'Hoosier_State', 'indium', 'in', 'Indiana']","Tristram Coffin, Not to the Swift"
much,"['very_much', 'often', 'a_lot', 'practically', 'a_great_deal', 'lots', 'a_good_deal', 'much']","Tristram Coffin, Not to the Swift"
these,[],"Tristram Coffin, Not to the Swift"
destroy,"['demolish', 'put_down', 'destruct', 'ruin', 'destroy']","Tristram Coffin, Not to the Swift"
chance,"['chance', 'bump', 'take_a_chance', 'prospect', 'opportunity', 'gamble', 'adventure', 'run_a_risk', 'find', 'take_chances', 'encounter', 'probability', 'risk', 'casual', 'luck', 'fortune', 'happen', 'hazard']","Tristram Coffin, Not to the Swift"
broke,"['infract', 'bankrupt', 'die', 'wear_out', 'broke', 'better', 'give_out', 'unwrap', 'divulge', 'breach', 'break_dance', 'offend', 'pause', 'transgress', 'discontinue', 'damp', 'recrudesce', 'dampen', 'part', 'snap_off', 'collapse', 'fall_in', 'wear', 'crack', 'interrupt', 'break-dance', 'go_bad', 'soften', 'weaken', 'skint', 'conk_out', 'stone-broke', 'relegate', 'break', 'break_away', 'give_way', 'bring_out', 'violate', 'founder', 'let_on', 'give', 'get_around', 'break_out', 'erupt', 'demote', 'let_out', 'split_up', 'fall_apart', 'split', 'ruin', 'kick_downstairs', 'go', 'fracture', 'go_against', 'break_off', 'disclose', 'discover', 'give_away', 'expose', 'bump', 'break_down', 'break_up', 'burst', 'stop', 'break_in', 'cave_in', 'come_apart', 'check', 'get_out', 'stony-broke', 'reveal', 'separate', 'intermit', 'smash', 'fail', 'bust', 'develop']","Tristram Coffin, Not to the Swift"
end,"['death', 'remainder', 'oddment', 'final_stage', 'remnant', 'last', 'end', 'finish', 'cease', 'conclusion', 'destruction', 'terminate', 'goal', 'closing', 'terminal', 'close', 'stop', 'ending']","Tristram Coffin, Not to the Swift"
troubled,"['pain', 'incommode', 'riotous', 'disquiet', 'disruptive', 'disorder', 'bother', 'troubled', 'trouble_oneself', 'inconvenience_oneself', 'inconvenience', 'trouble', 'distract', 'disoblige', 'ail', 'put_out', 'perturb', 'discommode', 'unhinge', 'disturb', 'turbulent', 'tumultuous', 'upset', 'cark']","Tristram Coffin, Not to the Swift"
leave,"['leave_behind', 'bequeath', 'give', 'entrust', 'pass_on', 'allow', 'will', 'go_away', 'leave_of_absence', 'leave', 'leave_alone', 'pull_up_stakes', 'exit', 'allow_for', 'get_out', 'go_out', 'forget', 'go_forth', 'provide', 'depart', 'result', 'parting', 'impart', 'leave-taking', 'lead', 'farewell']","Tristram Coffin, Not to the Swift"
watching,"['look_out', 'keep_an_eye_on', 'observance', 'find_out', 'catch', 'ascertain', 'watch_over', 'watching', 'determine', 'watch_out', 'check', 'observe', 'learn', 'follow', 'observation', 'take_in', 'see', 'watch', 'look_on', 'view']","Tristram Coffin, Not to the Swift"
Therefore,"['thus', 'so', 'hence', 'consequently', 'therefore', 'thence']","Tristram Coffin, Not to the Swift"
water's,[],"Tristram Coffin, Not to the Swift"
acquire,"['gain', 'take_on', 'larn', 'assume', 'get', 'win', 'produce', 'learn', 'take', 'adopt', 'acquire', 'grow', 'develop', 'evolve']","Tristram Coffin, Not to the Swift"
brandy,['brandy'],"Tristram Coffin, Not to the Swift"
they,[],"Tristram Coffin, Not to the Swift"
whisky,"['whiskey', 'whisky']","Tristram Coffin, Not to the Swift"
decided,"['decide', 'adjudicate', 'settle', ""make_up_one's_mind"", 'distinct', 'resolve', 'determine', 'decided']","Tristram Coffin, Not to the Swift"
day,"['daylight', 'Clarence_Shepard_Day_Jr.', '24-hour_interval', 'twenty-four_hour_period', 'Day', 'mean_solar_day', 'day', 'Clarence_Day', 'sidereal_day', 'daytime', 'solar_day', 'twenty-four_hours']","Tristram Coffin, Not to the Swift"
accent,"['stress', 'punctuate', 'accent_mark', 'emphasize', 'accentuate', 'emphasise', 'dialect', 'emphasis', 'accent', 'idiom', 'speech_pattern']","Tristram Coffin, Not to the Swift"
gangs,"['pack', 'work_party', 'crew', 'ring', 'mob', 'gang', 'bunch', 'crowd', 'gang_up']","Tristram Coffin, Not to the Swift"
dark,"['gloomy', 'wickedness', 'dark-skinned', 'sullen', 'dismal', 'night', 'saturnine', 'dingy', 'sour', 'benighted', 'darkness', 'coloured', 'colored', 'sorry', 'drear', 'non-white', 'glowering', 'dreary', 'dark', 'drab', 'shadow', 'morose', 'obscure', 'blue', 'iniquity', 'glum', 'dour', 'nighttime', 'moody', 'sinister', 'disconsolate', 'grim', 'black']","Tristram Coffin, Not to the Swift"
above,"['above', 'higher_up', 'in_a_higher_place', 'supra', 'to_a_higher_place']","Tristram Coffin, Not to the Swift"
He'd,[],"Tristram Coffin, Not to the Swift"
table,"['board', 'postpone', 'defer', 'put_over', 'table', 'set_back', 'mesa', 'hold_over', 'prorogue', 'remit', 'tabularise', 'tabularize', 'tabulate', 'shelve', 'put_off', 'tabular_array']","Tristram Coffin, Not to the Swift"
Before,"['in_front', 'ahead', 'earlier', 'before']","Tristram Coffin, Not to the Swift"
paralyzes,"['paralyse', 'paralyze']","Tristram Coffin, Not to the Swift"
Pennsylvania,"['PA', 'University_of_Pennsylvania', 'Keystone_State', 'Pennsylvania', 'Penn']","Tristram Coffin, Not to the Swift"
receptive,"['open', 'centripetal', 'receptive', 'sensory']","Tristram Coffin, Not to the Swift"
signal,"['signaling', 'betoken', 'signalise', 'signal', 'bespeak', 'point', 'indicate', 'signalize', 'sign']","Tristram Coffin, Not to the Swift"
through,"['through', 'done', 'through_and_through', 'through_with']","Tristram Coffin, Not to the Swift"
small,"['low', 'pocket-size', 'small-scale', 'modest', 'minor', 'belittled', 'small', 'diminished', 'lowly', 'minuscule', 'little', 'humble', 'pocket-sized']","Tristram Coffin, Not to the Swift"
Jeff,[],"Tristram Coffin, Not to the Swift"
Old,"['onetime', 'old', 'older', 'former', 'erstwhile', 'Old', 'sometime', 'previous', 'sure-enough', 'honest-to-goodness', 'honest-to-god', 'one-time', 'quondam']","Tristram Coffin, Not to the Swift"
Davao,[],"Tristram Coffin, Not to the Swift"
no,"['No', 'no_more', 'no', 'nobelium', 'atomic_number_102']","Tristram Coffin, Not to the Swift"
afraid,['afraid'],"Tristram Coffin, Not to the Swift"
too,"['excessively', 'overly', 'as_well', 'to_a_fault', 'besides', 'likewise', 'too', 'also']","Tristram Coffin, Not to the Swift"
afford,"['afford', 'give', 'yield', 'open']","Tristram Coffin, Not to the Swift"
There,"['in_that_respect', 'on_that_point', 'at_that_place', 'in_that_location', 'thither', 'there']","Tristram Coffin, Not to the Swift"
four,"['quadruplet', 'quaternary', 'four', 'quartet', 'IV', 'Little_Joe', 'quaternity', 'foursome', 'tetrad', 'iv', 'quaternion', 'four-spot', 'quatern', '4']","Tristram Coffin, Not to the Swift"
graciously,"['gracefully', 'graciously']","Tristram Coffin, Not to the Swift"
Chris,[],"Tristram Coffin, Not to the Swift"
cost,"['cost', 'price', 'be', 'toll', 'monetary_value']","Tristram Coffin, Not to the Swift"
home,"['house', 'abode', 'family', 'domicile', 'habitation', 'interior', 'home_base', 'place', 'national', 'dwelling', 'nursing_home', 'plate', 'rest_home', 'menage', 'home_plate', 'internal', 'home', 'dwelling_house', 'household', 'base']","Tristram Coffin, Not to the Swift"
promise,"['prognosticate', 'hope', 'call', 'assure', 'promise', 'anticipate', 'predict', 'foretell', 'forebode']","Tristram Coffin, Not to the Swift"
enemy,"['foe', 'opposition', 'foeman', 'enemy']","Tristram Coffin, Not to the Swift"
base,"['found', 'meanspirited', 'basal', 'al-Qaeda', 'pedestal', 'al-Qaida', 'Base', 'bag', 'foundation', 'floor', 'basis', 'stem', 'root', 'base_of_operations', 'baseborn', 'immoral', 'cornerstone', 'foot', 'radical', 'ground', 'groundwork', 'nucleotide', 'stand', 'substructure', 'establish', 'free-base', 'humble', 'home', 'Qaeda', 'root_word', 'understructure', 'radix', 'alkali', 'mean', ""al-Qa'ida"", 'infrastructure', 'lowly', 'base', 'fundament', 'theme']","Tristram Coffin, Not to the Swift"
long,"['retentive', 'foresighted', 'recollective', 'yearn', 'tenacious', 'foresightful', 'hanker', 'farseeing', 'prospicient', 'longsighted', 'farsighted', 'long']","Tristram Coffin, Not to the Swift"
black,"['Shirley_Temple', 'pitch-black', 'Negroid', 'inglorious', 'nigrify', 'mordant', 'disastrous', 'bootleg', 'smuggled', 'bleak', 'Black_person', 'fatal', 'blackamoor', 'smutty', 'opprobrious', 'black', 'inkiness', 'contraband', 'dark', 'melanise', 'Joseph_Black', 'disgraceful', 'Shirley_Temple_Black', 'total_darkness', 'lightlessness', 'shameful', 'Negro', 'dim', 'blacken', 'black-market', 'Black', 'ignominious', 'calamitous', 'grim', 'fateful', 'sinister', 'blackened', 'melanize', 'pitch-dark', 'blackness', 'pitch_blackness']","Tristram Coffin, Not to the Swift"
there's,[],"Tristram Coffin, Not to the Swift"
Moonan,[],"Tristram Coffin, Not to the Swift"
flower,"['efflorescence', 'peak', 'flower', 'heyday', 'prime', 'bloom', 'blossom', 'flush']","Tristram Coffin, Not to the Swift"
thinks,"['imagine', 'consider', 'retrieve', 'cerebrate', 'suppose', 'reckon', 'call_back', 'conceive', 'call_up', 'intend', 'remember', 'guess', 'think', 'opine', 'believe', 'recall', 'mean', 'recollect', 'cogitate']","Tristram Coffin, Not to the Swift"
someone,"['soul', 'individual', 'someone', 'mortal', 'somebody', 'person']","Tristram Coffin, Not to the Swift"
pattern,"['convention', 'approach_pattern', 'design', 'form', 'pattern', 'figure', 'radiation_pattern', 'blueprint', 'model', 'rule', 'shape', 'traffic_pattern', 'radiation_diagram', 'normal', 'formula', 'practice']","Tristram Coffin, Not to the Swift"
make,"['urinate', 'get', 'realize', 'give', 'ca-ca', 'make', 'reach', 'do', 'arrive_at', 'cook', 'brand', 'fix', 'pull_in', 'build', 'pass_water', 'constitute', 'name', 'create', 'hit', 'piss', 'bring_in', 'construct', 'prepare', 'produce', 'stool', 'take_a_crap', 'pee', 'shuffle', 'induce', 'relieve_oneself', 'stimulate', 'gain', 'wee', 'attain', 'spend_a_penny', 'take_a_leak', 'seduce', 'pretend', 'clear', 'hold', 'make_water', 'make_up', 'progress_to', 'take', 'get_to', 'establish', 'shuffling', 'take_in', 'shit', 'piddle', 'take_a_shit', 'nominate', 'work', 'ready', 'micturate', 'defecate', 'lay_down', 'throw', 'cause', 'form', 'score', 'wee-wee', 'make_believe', 'pee-pee', 'draw', 'crap', 'earn', 'realise', 'puddle', 'have']","Tristram Coffin, Not to the Swift"
until,[],"Tristram Coffin, Not to the Swift"
full,"['total', 'full-of-the-moon', 'good', 'full_phase_of_the_moon', 'full_moon', 'broad', 'to_the_full', 'wax', 'replete', 'full', 'entire', 'wide-cut', 'wide', 'fully']","Tristram Coffin, Not to the Swift"
its,"['information_technology', 'IT']","Tristram Coffin, Not to the Swift"
some,"['about', 'more_or_less', 'just_about', 'around', 'close_to', 'or_so', 'some', 'approximately', 'roughly']","Tristram Coffin, Not to the Swift"
don't,[],"Tristram Coffin, Not to the Swift"
turn,"['deform', 'spell', 'move_around', 'play', 'release', 'bit', 'act', 'rick', 'turn', 'turn_over', 'tour', 'wrick', 'sour', 'turning', 'bend', 'change_state', 'sprain', 'wrench', 'routine', 'grow', 'bout', 'change_by_reversal', 'twist', 'go', 'become', 'good_turn', 'ferment', 'work', 'crook', 'round', 'number', 'flex', 'turn_of_events', 'plough', 'plow', 'call_on', 'reverse']","Tristram Coffin, Not to the Swift"
shoot,"['spud', 'photograph', 'blast', 'charge', 'fool_away', 'pullulate', 'buck', 'shoot', 'fritter', 'hit', 'tear', 'bourgeon', 'scoot', 'germinate', 'snap', 'inject', 'shoot_down', 'flash', 'frivol_away', 'film', 'dash', 'scud', 'dissipate', 'pip', 'take', 'dart', 'fritter_away', 'sprout', 'fool', 'burgeon_forth']","Tristram Coffin, Not to the Swift"
as,"['antiophthalmic_factor', 'axerophthol', 'a', 'group_A', 'arsenic', 'As', 'as', 'vitamin_A', 'angstrom_unit', 'deoxyadenosine_monophosphate', 'ampere', 'every_bit', 'amp', 'AS', 'A', 'equally', 'adenine', 'atomic_number_33', 'American_Samoa', 'Eastern_Samoa', 'type_A', 'angstrom']","Tristram Coffin, Not to the Swift"
picking,"['find_fault', 'foot', 'picking', 'pluck', 'pick', 'plunk', 'clean', 'piece', 'beak', 'break_up', 'cull', 'nibble', 'blame', 'peck']","Tristram Coffin, Not to the Swift"
mess,"['good_deal', 'batch', 'muddle', 'fix', 'messiness', 'kettle_of_fish', 'plenty', 'mess_up', 'hatful', 'quite_a_little', 'sight', 'mess', 'mickle', 'slew', 'heap', 'wad', 'pickle', 'tidy_sum', 'hole', 'stack', 'deal', 'spate', 'lot', 'mass', 'great_deal', 'mint', 'mountain', 'flock', 'mess_hall', 'jam', 'pile', 'muss', 'muckle', 'passel', 'raft', 'pot', 'peck', 'mussiness']","Tristram Coffin, Not to the Swift"
never,"['never', ""ne'er""]","Tristram Coffin, Not to the Swift"
poor,"['pitiable', 'pathetic', 'miserable', 'wretched', 'inadequate', 'pitiful', 'poor', 'piteous', 'misfortunate', 'poor_people', 'short', 'hapless']","Tristram Coffin, Not to the Swift"
hurried,"['hurry', 'rush', 'zip', 'hasten', 'hurried', 'travel_rapidly', 'festinate', 'look_sharp', 'speed']","Tristram Coffin, Not to the Swift"
minute,"['hour', 'moment', 'arcminute', 'second', 'minute_of_arc', 'mo', 'bit', 'minute', 'instant', 'infinitesimal', 'narrow', 'min']","Tristram Coffin, Not to the Swift"
sniper's,[],"Tristram Coffin, Not to the Swift"
coffee,"['burnt_umber', 'umber', 'chocolate', 'deep_brown', 'coffee_tree', 'coffee', 'java', 'coffee_bean', 'coffee_berry']","Tristram Coffin, Not to the Swift"
laughed,"['express_mirth', 'laugh', 'express_joy']","Tristram Coffin, Not to the Swift"
monk,"['monk', 'Thelonious_Sphere_Monk', 'monastic', 'Monk', 'Thelonious_Monk']","Tristram Coffin, Not to the Swift"
deceptive,"['shoddy', 'misleading', 'deceptive', 'delusory']","Tristram Coffin, Not to the Swift"
Secretary,"['secretaire', 'writing_table', 'repository', 'secretary', 'secretarial_assistant', 'escritoire']","Tristram Coffin, Not to the Swift"
dinner,"['dinner', 'dinner_party']","Tristram Coffin, Not to the Swift"
widow,"['widow', 'widow_woman']","Tristram Coffin, Not to the Swift"
writer,"['author', 'writer']","Tristram Coffin, Not to the Swift"
sentry,"['watch', 'lookout_man', 'spotter', 'lookout', 'sentry', 'sentinel', 'picket', 'scout']","Tristram Coffin, Not to the Swift"
picture,"['moving-picture_show', 'ikon', 'photograph', 'show', 'moving_picture', 'picture_show', 'flick', 'delineation', 'motion_picture', 'word-painting', 'characterisation', 'impression', 'image', 'envision', 'motion-picture_show', 'characterization', 'pic', 'photo', 'project', 'film', 'painting', 'exposure', 'fancy', 'mental_picture', 'video', 'depict', 'picture', 'visualize', 'depiction', 'movie', 'see', 'pictorial_matter', 'word_picture', 'figure', 'render', 'visualise', 'scene', 'icon']","Tristram Coffin, Not to the Swift"
been,"['equal', 'comprise', 'represent', 'cost', 'embody', 'follow', 'be', 'exist', 'make_up', 'personify', 'live', 'constitute']","Tristram Coffin, Not to the Swift"
both,['both'],"Tristram Coffin, Not to the Swift"
grenades,['grenade'],"Tristram Coffin, Not to the Swift"
