w,taza
"('``', 'The')",0.0,North Country School Cares for the Whole Child
"('The', 'food')",0.0,North Country School Cares for the Whole Child
"('food', 'is')",0.0,North Country School Cares for the Whole Child
"('is', 'wonderful')",0.0,North Country School Cares for the Whole Child
"('wonderful', 'and')",0.2,North Country School Cares for the Whole Child
"('and', 'it')",0.0,North Country School Cares for the Whole Child
"('it', 'is')",0.3333333333333333,North Country School Cares for the Whole Child
"('is', 'a')",0.0,North Country School Cares for the Whole Child
"('a', 'lot')",0.0,North Country School Cares for the Whole Child
"('lot', 'of')",0.25,North Country School Cares for the Whole Child
"('of', 'fun')",0.25,North Country School Cares for the Whole Child
"('fun', 'to')",0.0,North Country School Cares for the Whole Child
"('to', 'be')",0.0,North Country School Cares for the Whole Child
"('be', 'here')",0.25,North Country School Cares for the Whole Child
"('here', ""''"")",0.0,North Country School Cares for the Whole Child
"(""''"", '!')",0.0,North Country School Cares for the Whole Child
"('!', '!')",1.0,North Country School Cares for the Whole Child
"('!', 'So')",0.0,North Country School Cares for the Whole Child
"('So', 'wrote')",0.16666666666666666,North Country School Cares for the Whole Child
"('wrote', 'a')",0.0,North Country School Cares for the Whole Child
"('a', 'ten')",0.0,North Country School Cares for the Whole Child
"('ten', 'year')",0.16666666666666666,North Country School Cares for the Whole Child
"('year', 'old')",0.0,North Country School Cares for the Whole Child
"('old', 'student')",0.125,North Country School Cares for the Whole Child
"('student', 'in')",0.14285714285714285,North Country School Cares for the Whole Child
"('in', 'a')",0.0,North Country School Cares for the Whole Child
"('a', 'letter')",0.0,North Country School Cares for the Whole Child
"('letter', 'to')",0.2,North Country School Cares for the Whole Child
"('to', 'his')",0.0,North Country School Cares for the Whole Child
"('his', 'parents')",0.1111111111111111,North Country School Cares for the Whole Child
"('parents', 'from')",0.1,North Country School Cares for the Whole Child
"('from', 'North')",0.2857142857142857,North Country School Cares for the Whole Child
"('North', 'Country')",0.3333333333333333,North Country School Cares for the Whole Child
"('Country', 'School')",0.09090909090909091,North Country School Cares for the Whole Child
"('School', ',')",0.0,North Country School Cares for the Whole Child
"(',', 'Lake')",0.0,North Country School Cares for the Whole Child
"('Lake', 'Placid')",0.1111111111111111,North Country School Cares for the Whole Child
"('Placid', ',')",0.0,North Country School Cares for the Whole Child
"(',', 'New')",0.0,North Country School Cares for the Whole Child
