w,vector_semantico
sterling,"['sterling', 'greatest', 'superlative']",The Providence Journal
A,"['vitamin_A', 'A', 'a', 'axerophthol', 'deoxyadenosine_monophosphate', 'group_A', 'ampere', 'amp', 'type_A', 'angstrom', 'adenine', 'angstrom_unit', 'antiophthalmic_factor']",The Providence Journal
beginning,"['beginning', 'showtime', 'set_about', 'kickoff', 'start_out', 'root', 'get_down', 'get', 'set_out', 'commence', 'offset', 'get-go', 'begin', 'origin', 'rootage', 'outset', 'source', 'starting_time', 'lead_off', 'start', 'commencement', 'first']",The Providence Journal
vibrant,"['vibrant', 'vivacious']",The Providence Journal
there's,[],The Providence Journal
week,"['week', 'calendar_week', 'workweek', 'hebdomad']",The Providence Journal
Lauderdale,[],The Providence Journal
greatly,['greatly'],The Providence Journal
shells,"['eggshell', 'racing_shell', 'blast', 'case', 'casing', 'beat', 'crush', 'beat_out', 'vanquish', 'husk', 'cuticle', 'shield', 'plate', 'trounce', 'carapace', 'shell', 'scale']",The Providence Journal
costumes,"['costume', 'dress_up']",The Providence Journal
excellent,"['first-class', 'excellent', 'splendid', 'fantabulous']",The Providence Journal
Fiorello,[],The Providence Journal
garbage,"['drivel', 'food_waste', 'garbage', 'scraps', 'refuse']",The Providence Journal
opened,"['spread', 'unfold', 'afford', 'open_up', 'give', 'opened', 'open', 'spread_out']",The Providence Journal
Since,[],The Providence Journal
chap,"['fellow', 'fella', 'crack', 'blighter', 'fissure', 'feller', 'cranny', 'bloke', 'chap', 'cuss', 'gent', 'lad', 'crevice']",The Providence Journal
violence,"['ferocity', 'force', 'vehemence', 'furiousness', 'violence', 'wildness', 'fury', 'fierceness']",The Providence Journal
North,"['northwards', 'due_north', 'north', 'northward', 'Frederick_North', 'Second_Earl_of_Guilford', 'N', 'compass_north', 'Union', 'magnetic_north', 'northerly', 'North']",The Providence Journal
productions,"['yield', 'product', 'output', 'production']",The Providence Journal
fairly,"['fairly', 'pretty', 'moderately', 'passably', 'somewhat', 'reasonably', 'clean', 'evenhandedly', 'jolly', 'fair', 'middling']",The Providence Journal
proficient,"['practiced', 'proficient', 'technical', 'expert', 'skillful', 'adept', 'skilful', 'good']",The Providence Journal
Bock,"['bock_beer', 'bock']",The Providence Journal
Joe,[],The Providence Journal
charming,"['enamour', 'magical', 'sorcerous', 'charming', 'trance', 'bewitch', 'captivate', 'beguile', 'catch', 'entrance', 'becharm', 'tempt', 'enchant', 'magic', 'fascinate', 'capture', 'witching', 'wizard', 'charm', 'influence', 'enamor', 'wizardly']",The Providence Journal
10-year-old,[],The Providence Journal
second,"['s', 'endorse', 'moment', 'endorsement', '2nd', 'irregular', 'second', 'sec', 'indorse', 'arcsecond', 'back', 'indorsement', 'minute', 'secondly', 'mo', '2d', 'second_gear', 'bit', 'secondment', 'second_base', 'instant']",The Providence Journal
amusing,"['laughable', 'amusing', 'amusive', 'funny', 'comical', 'risible', 'mirthful', 'comic', 'amuse', 'diverting', 'divert', 'disport']",The Providence Journal
started,"['come_out', 'pop_out', 'get_going', 'set_about', 'take_up', 'originate', 'start_out', 'jump', 'set_off', 'get_down', 'startle', 'initiate', 'pop', 'get', 'set_out', 'commence', 'depart', 'embark_on', 'bulge', 'bulge_out', 'begin', 'start_up', 'take_off', 'set_forth', 'part', 'go', 'bug_out', 'protrude', 'lead_off', 'start']",The Providence Journal
night,"['nighttime', 'Night', 'night', 'Nox', 'dark']",The Providence Journal
Hutton,"['Sir_Leonard_Hutton', 'Hutton', 'James_Hutton']",The Providence Journal
highest,"['eminent', 'gamey', 'mellow', 'high', 'in_high_spirits', 'high-pitched', 'gamy']",The Providence Journal
fiery,"['flaming', 'igneous', 'fiery', 'perfervid', 'fervid', 'impassioned', 'torrid', 'ardent', 'fervent']",The Providence Journal
Lawless,"['anarchic', 'anarchical', 'lawless', 'outlaw', 'wide-open']",The Providence Journal
with,[],The Providence Journal
whom,[],The Providence Journal
flawless,"['flawless', 'unflawed']",The Providence Journal
Yvette,[],The Providence Journal
like,"['corresponding', 'wish', 'like', 'similar', 'ilk', 'same', 'alike', 'the_likes_of', 'comparable', 'the_like', 'care']",The Providence Journal
written,"['written', 'pen', 'compose', 'save', 'publish', 'drop_a_line', 'scripted', 'write', 'spell', 'indite']",The Providence Journal
