w,vector_semantico
A,"['vitamin_A', 'A', 'a', 'axerophthol', 'deoxyadenosine_monophosphate', 'group_A', 'ampere', 'amp', 'type_A', 'angstrom', 'adenine', 'angstrom_unit', 'antiophthalmic_factor']",The Invisible Aborigine
kept,"['celebrate', 'sustain', 'kept', 'save', 'keep_back', 'proceed', 'maintain', 'hold_open', 'prevent', 'unbroken', 'keep_on', 'keep_open', 'hold_on', 'stay_fresh', 'preserve', 'continue', 'observe', 'keep', 'restrain', 'retain', 'hold_back', 'hold', 'go_along', 'go_on']",The Invisible Aborigine
left,"['get_out', 'leave_alone', 'go_away', 'left', 'left-hand', 'entrust', 'remaining', 'allow_for', 'exit', 'left_over', 'left_hand', 'go_out', 'pull_up_stakes', 'leftfield', 'go_forth', 'leftover', 'odd', 'impart', 'allow', 'leave', 'provide', 'depart', 'unexpended', 'left_wing', 'will', 'pass_on', 'bequeath', 'forget', 'leave_behind', 'left_field', 'lead', 'result', 'give']",The Invisible Aborigine
worms,"['insect', 'wrestle', 'worm', 'louse', 'writhe', 'dirt_ball', 'squirm', 'wriggle', 'twist']",The Invisible Aborigine
beckoned,"['wave', 'beckon']",The Invisible Aborigine
hills,"['hill', 'Alfred_Hawthorne', 'J._J._Hill', 'Hill', ""pitcher's_mound"", 'James_Jerome_Hill', 'mound', 'Benny_Hill']",The Invisible Aborigine
confined,"['throttle', 'restrain', 'trammel', 'enclose', 'captive', 'limit', 'imprisoned', 'restrict', 'bound', 'confine', 'detain', 'hold_in', 'jailed', 'hold', 'circumscribe', 'confined']",The Invisible Aborigine
container,['container'],The Invisible Aborigine
well-equipped,[],The Invisible Aborigine
burning,"['sting', 'burning', 'incinerate', 'burn_off', 'bite', 'cut', 'glow', 'cauterize', 'electrocution', 'fire', 'combust', 'cauterise', 'burning_at_the_stake', 'burn_up', 'sunburn', 'burn', 'burn_down', 'combustion']",The Invisible Aborigine
leaf,"['riff', 'leafage', 'leaf', 'flip', 'riffle', 'thumb', 'folio', 'flick', 'foliage']",The Invisible Aborigine
second,"['s', 'endorse', 'moment', 'endorsement', '2nd', 'irregular', 'second', 'sec', 'indorse', 'arcsecond', 'back', 'indorsement', 'minute', 'secondly', 'mo', '2d', 'second_gear', 'bit', 'secondment', 'second_base', 'instant']",The Invisible Aborigine
