w,vector_semantico
A,"['vitamin_A', 'A', 'a', 'axerophthol', 'deoxyadenosine_monophosphate', 'group_A', 'ampere', 'amp', 'type_A', 'angstrom', 'adenine', 'angstrom_unit', 'antiophthalmic_factor']",Here Comes Pete Now.
kept,"['celebrate', 'sustain', 'kept', 'save', 'keep_back', 'proceed', 'maintain', 'hold_open', 'prevent', 'unbroken', 'keep_on', 'keep_open', 'hold_on', 'stay_fresh', 'preserve', 'continue', 'observe', 'keep', 'restrain', 'retain', 'hold_back', 'hold', 'go_along', 'go_on']",Here Comes Pete Now.
irregularities,"['geometrical_irregularity', 'constipation', 'abnormality', 'unregularity', 'irregularity']",Here Comes Pete Now.
left,"['get_out', 'leave_alone', 'go_away', 'left', 'left-hand', 'entrust', 'remaining', 'allow_for', 'exit', 'left_over', 'left_hand', 'go_out', 'pull_up_stakes', 'leftfield', 'go_forth', 'leftover', 'odd', 'impart', 'allow', 'leave', 'provide', 'depart', 'unexpended', 'left_wing', 'will', 'pass_on', 'bequeath', 'forget', 'leave_behind', 'left_field', 'lead', 'result', 'give']",Here Comes Pete Now.
pompous,"['ceremonious', 'pompous', 'grandiloquent', 'portentous', 'overblown', 'pontifical']",Here Comes Pete Now.
forced,"['hale', 'strained', 'ram', 'force', 'forced', 'draw', 'coerce', 'drive', 'push', 'wedge', 'storm', 'squeeze', 'impel', 'thrust', 'constrained', 'pressure', 'pull']",Here Comes Pete Now.
underneath,['underneath'],Here Comes Pete Now.
Since,[],Here Comes Pete Now.
signed,"['signalise', 'bless', 'sign', 'signal', 'sign-language', 'gestural', 'contract', 'sign_on', 'sign_up', 'signed', 'subscribe', 'signalize', 'ratify']",Here Comes Pete Now.
desire,"['trust', 'hope', 'want', 'desire']",Here Comes Pete Now.
having,"['sustain', 'experience', 'give_birth', 'make', 'take_in', 'suffer', 'have_got', 'cause', 'accept', 'own', 'have', 'feature', 'ingest', 'consume', 'get', 'bear', 'throw', 'induce', 'let', 'stimulate', 'birth', 'possess', 'take', 'deliver', 'give', 'hold', 'receive']",Here Comes Pete Now.
knuckles,"['knuckles', 'knuckle_joint', 'brass_knucks', 'brass_knuckles', 'knucks', 'metacarpophalangeal_joint', 'knuckle', 'knuckle_duster']",Here Comes Pete Now.
morning's,[],Here Comes Pete Now.
admit,"['accommodate', 'let_in', 'intromit', 'take', 'take_on', 'allow_in', 'admit', 'acknowledge', 'accept', 'hold', 'include', 'allow']",Here Comes Pete Now.
with,[],Here Comes Pete Now.
vain,"['conceited', 'futile', 'self-conceited', 'swollen', 'swollen-headed', 'bootless', 'vain', 'egotistic', 'fruitless', 'egotistical', 'sleeveless']",Here Comes Pete Now.
unusual,"['unusual', 'strange']",Here Comes Pete Now.
dapper,"['snappy', 'spruce', 'natty', 'dashing', 'spiffy', 'jaunty', 'rakish', 'raffish', 'dapper']",Here Comes Pete Now.
delay,"['holdup', 'hold_up', 'postponement', 'retard', 'time_lag', 'detain', 'check', 'stay', 'hold', 'wait', 'delay']",Here Comes Pete Now.
frayed,"['fray', 'frazzle', 'chafe', 'scratch', 'fret', 'rub', 'frayed']",Here Comes Pete Now.
like,"['corresponding', 'wish', 'like', 'similar', 'ilk', 'same', 'alike', 'the_likes_of', 'comparable', 'the_like', 'care']",Here Comes Pete Now.
unbroken,"['unplowed', 'unbroken', 'unploughed', 'kept']",Here Comes Pete Now.
