w,vector_semantico
A,"['vitamin_A', 'A', 'a', 'axerophthol', 'deoxyadenosine_monophosphate', 'group_A', 'ampere', 'amp', 'type_A', 'angstrom', 'adenine', 'angstrom_unit', 'antiophthalmic_factor']",The Judges of the Secret Court
watched,"['keep_an_eye_on', 'watch', 'look_out', 'observe', 'ascertain', 'watch_over', 'view', 'take_in', 'catch', 'determine', 'see', 'follow', 'look_on', 'watch_out', 'check', 'find_out', 'learn']",The Judges of the Secret Court
repeatedly,['repeatedly'],The Judges of the Secret Court
left,"['get_out', 'leave_alone', 'go_away', 'left', 'left-hand', 'entrust', 'remaining', 'allow_for', 'exit', 'left_over', 'left_hand', 'go_out', 'pull_up_stakes', 'leftfield', 'go_forth', 'leftover', 'odd', 'impart', 'allow', 'leave', 'provide', 'depart', 'unexpended', 'left_wing', 'will', 'pass_on', 'bequeath', 'forget', 'leave_behind', 'left_field', 'lead', 'result', 'give']",The Judges of the Secret Court
forced,"['hale', 'strained', 'ram', 'force', 'forced', 'draw', 'coerce', 'drive', 'push', 'wedge', 'storm', 'squeeze', 'impel', 'thrust', 'constrained', 'pressure', 'pull']",The Judges of the Secret Court
winding,"['curve', 'wreathe', 'winding', 'wrap', 'lift', 'weave', 'twisting', 'thread', 'hoist', 'tortuous', 'wander', 'twist', 'roll', 'wind', 'scent', 'twisty', 'rambling', 'meander', 'twine', 'wind_up', 'nose', 'wandering', 'voluminous', 'meandering']",The Judges of the Secret Court
violence,"['ferocity', 'force', 'vehemence', 'furiousness', 'violence', 'wildness', 'fury', 'fierceness']",The Judges of the Secret Court
opened,"['spread', 'unfold', 'afford', 'open_up', 'give', 'opened', 'open', 'spread_out']",The Judges of the Secret Court
Since,[],The Judges of the Secret Court
smashed,"['blast', 'plastered', 'pixilated', 'cockeyed', 'ruin', 'sloshed', 'nail', 'loaded', 'besotted', 'fuddled', 'smashed', 'squiffy', 'blotto', 'slopped', 'tight', 'soused', 'boom', 'pie-eyed', 'smash_up', 'pissed', 'break', 'bankrupt', 'blind_drunk', 'bang_up', 'stiff', 'sozzled', 'wet', 'crocked', 'soaked', 'crush', 'dash', 'demolish', 'smash']",The Judges of the Secret Court
night,"['nighttime', 'Night', 'night', 'Nox', 'dark']",The Judges of the Secret Court
arm,"['limb', 'sleeve', 'fortify', 'arm', 'build_up', 'gird', 'weapon', 'weapon_system', 'subdivision', 'branch']",The Judges of the Secret Court
with,[],The Judges of the Secret Court
moments,"['second', 'bit', 'import', 'consequence', 'mo', 'here_and_now', 'instant', 'moment', 'present_moment', 'minute']",The Judges of the Secret Court
bleeding,"['run', 'bleed', 'phlebotomize', 'haemorrhage', 'hemorrhage', 'shed_blood', 'phlebotomise', 'bleeding', 'leech']",The Judges of the Secret Court
worries,"['vexation', 'concern', 'headache', 'trouble', 'interest', 'occupy', 'worry', 'care', 'vex']",The Judges of the Secret Court
death,"['decease', 'dying', 'demise', 'expiry', 'destruction', 'end', 'last', 'death', 'Death']",The Judges of the Secret Court
like,"['corresponding', 'wish', 'like', 'similar', 'ilk', 'same', 'alike', 'the_likes_of', 'comparable', 'the_like', 'care']",The Judges of the Secret Court
lived,"['hold_up', 'subsist', 'experience', 'endure', 'live_on', 'live', 'go', 'be', 'know', 'survive', 'exist', 'inhabit', 'dwell', 'hold_out', 'populate', 'last']",The Judges of the Secret Court
who,"['World_Health_Organization', 'WHO']",The Judges of the Secret Court
clerk,"['shop_assistant', 'clerk', 'shop_clerk', 'salesclerk']",The Judges of the Secret Court
This,[],The Judges of the Secret Court
behind,"['butt', 'stern', 'tail_end', 'hindquarters', 'fanny', 'tush', 'tail', 'buttocks', 'buns', 'in_arrears', 'posterior', 'keister', 'tooshie', 'nates', 'prat', 'seat', 'behindhand', 'ass', 'hind_end', 'bum', 'backside', 'behind', 'can', 'bottom', 'rear', 'rump', 'slow', 'rear_end', 'derriere', 'fundament', 'arse']",The Judges of the Secret Court
In,"['atomic_number_49', 'indium', 'inwards', 'inch', 'IN', 'in', 'In', 'inward', 'Indiana', 'Hoosier_State']",The Judges of the Secret Court
darkness,"['duskiness', 'dark', 'swarthiness', 'iniquity', 'shadow', 'wickedness', 'darkness']",The Judges of the Secret Court
close,"['closing', 'stuffy', 'finis', 'fill_up', 'snug', 'tight', 'shut_down', 'closelipped', 'come_together', 'closely', 'faithful', 'closemouthed', 'conclude', 'last', 'ending', 'skinny', 'conclusion', 'finale', 'shut', 'secretive', 'penny-pinching', 'fold', 'cheeseparing', 'end', 'close', 'near', 'tightlipped', 'close-fitting', 'close_up', 'nigh', 'stopping_point', 'finish', 'airless', 'confining', 'closing_curtain', 'close_down', 'unaired']",The Judges of the Secret Court
end,"['cease', 'closing', 'conclusion', 'remnant', 'remainder', 'finish', 'goal', 'close', 'terminal', 'stop', 'terminate', 'destruction', 'oddment', 'end', 'final_stage', 'last', 'death', 'ending']",The Judges of the Secret Court
For,[],The Judges of the Secret Court
idiotic,"['idiotic', 'cockeyed', 'absurd', 'laughable', 'ludicrous', 'nonsensical', 'imbecile', 'imbecilic', 'ridiculous', 'crackbrained', 'derisory', 'preposterous']",The Judges of the Secret Court
weep,"['cry', 'weep']",The Judges of the Secret Court
bother,"['inconvenience_oneself', 'incommode', 'get_at', 'fuss', 'pain_in_the_ass', 'botheration', 'trouble_oneself', 'vex', 'annoyance', 'disoblige', 'nettle', 'devil', 'get_to', 'rile', 'nark', 'inconvenience', 'rag', 'put_out', 'gravel', 'irritate', 'infliction', 'annoy', 'trouble', 'pain', 'hassle', 'bother', 'chafe', 'discommode', 'pain_in_the_neck']",The Judges of the Secret Court
Overreach,"['outwit', 'beat', 'overreach', 'circumvent', 'outsmart', 'outfox']",The Judges of the Secret Court
made,"['take_a_shit', 'arrive_at', 'lay_down', 'make', 'make_believe', 'draw', 'take_in', 'take_a_leak', 'wee', 'clear', 'realise', 'cause', 'hit', 'micturate', 'urinate', 'pee', 'earn', 'constitute', 'construct', 'cook', 'stool', 'piddle', 'have', 'pull_in', 'build', 'spend_a_penny', 'ready', 'get_to', 'do', 'make_water', 'progress_to', 'relieve_oneself', 'wee-wee', 'work', 'get', 'form', 'throw', 'make_up', 'induce', 'name', 'attain', 'score', 'puddle', 'create', 'reach', 'defecate', 'fix', 'stimulate', 'bring_in', 'pretend', 'take', 'pass_water', 'produce', 'gain', 'establish', 'realize', 'take_a_crap', 'made', 'give', 'piss', 'prepare', 'hold', 'seduce', 'crap', 'pee-pee', 'ca-ca', 'nominate', 'shit']",The Judges of the Secret Court
declaimed,"['recite', 'declaim', 'inveigh']",The Judges of the Secret Court
elder,"['sr.', 'senior', 'older', 'elderberry_bush', 'elder']",The Judges of the Secret Court
Well,"['advantageously', 'swell', 'substantially', 'fountainhead', 'wellspring', 'well', 'easily', 'comfortably', 'intimately', 'considerably', 'good']",The Judges of the Secret Court
So,"['sol', 'thusly', 'therefore', 'indeed', 'and_so', 'soh', 'thus', 'thence', 'then', 'and_then', 'hence', 'so']",The Judges of the Secret Court
wasn't,[],The Judges of the Secret Court
body,"['trunk', 'dead_body', 'body', 'consistence', 'eubstance', 'torso', 'organic_structure', 'physical_structure', 'personify', 'soundbox', 'consistency']",The Judges of the Secret Court
