w,taza
"('The', 'expense')",0.14285714285714285,The Lovers
"('expense', 'and')",0.14285714285714285,The Lovers
"('and', 'time')",0.0,The Lovers
"('time', 'involved')",0.2222222222222222,The Lovers
"('involved', 'are')",0.1111111111111111,The Lovers
"('are', 'astronomical')",0.18181818181818182,The Lovers
"('astronomical', '.')",0.0,The Lovers
"('.', 'However')",0.0,The Lovers
"('However', ',')",0.0,The Lovers
"(',', 'we')",0.0,The Lovers
"('we', 'sent')",0.2,The Lovers
"('sent', 'a')",0.0,The Lovers
"('a', 'third')",0.0,The Lovers
"('third', 'vessel')",0.0,The Lovers
"('vessel', 'out')",0.0,The Lovers
"('out', ',')",0.0,The Lovers
"(',', 'a')",0.0,The Lovers
"('a', 'much')",0.0,The Lovers
"('much', 'smaller')",0.1111111111111111,The Lovers
"('smaller', 'and')",0.125,The Lovers
"('and', 'faster')",0.125,The Lovers
"('faster', 'one')",0.125,The Lovers
"('one', 'than')",0.16666666666666666,The Lovers
"('than', 'the')",0.4,The Lovers
"('the', 'first')",0.14285714285714285,The Lovers
"('first', 'two')",0.14285714285714285,The Lovers
"('two', '.')",0.0,The Lovers
"('.', 'We')",0.0,The Lovers
"('We', 'have')",0.2,The Lovers
"('have', 'learned')",0.25,The Lovers
"('learned', 'much')",0.0,The Lovers
"('much', 'about')",0.125,The Lovers
"('about', 'interstellar')",0.18181818181818182,The Lovers
"('interstellar', 'drives')",0.4,The Lovers
"('drives', 'since')",0.375,The Lovers
"('since', 'a')",0.0,The Lovers
"('a', 'hundred')",0.0,The Lovers
"('hundred', 'years')",0.2222222222222222,The Lovers
"('years', 'ago')",0.14285714285714285,The Lovers
"('ago', ';')",0.0,The Lovers
"(';', ';')",1.0,The Lovers
"(';', 'that')",0.0,The Lovers
"('that', 'is')",0.0,The Lovers
"('is', 'all')",0.0,The Lovers
"('all', 'I')",0.0,The Lovers
"('I', 'can')",0.0,The Lovers
"('can', 'tell')",0.0,The Lovers
"('tell', 'you')",0.0,The Lovers
"('you', 'about')",0.3333333333333333,The Lovers
"('about', 'them')",0.125,The Lovers
"('them', '.')",0.0,The Lovers
"('.', '``')",0.0,The Lovers
"('``', 'But')",0.0,The Lovers
"('But', 'the')",0.2,The Lovers
"('the', 'third')",0.3333333333333333,The Lovers
"('third', 'ship')",0.2857142857142857,The Lovers
"('ship', 'came')",0.0,The Lovers
"('came', 'back')",0.3333333333333333,The Lovers
"('back', 'several')",0.1111111111111111,The Lovers
"('several', 'years')",0.5714285714285714,The Lovers
"('ago', 'and')",0.2,The Lovers
"('and', 'reported')",0.125,The Lovers
"('reported', ""''"")",0.0,The Lovers
"(""''"", '``')",0.0,The Lovers
"('``', 'That')",0.0,The Lovers
"('That', 'it')",0.2,The Lovers
"('it', 'had')",0.0,The Lovers
"('had', 'found')",0.14285714285714285,The Lovers
"('found', 'a')",0.0,The Lovers
"('a', 'planet')",0.16666666666666666,The Lovers
"('planet', 'on')",0.14285714285714285,The Lovers
"('on', 'which')",0.0,The Lovers
"('which', 'human')",0.125,The Lovers
"('human', 'beings')",0.1,The Lovers
"('beings', 'could')",0.0,The Lovers
"('could', 'live')",0.125,The Lovers
"('live', 'and')",0.0,The Lovers
"('and', 'which')",0.0,The Lovers
"('which', 'was')",0.16666666666666666,The Lovers
"('was', 'already')",0.125,The Lovers
"('already', 'inhabited')",0.2727272727272727,The Lovers
"('inhabited', 'by')",0.1111111111111111,The Lovers
"('by', 'sentient')",0.0,The Lovers
"('sentient', 'beings')",0.5714285714285714,The Lovers
"('beings', ""''"")",0.0,The Lovers
"(""''"", '!')",0.0,The Lovers
"('!', '!')",1.0,The Lovers
"('!', 'Said')",0.0,The Lovers
"('Said', 'Hal')",0.16666666666666666,The Lovers
"('Hal', ',')",0.0,The Lovers
"(',', 'forgetting')",0.0,The Lovers
"('forgetting', 'in')",0.25,The Lovers
