w,vector_semantico
deteriorate,"['deteriorate', 'degenerate', 'drop', 'devolve']",North Country School Cares for the Whole Child
watched,"['keep_an_eye_on', 'watch', 'look_out', 'observe', 'ascertain', 'watch_over', 'view', 'take_in', 'catch', 'determine', 'see', 'follow', 'look_on', 'watch_out', 'check', 'find_out', 'learn']",North Country School Cares for the Whole Child
A,"['vitamin_A', 'A', 'a', 'axerophthol', 'deoxyadenosine_monophosphate', 'group_A', 'ampere', 'amp', 'type_A', 'angstrom', 'adenine', 'angstrom_unit', 'antiophthalmic_factor']",North Country School Cares for the Whole Child
major,"['major', 'Major', 'John_Major', 'John_R._Major', 'John_Roy_Major']",North Country School Cares for the Whole Child
kept,"['celebrate', 'sustain', 'kept', 'save', 'keep_back', 'proceed', 'maintain', 'hold_open', 'prevent', 'unbroken', 'keep_on', 'keep_open', 'hold_on', 'stay_fresh', 'preserve', 'continue', 'observe', 'keep', 'restrain', 'retain', 'hold_back', 'hold', 'go_along', 'go_on']",North Country School Cares for the Whole Child
beginning,"['beginning', 'showtime', 'set_about', 'kickoff', 'start_out', 'root', 'get_down', 'get', 'set_out', 'commence', 'offset', 'get-go', 'begin', 'origin', 'rootage', 'outset', 'source', 'starting_time', 'lead_off', 'start', 'commencement', 'first']",North Country School Cares for the Whole Child
opportunities,"['chance', 'opportunity']",North Country School Cares for the Whole Child
week,"['week', 'calendar_week', 'workweek', 'hebdomad']",North Country School Cares for the Whole Child
June,['June'],North Country School Cares for the Whole Child
shells,"['eggshell', 'racing_shell', 'blast', 'case', 'casing', 'beat', 'crush', 'beat_out', 'vanquish', 'husk', 'cuticle', 'shield', 'plate', 'trounce', 'carapace', 'shell', 'scale']",North Country School Cares for the Whole Child
begins,"['get', 'set_out', 'commence', 'start_out', 'begin', 'start', 'set_about', 'get_down', 'lead_off', 'Menachem_Begin', 'Begin']",North Country School Cares for the Whole Child
Sprouted,"['sprout', 'spud', 'burgeon_forth', 'bourgeon', 'pullulate', 'germinate', 'sprouted', 'stock', 'shoot']",North Country School Cares for the Whole Child
garbage,"['drivel', 'food_waste', 'garbage', 'scraps', 'refuse']",North Country School Cares for the Whole Child
development,"['ontogenesis', 'maturation', 'growing', 'ontogeny', 'growth', 'development', 'evolution', 'developing', 'exploitation']",North Country School Cares for the Whole Child
cooking,"['cook', 'manipulate', 'fake', 'fudge', 'make', 'wangle', 'ready', 'falsify', 'prepare', 'cooking', 'misrepresent', 'cookery', 'preparation', 'fix']",North Country School Cares for the Whole Child
Since,[],North Country School Cares for the Whole Child
Louis,"['Joseph_Louis_Barrow', 'Louis', 'Joe_Louis']",North Country School Cares for the Whole Child
garden,['garden'],North Country School Cares for the Whole Child
North,"['northwards', 'due_north', 'north', 'northward', 'Frederick_North', 'Second_Earl_of_Guilford', 'N', 'compass_north', 'Union', 'magnetic_north', 'northerly', 'North']",North Country School Cares for the Whole Child
coffee,"['coffee', 'deep_brown', 'coffee_berry', 'java', 'coffee_tree', 'burnt_umber', 'coffee_bean', 'chocolate', 'umber']",North Country School Cares for the Whole Child
agriculture,"['agriculture', 'USDA', 'Agriculture', 'agribusiness', 'farming', 'Department_of_Agriculture', 'factory_farm', 'husbandry', 'Agriculture_Department']",North Country School Cares for the Whole Child
leaf,"['riff', 'leafage', 'leaf', 'flip', 'riffle', 'thumb', 'folio', 'flick', 'foliage']",North Country School Cares for the Whole Child
suey,[],North Country School Cares for the Whole Child
wonderful,"['marvelous', 'terrific', 'fantastic', 'grand', 'howling', 'wonderful', 'marvellous', 'wondrous', 'tremendous', 'rattling']",North Country School Cares for the Whole Child
testimony,"['testimonial', 'testimony']",North Country School Cares for the Whole Child
Occasionally,"['at_times', 'now_and_again', 'from_time_to_time', 'now_and_then', 'occasionally', 'on_occasion', 'once_in_a_while']",North Country School Cares for the Whole Child
Surrounding,"['ring', 'surround', 'smother', 'fence_in', 'palisade', 'border', 'fence', 'encompassing', 'circumferent', 'hem_in', 'wall', 'skirt', 'surrounding', 'circumvent', 'beleaguer', 'environ', 'besiege']",North Country School Cares for the Whole Child
with,[],North Country School Cares for the Whole Child
educational,['educational'],North Country School Cares for the Whole Child
steadily,"['steady', 'steadily']",North Country School Cares for the Whole Child
amid,[],North Country School Cares for the Whole Child
surprising,"['surprise', 'surprising', 'storm']",North Country School Cares for the Whole Child
grains,"['granulate', 'cereal', 'grain', 'caryopsis', 'texture', 'ingrain', 'metric_grain', 'food_grain']",North Country School Cares for the Whole Child
immediately,"['immediately', 'directly', 'straightaway', 'like_a_shot', 'instantly', 'right_away', 'now', 'at_once', 'straight_off', 'forthwith']",North Country School Cares for the Whole Child
like,"['corresponding', 'wish', 'like', 'similar', 'ilk', 'same', 'alike', 'the_likes_of', 'comparable', 'the_like', 'care']",North Country School Cares for the Whole Child
country,"['commonwealth', 'country', 'rural_area', 'body_politic', 'land', 'state', 'nation', 'res_publica', 'area']",North Country School Cares for the Whole Child
People,"['mass', 'the_great_unwashed', 'citizenry', 'people', 'multitude', 'hoi_polloi', 'masses']",North Country School Cares for the Whole Child
participate,"['take_part', 'participate', 'enter']",North Country School Cares for the Whole Child
handicaps,"['impairment', 'handicap', 'deterrent', 'invalid', 'disablement', 'disability', 'hamper', 'baulk', 'hinder', 'disable', 'check', 'balk', 'hinderance', 'hindrance', 'incapacitate', 'impediment']",North Country School Cares for the Whole Child
This,[],North Country School Cares for the Whole Child
In,"['atomic_number_49', 'indium', 'inwards', 'inch', 'IN', 'in', 'In', 'inward', 'Indiana', 'Hoosier_State']",North Country School Cares for the Whole Child
tasted,"['savour', 'try', 'smack', 'taste', 'savor', 'try_out', 'sample']",North Country School Cares for the Whole Child
pigs,"['hog', 'squealer', 'slob', 'copper', 'pig_bed', 'pig_it', 'guttle', 'raven', 'bull', 'devour', 'Sus_scrofa', 'sloven', 'slovenly_person', 'fuzz', 'cop', 'farrow', 'grunter', 'pig']",North Country School Cares for the Whole Child
irrigate,"['irrigate', 'water']",North Country School Cares for the Whole Child
value,"['value', 'evaluate', 'prise', 'valuate', 'respect', 'economic_value', 'esteem', 'appraise', 'appreciate', 'treasure', 'note_value', 'time_value', 'rate', 'prize', 'measure', 'assess']",North Country School Cares for the Whole Child
For,[],North Country School Cares for the Whole Child
made,"['take_a_shit', 'arrive_at', 'lay_down', 'make', 'make_believe', 'draw', 'take_in', 'take_a_leak', 'wee', 'clear', 'realise', 'cause', 'hit', 'micturate', 'urinate', 'pee', 'earn', 'constitute', 'construct', 'cook', 'stool', 'piddle', 'have', 'pull_in', 'build', 'spend_a_penny', 'ready', 'get_to', 'do', 'make_water', 'progress_to', 'relieve_oneself', 'wee-wee', 'work', 'get', 'form', 'throw', 'make_up', 'induce', 'name', 'attain', 'score', 'puddle', 'create', 'reach', 'defecate', 'fix', 'stimulate', 'bring_in', 'pretend', 'take', 'pass_water', 'produce', 'gain', 'establish', 'realize', 'take_a_crap', 'made', 'give', 'piss', 'prepare', 'hold', 'seduce', 'crap', 'pee-pee', 'ca-ca', 'nominate', 'shit']",North Country School Cares for the Whole Child
gums,"['gumwood', 'glue', 'mucilage', 'chewing_gum', 'gingiva', 'gum', 'gum_tree', 'mumble']",North Country School Cares for the Whole Child
Throughout,"['passim', 'end-to-end', 'throughout']",North Country School Cares for the Whole Child
white,"['bloodless', 'blank', 'whiten', 'Patrick_Victor_Martindale_White', 'egg_white', 'Andrew_Dickson_White', 'livid', 'White_River', 'tweed', 'flannel', 'Theodore_Harold_White', 'Andrew_D._White', 'E._B._White', 'T._H._White', 'albumen', 'Caucasian', 'Elwyn_Brooks_White', 'blanched', 'ashen', 'whitened', 'lily-white', 'gabardine', 'White', 'White_person', 'Edward_D._White', 'Stanford_White', 'Edward_Douglas_White_Jr.', 'white', 'ovalbumin', 'clean', 'Edward_White', 'whiteness', 'white-hot', 'snowy', 'Patrick_White']",North Country School Cares for the Whole Child
replace,"['interchange', 'exchange', 'supercede', 'supersede', 'put_back', 'replace', 'substitute', 'supplant', 'supervene_upon']",North Country School Cares for the Whole Child
So,"['sol', 'thusly', 'therefore', 'indeed', 'and_so', 'soh', 'thus', 'thence', 'then', 'and_then', 'hence', 'so']",North Country School Cares for the Whole Child
fail,"['miscarry', 'betray', 'flush_it', 'break_down', 'conk_out', 'go_bad', 'die', 'go', 'flunk', 'break', 'give_out', 'go_wrong', 'run_out', 'neglect', 'fail', 'give_way', 'bomb']",North Country School Cares for the Whole Child
farm,"['produce', 'grow', 'raise', 'farm']",North Country School Cares for the Whole Child
Plowman's,[],North Country School Cares for the Whole Child
sandy,"['sandy', 'flaxen', 'sandlike', 'arenaceous']",North Country School Cares for the Whole Child
ruefully,"['ruefully', 'remorsefully', 'contritely']",North Country School Cares for the Whole Child
range,"['range', 'mountain_chain', 'place', 'lay_out', 'straddle', 'pasture', 'mountain_range', 'chain_of_mountains', 'stove', 'chain', 'scope', 'rate', 'array', 'drift', 'image', 'range_of_mountains', 'ramble', 'kitchen_range', 'tramp', 'wander', 'crop', 'rove', 'stray', 'vagabond', 'roll', 'kitchen_stove', 'set_out', 'order', 'range_of_a_function', 'cast', 'browse', 'rank', 'reach', 'cooking_stove', 'grade', 'run', 'ambit', 'roam', 'graze', 'swan', 'compass', 'grasp', 'orbit']",North Country School Cares for the Whole Child
Dried,"['dehydrated', 'dried', 'desiccated', 'dry_out', 'dry']",North Country School Cares for the Whole Child
Nourishing,"['sustain', 'nutrient', 'nurture', 'nutrify', 'alimental', 'nutritive', 'nourish', 'aliment', 'nourishing', 'alimentary', 'nutritious']",North Country School Cares for the Whole Child
dissolved,"['thaw', 'dethaw', 'melt', 'break_up', 'unfreeze', 'disband', 'dissolved', 'fade_away', 'fade_out', 'unthaw', 'resolve', 'dissolve', 'dismiss']",North Country School Cares for the Whole Child
to,[],North Country School Cares for the Whole Child
in,"['atomic_number_49', 'indium', 'inwards', 'inch', 'IN', 'in', 'In', 'inward', 'Indiana', 'Hoosier_State']",North Country School Cares for the Whole Child
Lake,['lake'],North Country School Cares for the Whole Child
supper,['supper'],North Country School Cares for the Whole Child
continued,"['remain', 'persist_in', 'continued', 'proceed', 'bear_on', 'carry_on', 'stay', 'uphold', 'keep_on', 'cover', 'go_forward', 'stay_on', 'preserve', 'continue', 'keep', 'retain', 'extend', 'go_along', 'go_on']",North Country School Cares for the Whole Child
countries,"['commonwealth', 'country', 'rural_area', 'body_politic', 'land', 'state', 'nation', 'res_publica', 'area']",North Country School Cares for the Whole Child
quick-drying,['quick-drying'],North Country School Cares for the Whole Child
