w,vector_semantico
grand,"['grand', 'elevated', 'thou', 'deluxe', 'yard', 'wondrous', 'high-flown', 'princely', 'heroic', 'exalted', 'lordly', 'marvelous', 'wonderful', 'lofty', 'sumptuous', 'high-minded', 'G', 'luxurious', 'terrific', 'one_thousand', 'gilded', 'rarified', 'tremendous', 'chiliad', 'marvellous', 'M', 'opulent', 'fantastic', 'august', 'sublime', 'K', 'magisterial', 'grand_piano', '1000', 'distinguished', 'imposing', 'thousand', 'expansive', 'idealistic', 'howling', 'noble-minded', 'rarefied', 'rattling']","87th Congress, 1st Session. House Document No. 247. The"
notably,['notably'],"87th Congress, 1st Session. House Document No. 247. The"
Hon.,[],"87th Congress, 1st Session. House Document No. 247. The"
unanimous,"['consentient', 'whole', 'consentaneous', 'solid', 'unanimous']","87th Congress, 1st Session. House Document No. 247. The"
reflected,"['reflect', 'shine', 'think_over', 'excogitate', 'contemplate', 'reverberate', 'mull_over', 'muse', 'ponder', 'ruminate', 'mull', 'speculate', 'reflected', 'chew_over', 'meditate']","87th Congress, 1st Session. House Document No. 247. The"
these,[],"87th Congress, 1st Session. House Document No. 247. The"
in,"['atomic_number_49', 'inward', 'In', 'inch', 'inwards', 'IN', 'Hoosier_State', 'indium', 'in', 'Indiana']","87th Congress, 1st Session. House Document No. 247. The"
much,"['very_much', 'often', 'a_lot', 'practically', 'a_great_deal', 'lots', 'a_good_deal', 'much']","87th Congress, 1st Session. House Document No. 247. The"
paean,"['pean', 'panegyric', 'encomium', 'eulogy', 'paean']","87th Congress, 1st Session. House Document No. 247. The"
prefer,"['opt', 'prefer', 'favor', 'favour', 'choose']","87th Congress, 1st Session. House Document No. 247. The"
leave,"['leave_behind', 'bequeath', 'give', 'entrust', 'pass_on', 'allow', 'will', 'go_away', 'leave_of_absence', 'leave', 'leave_alone', 'pull_up_stakes', 'exit', 'allow_for', 'get_out', 'go_out', 'forget', 'go_forth', 'provide', 'depart', 'result', 'parting', 'impart', 'leave-taking', 'lead', 'farewell']","87th Congress, 1st Session. House Document No. 247. The"
Record,"['show', 'commemorate', 'criminal_record', 'track_record', 'record', 'platter', 'book', 'disc', 'disk', 'register', 'memorialise', 'enter', 'immortalize', 'put_down', 'record_book', 'read', 'tape', 'phonograph_record', 'immortalise', 'phonograph_recording', 'memorialize']","87th Congress, 1st Session. House Document No. 247. The"
children,"['nestling', 'tike', 'youngster', 'tiddler', 'fry', 'kid', 'tyke', 'minor', 'baby', 'shaver', 'nipper', 'child', 'small_fry']","87th Congress, 1st Session. House Document No. 247. The"
they,[],"87th Congress, 1st Session. House Document No. 247. The"
stormy,"['stormy', 'tempestuous']","87th Congress, 1st Session. House Document No. 247. The"
body,"['torso', 'body', 'soundbox', 'consistence', 'organic_structure', 'personify', 'trunk', 'dead_body', 'eubstance', 'physical_structure', 'consistency']","87th Congress, 1st Session. House Document No. 247. The"
gentleman,"['man', 'valet_de_chambre', ""gentleman's_gentleman"", 'gentleman', 'valet']","87th Congress, 1st Session. House Document No. 247. The"
through,"['through', 'done', 'through_and_through', 'through_with']","87th Congress, 1st Session. House Document No. 247. The"
thing,"['matter', 'thing', 'affair']","87th Congress, 1st Session. House Document No. 247. The"
campaigns,"['safari', 'drive', 'take_the_field', 'crusade', 'cause', 'effort', 'movement', 'agitate', 'run', 'push', 'campaign', 'military_campaign', 'hunting_expedition', 'political_campaign', 'press', 'fight']","87th Congress, 1st Session. House Document No. 247. The"
immense,"['vast', 'huge', 'Brobdingnagian', 'immense']","87th Congress, 1st Session. House Document No. 247. The"
Americans,"['American_English', 'American', 'American_language']","87th Congress, 1st Session. House Document No. 247. The"
helpful,['helpful'],"87th Congress, 1st Session. House Document No. 247. The"
no,"['No', 'no_more', 'no', 'nobelium', 'atomic_number_102']","87th Congress, 1st Session. House Document No. 247. The"
words,"['lyric', 'give_voice', 'Bible', 'speech', 'phrase', 'run-in', 'give-and-take', 'dustup', 'discussion', 'word_of_honor', 'quarrel', 'Christian_Bible', 'row', 'language', 'Holy_Writ', 'Word', 'Logos', 'watchword', ""actor's_line"", 'tidings', 'news', 'parole', 'password', 'word', 'Son', 'intelligence', 'countersign', 'words', 'Word_of_God', 'Scripture', 'Book', 'Holy_Scripture', 'formulate', 'articulate', 'wrangle', 'Good_Book']","87th Congress, 1st Session. House Document No. 247. The"
afford,"['afford', 'give', 'yield', 'open']","87th Congress, 1st Session. House Document No. 247. The"
There,"['in_that_respect', 'on_that_point', 'at_that_place', 'in_that_location', 'thither', 'there']","87th Congress, 1st Session. House Document No. 247. The"
times,"['times', 'clock_time', 'meter', 'clock', 'metre', 'prison_term', 'clip', 'sentence', 'multiplication', 'time', 'fourth_dimension']","87th Congress, 1st Session. House Document No. 247. The"
home,"['house', 'abode', 'family', 'domicile', 'habitation', 'interior', 'home_base', 'place', 'national', 'dwelling', 'nursing_home', 'plate', 'rest_home', 'menage', 'home_plate', 'internal', 'home', 'dwelling_house', 'household', 'base']","87th Congress, 1st Session. House Document No. 247. The"
adversity,"['adversity', 'hardship', 'hard_knocks']","87th Congress, 1st Session. House Document No. 247. The"
giant,"['gargantuan', 'titan', 'giant_star', 'behemoth', 'jumbo', 'giant', 'monster', 'elephantine', 'whale', 'hulk', 'colossus', 'goliath', 'heavyweight']","87th Congress, 1st Session. House Document No. 247. The"
Texas,"['TX', 'Texas', 'Lone-Star_State']","87th Congress, 1st Session. House Document No. 247. The"
presidential,['presidential'],"87th Congress, 1st Session. House Document No. 247. The"
