w,vector_semantico
mind,"['brain', 'creative_thinker', 'mind', 'judgement', 'head', 'judgment', 'idea', 'take_care', 'listen', 'bear_in_mind', 'intellect', 'nous', 'psyche', 'beware', 'thinker', 'heed']",The Valley
impotence,"['impotence', 'powerlessness', 'impotency']",The Valley
find,"['uncovering', 'detect', 'line_up', 'retrieve', 'discover', 'find', 'ascertain', 'receive', 'find_oneself', 'come_up', 'discovery', 'observe', 'notice', 'encounter', 'feel', 'happen', 'get', 'rule', 'witness', 'see', 'determine', 'find_out', 'chance', 'get_hold', 'incur', 'bump', 'regain', 'breakthrough', 'obtain', 'recover']",The Valley
rustled,"['lift', 'rustle']",The Valley
mark,"['Saint_Mark', 'bell_ringer', 'distinguish', 'stigmatise', 'stigma', 'sucker', 'Deutschmark', ""bull's_eye"", 'pit', 'fall_guy', 'pock', 'mark', 'soft_touch', 'German_mark', 'Gospel_According_to_Mark', 'scar', 'notice', 'tick_off', 'marker', 'stigmatize', 'stain', 'score', 'St._Mark', 'mark_off', 'Deutsche_Mark', 'print', 'gull', 'cross_off', 'differentiate', 'denounce', 'cross_out', 'tag', 'Mark', 'brand', 'mug', 'patsy', 'sign', 'nock', 'marking', 'chump', 'scratch', 'cross', 'strike_off', 'commemorate', 'punctuate', 'label', 'target', 'home_run', 'scrape', 'grade', 'crisscross', 'check', 'strike_out', 'note', 'check_off', 'fool', 'tick', 'set']",The Valley
mist,"['cloud', 'fog', 'becloud', 'befog', 'mist', 'obscure', 'haze_over', 'obnubilate', 'mist_over']",The Valley
by,"['aside', 'away', 'by', 'past']",The Valley
last,"['death', 'live_on', 'in_conclusion', 'finally', 'finish', 'close', 'last', 'live', 'terminal', 'hold_up', 'final_stage', 'endure', 'finale', 'utmost', 'last-place', 'end', 'lastly', ""cobbler's_last"", 'final', 'lowest', 'stopping_point', 'go', 'hold_out', 'concluding', 'finis', 'net', 'conclusion', 'survive', ""shoemaker's_last""]",The Valley
drunk,"['wassail', 'rummy', 'sot', 'toast', 'tope', 'drink_in', 'drunkard', 'fuddle', 'imbibe', 'wino', 'pledge', 'booze', 'intoxicated', 'drink', 'inebriated', 'drunk', 'inebriate', 'salute']",The Valley
swirled,"['swirl', 'whirl', 'purl', 'twirl', 'whirlpool', 'eddy', 'twiddle']",The Valley
them,[],The Valley
dumped,"['coldcock', 'plunge', 'knock_down', 'deck', 'underprice', 'ditch', 'floor', 'dump']",The Valley
