w,vector_semantico
either,['either'],Principles of Inertial Navigation
adaptable,['adaptable'],Principles of Inertial Navigation
Z-gyro,[],Principles of Inertial Navigation
maintains,"['uphold', 'asseverate', 'preserve', 'exert', 'sustain', 'keep', 'wield', 'conserve', 'assert', 'hold', 'keep_up', 'defend', 'maintain', 'observe']",Principles of Inertial Navigation
seen,"['image', 'project', 'assure', 'come_across', 'realize', 'find_out', 'regard', 'determine', 'take_in', 'catch', 'figure', 'ensure', 'reckon', 'look', 'construe', 'hear', 'run_across', 'fancy', 'consider', 'learn', 'realise', 'get_word', 'visit', 'discover', 'go_through', 'watch', 'examine', 'escort', 'understand', 'get_a_line', 'go_steady', 'witness', 'pick_up', 'see_to_it', 'view', 'visualize', 'encounter', 'find', 'go_out', 'envision', 'run_into', 'interpret', 'date', 'take_care', 'picture', 'control', 'ascertain', 'get_wind', 'visualise', 'check', 'attend', 'experience', 'insure', 'see', 'meet']",Principles of Inertial Navigation
into,[],Principles of Inertial Navigation
small,"['small-scale', 'minor', 'minuscule', 'little', 'diminished', 'modest', 'low', 'small', 'humble', 'pocket-size', 'belittled', 'pocket-sized', 'lowly']",Principles of Inertial Navigation
surveying,"['go_over', 'appraise', 'follow', 'surveying', 'survey', 'surveil', 'review']",Principles of Inertial Navigation
most,"['near', 'nigh', 'well-nigh', 'nearly', 'about', 'almost', 'virtually', 'most', 'to_the_highest_degree']",Principles of Inertial Navigation
perpendicular,"['English-Gothic_architecture', 'vertical', 'plumb_line', 'English-Gothic', 'perpendicular_style', 'perpendicular']",Principles of Inertial Navigation
switching,"['switch', 'flip', 'switching', 'trade', 'exchange', 'alternate', 'flip-flop', 'throw', 'change', 'swap', 'switch_over', 'change_over', 'interchange', 'swop', 'shift', 'tack']",Principles of Inertial Navigation
unleveled,[],Principles of Inertial Navigation
reduce,"['deoxidize', 'boil_down', 'slenderize', 'slim', 'cut_back', 'decoct', 'deoxidise', 'bring_down', 'scale_down', 'abridge', 'trim_back', 'subjugate', 'repress', 'reduce', 'shrink', 'keep_down', 'come_down', 'tighten', 'lose_weight', 'abbreviate', 'foreshorten', 'melt_off', 'cut_down', 'trim', 'subdue', 'thin_out', 'cut', 'slim_down', 'trim_down', 'contract', 'dilute', 'thin', 'concentrate', 'quash', 'shorten']",Principles of Inertial Navigation
adjusted,"['set', 'adapt', 'correct', 'familiarized', 'conform', 'line_up', 'align', 'adjust', 'adjusted', 'aline', 'familiarised']",Principles of Inertial Navigation
been,"['equal', 'constitute', 'follow', 'be', 'exist', 'embody', 'live', 'make_up', 'cost', 'personify', 'represent', 'comprise']",Principles of Inertial Navigation
useful,"['useful', 'utilitarian', 'utile']",Principles of Inertial Navigation
currents,"['electric_current', 'flow', 'current', 'stream']",Principles of Inertial Navigation
7-5,[],Principles of Inertial Navigation
A,"['vitamin_A', 'A', 'deoxyadenosine_monophosphate', 'adenine', 'a', 'group_A', 'amp', 'ampere', 'angstrom', 'type_A', 'antiophthalmic_factor', 'axerophthol', 'angstrom_unit']",Principles of Inertial Navigation
known,"['cognize', 'fuck', 'get_laid', 'have_a_go_at_it', 'have_it_away', 'bed', 'have_it_off', 'sleep_together', 'sleep_with', 'have_intercourse', 'recognize', 'cognise', 'live', 'acknowledge', 'make_out', 'make_love', 'love', 'bang', 'jazz', 'recognise', 'bonk', 'be_intimate', 'lie_with', 'screw', 'hump', 'known', 'roll_in_the_hay', 'have_sex', 'eff', 'know', 'get_it_on', 'do_it', 'experience']",Principles of Inertial Navigation
7-2,[],Principles of Inertial Navigation
than,[],Principles of Inertial Navigation
locate,"['turn_up', 'situate', 'site', 'locate', 'place', 'settle']",Principles of Inertial Navigation
error,"['fault', 'misplay', 'error', 'mistake', 'computer_error', 'wrongdoing', 'erroneous_belief', 'erroneousness']",Principles of Inertial Navigation
vehicle,"['fomite', 'vehicle']",Principles of Inertial Navigation
initially,"['initially', 'ab_initio']",Principles of Inertial Navigation
desirable,"['suitable', 'desirable', 'worthy']",Principles of Inertial Navigation
accomplish,"['carry_through', 'attain', 'fulfill', 'accomplish', 'fulfil', 'execute', 'carry_out', 'action', 'achieve', 'reach']",Principles of Inertial Navigation
