w,vector_semantico
downright,"['downright', 'out-and-out', 'rank', 'absolute', 'right-down', 'sheer']",Theodore Parker: Apostasy within Liberalism
Furthermore,"['moreover', 'furthermore', 'what_is_more']",Theodore Parker: Apostasy within Liberalism
!,[],Theodore Parker: Apostasy within Liberalism
encouragement,"['boost', 'encouragement']",Theodore Parker: Apostasy within Liberalism
seem,"['appear', 'seem', 'look']",Theodore Parker: Apostasy within Liberalism
birth,"['deliver', 'parturition', 'nascence', 'nativity', 'giving_birth', 'give_birth', 'birthing', 'nascency', 'birth', 'parentage', 'bear', 'have']",Theodore Parker: Apostasy within Liberalism
excoriate,"['reprobate', 'condemn', 'excoriate', 'chafe', 'objurgate', 'decry']",Theodore Parker: Apostasy within Liberalism
heaves,"['gasp', 'gag', 'surge', 'broken_wind', 'heave_up', 'pant', 'buckle', 'puff', 'warp', 'heaves', 'heft_up', 'heaving', 'raise', 'billow', 'retch', 'lift', 'heft', 'heave']",Theodore Parker: Apostasy within Liberalism
clear-cut,"['clear', 'clear-cut', 'distinct', 'trenchant', 'clean-cut']",Theodore Parker: Apostasy within Liberalism
warrant,"['stock-purchase_warrant', 'warrantee', 'endorsement', 'warranty', 'countenance', 'indorsement', 'justify', 'warrant', 'guarantee', 'imprimatur', 'sanction', 'stock_warrant']",Theodore Parker: Apostasy within Liberalism
in,"['atomic_number_49', 'inward', 'In', 'inch', 'inwards', 'IN', 'Hoosier_State', 'indium', 'in', 'Indiana']",Theodore Parker: Apostasy within Liberalism
these,[],Theodore Parker: Apostasy within Liberalism
much,"['very_much', 'often', 'a_lot', 'practically', 'a_great_deal', 'lots', 'a_good_deal', 'much']",Theodore Parker: Apostasy within Liberalism
republic,"['democracy', 'republic', 'commonwealth']",Theodore Parker: Apostasy within Liberalism
tolerant,"['broad', 'resistant', 'kind', 'liberal', 'patient_of', 'large-minded', 'tolerant']",Theodore Parker: Apostasy within Liberalism
infraction,"['infringement', 'misdemeanour', 'misdemeanor', 'infraction', 'violation']",Theodore Parker: Apostasy within Liberalism
pale,"['pale', 'sick', 'blench', 'blanch', 'picket', 'pallid', 'wan']",Theodore Parker: Apostasy within Liberalism
sigh,"['suspiration', 'suspire', 'sigh']",Theodore Parker: Apostasy within Liberalism
shoving,"['squeeze', 'jostle', 'shove', 'thrust', 'stuff']",Theodore Parker: Apostasy within Liberalism
disturbed,"['touch', 'demented', 'disturbed', 'unhinged', 'stir_up', 'disquieted', 'raise_up', 'mad', 'interrupt', 'worried', 'agitate', 'shake_up', 'distressed', 'trouble', 'sick', 'brainsick', 'crazy', 'maladjusted', 'vex', 'unbalanced', 'disturb', 'commove', 'upset']",Theodore Parker: Apostasy within Liberalism
repeatedly,['repeatedly'],Theodore Parker: Apostasy within Liberalism
continually,['continually'],Theodore Parker: Apostasy within Liberalism
