w,vector_semantico
grand,"['grand', 'elevated', 'thou', 'deluxe', 'yard', 'wondrous', 'high-flown', 'princely', 'heroic', 'exalted', 'lordly', 'marvelous', 'wonderful', 'lofty', 'sumptuous', 'high-minded', 'G', 'luxurious', 'terrific', 'one_thousand', 'gilded', 'rarified', 'tremendous', 'chiliad', 'marvellous', 'M', 'opulent', 'fantastic', 'august', 'sublime', 'K', 'magisterial', 'grand_piano', '1000', 'distinguished', 'imposing', 'thousand', 'expansive', 'idealistic', 'howling', 'noble-minded', 'rarefied', 'rattling']",The New York Times
somewhat,"['middling', 'somewhat', 'more_or_less', 'slightly', 'passably', 'reasonably', 'pretty', 'fairly', 'jolly', 'moderately']",The New York Times
performances,"['performance', 'operation', 'carrying_into_action', 'public_presentation', 'carrying_out', 'functioning', 'execution']",The New York Times
able,"['able-bodied', 'able', 'capable']",The New York Times
staff,"['staff', 'stave', 'faculty']",The New York Times
praises,"['extolment', 'praise', 'congratulations', 'kudos']",The New York Times
Furthermore,"['moreover', 'furthermore', 'what_is_more']",The New York Times
seem,"['appear', 'seem', 'look']",The New York Times
dull,"['leaden', 'muted', 'irksome', 'slow', 'thudding', 'dull', 'sluggish', 'dumb', 'pall', 'muffle', 'deadening', 'ho-hum', 'numb', 'wearisome', 'boring', 'obtuse', 'blunt', 'mute', 'benumb', 'softened', 'tone_down', 'muffled', 'dim', 'dense', 'damp', 'tedious', 'dampen', 'tiresome']",The New York Times
toward,[],The New York Times
Zapala,[],The New York Times
Expected,"['wait', 'look', 'carry', 'await', 'expect', 'anticipate', 'ask', 'require', 'have_a_bun_in_the_oven', 'gestate', 'bear', 'expected']",The New York Times
noncombatant,['noncombatant'],The New York Times
in,"['atomic_number_49', 'inward', 'In', 'inch', 'inwards', 'IN', 'Hoosier_State', 'indium', 'in', 'Indiana']",The New York Times
these,[],The New York Times
organization,"['constitution', 'administration', 'organization', 'formation', 'governance', 'brass', 'organisation', 'system', 'arrangement', 'governing_body', 'establishment']",The New York Times
accomplished,"['accomplish', 'achieve', 'attain', 'accomplished', 'realised', 'complete', 'established', 'reach', 'completed', 'fulfill', 'effected', 'realized', 'execute', 'carry_through', 'carry_out', 'fulfil', 'action']",The New York Times
headquarters,"['central_office', 'HQ', 'headquarters', 'military_headquarters', 'main_office', 'headquarter', 'home_office', 'home_base']",The New York Times
William,[],The New York Times
Sarasate,[],The New York Times
Polish,"['culture', 'brush_up', 'polish', 'polish_up', 'refinement', 'gloss', 'Polish', 'round_off', 'glossiness', 'smoothen', 'cultivation', 'shine', 'fine-tune', 'finish', 'refine', 'smooth', 'burnish', 'round', 'down']",The New York Times
conspicuously,"['prominently', 'conspicuously']",The New York Times
Russian,['Russian'],The New York Times
edition,"['variant', 'variation', 'version', 'edition']",The New York Times
natural,"['rude', 'innate', 'cancel', 'raw', 'natural', 'instinctive', 'born', 'lifelike']",The New York Times
whose,[],The New York Times
misgauged,['misgauge'],The New York Times
troubled,"['pain', 'incommode', 'riotous', 'disquiet', 'disruptive', 'disorder', 'bother', 'troubled', 'trouble_oneself', 'inconvenience_oneself', 'inconvenience', 'trouble', 'distract', 'disoblige', 'ail', 'put_out', 'perturb', 'discommode', 'unhinge', 'disturb', 'turbulent', 'tumultuous', 'upset', 'cark']",The New York Times
children,"['nestling', 'tike', 'youngster', 'tiddler', 'fry', 'kid', 'tyke', 'minor', 'baby', 'shaver', 'nipper', 'child', 'small_fry']",The New York Times
they,[],The New York Times
mutilation,['mutilation'],The New York Times
Mozart's,[],The New York Times
set,"['arrange', 'adjust', 'go_down', 'do', 'specify', 'fix', 'solidification', 'countersink', 'Seth', 'coif', 'readiness', 'localise', 'dress', 'prepare', 'lay', 'set_up', 'fixed', 'laid', 'bent', 'mark', 'determined', 'Set', 'determine', 'jell', 'congeal', 'primed', 'set', 'define', 'put', 'place', 'curing', 'limit', 'rigid', 'hardening', 'go_under', 'located', 'dictated', 'correct', 'plant', 'typeset', 'lot', 'lay_out', 'coiffe', 'hardened', 'sic', 'position', 'fit', 'exercise_set', 'circle', 'placed', 'stage_set', 'ready', 'localize', 'fructify', 'coiffure', 'solidifying', 'situated', 'rig', 'pose', 'gear_up', 'band']",The New York Times
harm,"['hurt', 'harm', 'trauma', 'impairment', 'scathe', 'damage', 'injury']",The New York Times
jungles,"['hobo_camp', 'jungle']",The New York Times
general,"['full_general', 'general', 'worldwide', 'world-wide', 'cosmopolitan', 'universal', 'ecumenical', 'oecumenical', 'superior_general']",The New York Times
Before,"['in_front', 'ahead', 'earlier', 'before']",The New York Times
intellectual,"['noetic', 'rational', 'intellectual', 'intellect', 'cerebral']",The New York Times
Philharmonic,"['symphony_orchestra', 'philharmonic', 'symphony']",The New York Times
campaigns,"['safari', 'drive', 'take_the_field', 'crusade', 'cause', 'effort', 'movement', 'agitate', 'run', 'push', 'campaign', 'military_campaign', 'hunting_expedition', 'political_campaign', 'press', 'fight']",The New York Times
small,"['low', 'pocket-size', 'small-scale', 'modest', 'minor', 'belittled', 'small', 'diminished', 'lowly', 'minuscule', 'little', 'humble', 'pocket-sized']",The New York Times
Chopin's,[],The New York Times
roads,"['route', 'roads', 'roadstead', 'road']",The New York Times
thing,"['matter', 'thing', 'affair']",The New York Times
diplomatic,"['diplomatic', 'diplomatical']",The New York Times
no,"['No', 'no_more', 'no', 'nobelium', 'atomic_number_102']",The New York Times
too,"['excessively', 'overly', 'as_well', 'to_a_fault', 'besides', 'likewise', 'too', 'also']",The New York Times
Variations,"['variant', 'variation', 'fluctuation', 'pas_seul', 'sport', 'magnetic_declination', 'edition', 'mutation', 'version', 'magnetic_variation', 'mutant', 'variance']",The New York Times
words,"['lyric', 'give_voice', 'Bible', 'speech', 'phrase', 'run-in', 'give-and-take', 'dustup', 'discussion', 'word_of_honor', 'quarrel', 'Christian_Bible', 'row', 'language', 'Holy_Writ', 'Word', 'Logos', 'watchword', ""actor's_line"", 'tidings', 'news', 'parole', 'password', 'word', 'Son', 'intelligence', 'countersign', 'words', 'Word_of_God', 'Scripture', 'Book', 'Holy_Scripture', 'formulate', 'articulate', 'wrangle', 'Good_Book']",The New York Times
There,"['in_that_respect', 'on_that_point', 'at_that_place', 'in_that_location', 'thither', 'there']",The New York Times
four,"['quadruplet', 'quaternary', 'four', 'quartet', 'IV', 'Little_Joe', 'quaternity', 'foursome', 'tetrad', 'iv', 'quaternion', 'four-spot', 'quatern', '4']",The New York Times
drawback,['drawback'],The New York Times
home,"['house', 'abode', 'family', 'domicile', 'habitation', 'interior', 'home_base', 'place', 'national', 'dwelling', 'nursing_home', 'plate', 'rest_home', 'menage', 'home_plate', 'internal', 'home', 'dwelling_house', 'household', 'base']",The New York Times
thirteen,"['XIII', 'xiii', '13', 'long_dozen', 'thirteen', ""baker's_dozen""]",The New York Times
interesting,"['matter_to', 'worry', 'interesting', 'concern', 'interest', 'occupy']",The New York Times
Texas,"['TX', 'Texas', 'Lone-Star_State']",The New York Times
courage,"['courage', 'bravery', 'braveness', 'courageousness']",The New York Times
eschews,"['eschew', 'shun']",The New York Times
long,"['retentive', 'foresighted', 'recollective', 'yearn', 'tenacious', 'foresightful', 'hanker', 'farseeing', 'prospicient', 'longsighted', 'farsighted', 'long']",The New York Times
provocative,['provocative'],The New York Times
combination,"['combination', 'combining', 'compounding']",The New York Times
overriding,"['predominant', 'overturn', 'overriding', 'overthrow', 'override', 'paramount', 'preponderant', 'predominate', 'overrule', 'preponderating', 'reverse']",The New York Times
526,[],The New York Times
comfort,"['comforter', 'ease', 'comfort', 'soothe', 'solace', 'console', 'consolation', 'puff', 'comfortableness', 'quilt']",The New York Times
flirtatious,"['coquettish', 'flirtatious']",The New York Times
modest,"['low', 'pocket-size', 'meek', 'small-scale', 'modest', 'minor', 'small', 'lowly', 'pocket-sized', 'humble', 'mild']",The New York Times
sentimental,"['maudlin', 'mushy', 'schmaltzy', 'kitschy', 'schmalzy', 'mawkish', 'drippy', 'sentimental', 'soppy', 'hokey', 'slushy', 'bathetic', 'soupy']",The New York Times
until,[],The New York Times
