w,vector_semantico
Do,"['arrange', 'make', 'do', 'Doctor_of_Osteopathy', 'act', 'behave', 'brawl', 'coif', 'suffice', 'perform', 'exercise', 'dress', 'answer', 'practice', 'set', 'make_out', 'DO', 'practise', 'coiffe', 'execute', 'get_along', 'serve', 'ut', 'coiffure', 'cause', 'bash', 'doh', 'come', 'manage', 'fare']",The Planet with No Nightmare
shook,"['shook', 'shake_up', 'judder', 'shake_off', 'throw_off', 'stir', 'rock', 'shake', 'escape_from', 'sway', 'agitate', 'didder', 'excite', 'stimulate']",The Planet with No Nightmare
!,[],The Planet with No Nightmare
seem,"['appear', 'seem', 'look']",The Planet with No Nightmare
foul,"['loathly', 'loathsome', 'fouled', 'noisome', 'cheating', 'yucky', 'stinking', 'disgustful', 'foul-smelling', 'dirty', 'foul', 'funky', 'defile', 'filthy', 'nasty', 'choke_off', 'unsporting', 'befoul', 'pollute', 'unsportsmanlike', 'clog_up', 'smutty', 'wicked', 'repellent', 'back_up', 'distasteful', 'contaminate', 'disgusting', 'smelly', 'cruddy', 'clog', 'revolting', 'fetid', 'marked-up', 'repellant', 'maculate', 'foetid', 'afoul', 'congest', 'ill-scented', 'repelling', 'choke', 'skanky']",The Planet with No Nightmare
contact,"['physical_contact', 'middleman', 'inter-group_communication', 'impinging', 'striking', 'link', 'reach', 'touch', 'adjoin', 'tangency', 'meet', 'contact', 'liaison', 'get_through', 'get_hold_of', 'contact_lens']",The Planet with No Nightmare
fast,"['quick', 'dissolute', 'tight', 'libertine', 'flying', 'firm', 'immobile', 'debauched', 'degenerate', 'riotous', 'dissipated', 'fasting', 'loyal', 'fast', 'truehearted', 'profligate', 'degraded']",The Planet with No Nightmare
ancient,"['antediluvian', 'ancient']",The Planet with No Nightmare
interjected,"['put_in', 'throw_in', 'interpose', 'inject', 'come_in', 'interject']",The Planet with No Nightmare
in,"['atomic_number_49', 'inward', 'In', 'inch', 'inwards', 'IN', 'Hoosier_State', 'indium', 'in', 'Indiana']",The Planet with No Nightmare
much,"['very_much', 'often', 'a_lot', 'practically', 'a_great_deal', 'lots', 'a_good_deal', 'much']",The Planet with No Nightmare
trace,"['ghost', 'decipher', 'hunt', 'shadow', 'line', 'hound', 'trace', 'tincture', 'tracing', 'follow', 'touch', 'draw', 'delineate', 'retrace', 'describe', 'vestige', 'suggestion', 'hint']",The Planet with No Nightmare
these,[],The Planet with No Nightmare
infinite,"['innumerable', 'non-finite', 'myriad', 'uncounted', 'unnumberable', 'numberless', 'unnumbered', 'unnumerable', 'multitudinous', 'innumerous', 'space', 'countless', 'infinite']",The Planet with No Nightmare
spaceship,"['starship', 'spaceship']",The Planet with No Nightmare
fatigue,"['wear_out', 'jade', 'tiredness', 'tire_out', 'wear', 'fag_out', 'fag', 'fatigue_duty', 'weary', 'tire', 'outwear', 'weariness', 'wear_upon', 'wear_down', 'fatigue', 'pall']",The Planet with No Nightmare
Take,"['subscribe_to', 'take_on', 'aim', 'use_up', 'get', 'payoff', 'carry', 'take_up', 'issue', 'look_at', 'make', 'direct', 'take_aim', 'involve', 'occupy', 'takings', 'shoot', 'proceeds', 'remove', 'drive', 'consider', 'postulate', 'guide', 'consume', 'take_away', 'charter', 'study', 'adopt', 'necessitate', 'acquire', 'lease', 'strike', 'require', 'pick_out', 'get_hold_of', 'demand', 'train', 'subscribe', 'yield', 'admit', 'bring', 'film', 'assume', 'submit', 'deal', 'hold', 'learn', 'contract', 'take', 'return', 'select', 'accept', 'exact', 'take_in', 'claim', 'read', 'convey', 'call_for', 'pack', 'need', 'ingest', 'withdraw', 'fill', 'engage', 'ask', 'lead', 'hire', 'conduct', 'choose', 'contain', 'rent', 'have']",The Planet with No Nightmare
secrecy,"['silence', 'secrecy', 'secretiveness', 'privacy', 'concealment', 'privateness']",The Planet with No Nightmare
end,"['death', 'remainder', 'oddment', 'final_stage', 'remnant', 'last', 'end', 'finish', 'cease', 'conclusion', 'destruction', 'terminate', 'goal', 'closing', 'terminal', 'close', 'stop', 'ending']",The Planet with No Nightmare
leave,"['leave_behind', 'bequeath', 'give', 'entrust', 'pass_on', 'allow', 'will', 'go_away', 'leave_of_absence', 'leave', 'leave_alone', 'pull_up_stakes', 'exit', 'allow_for', 'get_out', 'go_out', 'forget', 'go_forth', 'provide', 'depart', 'result', 'parting', 'impart', 'leave-taking', 'lead', 'farewell']",The Planet with No Nightmare
blastdown,[],The Planet with No Nightmare
they,[],The Planet with No Nightmare
Galaxy,"['galax', 'extragalactic_nebula', 'Galax_urceolata', 'coltsfoot', 'galaxy', 'beetleweed', 'wandflower']",The Planet with No Nightmare
aren't,[],The Planet with No Nightmare
set,"['arrange', 'adjust', 'go_down', 'do', 'specify', 'fix', 'solidification', 'countersink', 'Seth', 'coif', 'readiness', 'localise', 'dress', 'prepare', 'lay', 'set_up', 'fixed', 'laid', 'bent', 'mark', 'determined', 'Set', 'determine', 'jell', 'congeal', 'primed', 'set', 'define', 'put', 'place', 'curing', 'limit', 'rigid', 'hardening', 'go_under', 'located', 'dictated', 'correct', 'plant', 'typeset', 'lot', 'lay_out', 'coiffe', 'hardened', 'sic', 'position', 'fit', 'exercise_set', 'circle', 'placed', 'stage_set', 'ready', 'localize', 'fructify', 'coiffure', 'solidifying', 'situated', 'rig', 'pose', 'gear_up', 'band']",The Planet with No Nightmare
day,"['daylight', 'Clarence_Shepard_Day_Jr.', '24-hour_interval', 'twenty-four_hour_period', 'Day', 'mean_solar_day', 'day', 'Clarence_Day', 'sidereal_day', 'daytime', 'solar_day', 'twenty-four_hours']",The Planet with No Nightmare
above,"['above', 'higher_up', 'in_a_higher_place', 'supra', 'to_a_higher_place']",The Planet with No Nightmare
harm,"['hurt', 'harm', 'trauma', 'impairment', 'scathe', 'damage', 'injury']",The Planet with No Nightmare
body,"['torso', 'body', 'soundbox', 'consistence', 'organic_structure', 'personify', 'trunk', 'dead_body', 'eubstance', 'physical_structure', 'consistency']",The Planet with No Nightmare
generations,"['coevals', 'generation', 'propagation', 'genesis', 'multiplication', 'contemporaries']",The Planet with No Nightmare
galvanic,"['voltaic', 'galvanising', 'galvanic', 'electric', 'galvanizing']",The Planet with No Nightmare
felt,"['feel', 'matte_up', 'matte', 'felt_up', 'mat_up', 'mat', 'felt', 'matt-up', 'find', 'palpate', 'sense', 'experience', 'finger']",The Planet with No Nightmare
through,"['through', 'done', 'through_and_through', 'through_with']",The Planet with No Nightmare
small,"['low', 'pocket-size', 'small-scale', 'modest', 'minor', 'belittled', 'small', 'diminished', 'lowly', 'minuscule', 'little', 'humble', 'pocket-sized']",The Planet with No Nightmare
Still,"['silence', 'nevertheless', 'motionless', 'silent', 'tranquil', 'distillery', 'unruffled', 'noneffervescent', 'hush', 'stillness', 'tranquillise', 'inactive', 'withal', 'soundless', 'notwithstanding', 'all_the_same', 'however', 'placid', 'calm', 'static', 'allay', 'yet', 'ease', 'tranquilize', 'quieten', 'even_so', 'still', 'relieve', 'smooth', 'tranquillize', 'calm_down', 'lull', 'stock-still', 'hush_up', 'shut_up', 'nonetheless', 'even', 'quiet']",The Planet with No Nightmare
thing,"['matter', 'thing', 'affair']",The Planet with No Nightmare
radioactive,['radioactive'],The Planet with No Nightmare
Ringing,"['ringing', 'plangency', 'reverberate', 'peal', 'reverberance', 'call', 'phone', 'echo', 'resonance', 'vibrancy', 'call_up', 'skirt', 'ring', 'knell', 'telephone', 'surround', 'sonority', 'environ', 'border', 'resound', 'sonorousness', 'band', 'tintinnabulation']",The Planet with No Nightmare
no,"['No', 'no_more', 'no', 'nobelium', 'atomic_number_102']",The Planet with No Nightmare
maybe,"['peradventure', 'possibly', 'perhaps', 'maybe', 'perchance', 'mayhap']",The Planet with No Nightmare
too,"['excessively', 'overly', 'as_well', 'to_a_fault', 'besides', 'likewise', 'too', 'also']",The Planet with No Nightmare
explanations,"['account', 'explanation']",The Planet with No Nightmare
scanned,"['skim', 'scan', 'run_down', 'glance_over', 'read', 'rake']",The Planet with No Nightmare
species,"['species', 'metal_money', 'coinage', 'specie', 'mintage']",The Planet with No Nightmare
There,"['in_that_respect', 'on_that_point', 'at_that_place', 'in_that_location', 'thither', 'there']",The Planet with No Nightmare
soundly,"['soundly', 'thoroughly', 'good']",The Planet with No Nightmare
decaying,"['decay', 'disintegrate', 'dilapidate', 'crumble', 'decompose']",The Planet with No Nightmare
Gone,"['travel', 'get', 'belong', 'kick_the_bucket', 'asleep', 'function', 'die', 'expire', 'blend_in', 'move', 'survive', 'break_down', 'hold_out', 'deceased', 'pop_off', 'sound', 'drop_dead', 'conk', 'get_going', 'go_away', ""cash_in_one's_chips"", 'done_for', 'at_peace', 'run', 'plump', 'give_way', 'live_on', 'gone', 'pass', 'exit', 'snuff_it', 'departed', 'bygone', 'give_out', 'buy_the_farm', 'break', 'at_rest', 'rifle', 'foregone', 'go_bad', 'decease', 'go', 'give-up_the_ghost', 'last', 'locomote', 'endure', 'pass_away', 'perish', 'become', 'depart', 'fit', 'start', 'operate', 'work', 'fail', 'run_low', 'run_short', 'croak', 'proceed', 'blend', 'bypast', 'conk_out', 'hold_up', 'kaput', 'lead', 'live', 'extend', 'choke']",The Planet with No Nightmare
cracking,"['break_up', 'collapse', 'bully', 'groovy', 'not_bad', 'crack', 'swell', 'crock_up', 'snap', 'great', 'smashing', 'neat', 'check', 'corking', 'break_through', 'crack_up', 'slap-up', 'fracture', 'keen', 'cracking', 'dandy', 'nifty', 'break', 'bang-up', 'peachy']",The Planet with No Nightmare
longer,"['retentive', 'foresighted', 'recollective', 'tenacious', 'foresightful', 'farseeing', 'prospicient', 'longer', 'farsighted', 'longsighted', 'thirster', 'yearner', 'long']",The Planet with No Nightmare
blown,"['fellate', 'bodge', 'suck', 'bungle', 'boast', 'gas', 'bumble', 'botch_up', 'flub', 'bollocks', 'bluster', 'blow', 'be_adrift', 'go_down_on', 'tout', 'shoot_a_line', 'screw_up', 'fumble', 'bobble', 'mess_up', 'fluff', 'louse_up', 'gasconade', 'muff', 'bollix_up', 'bollix', 'drift', 'mishandle', 'botch', 'muck_up', 'shove_along', 'foul_up', 'fuck_up', 'vaunt', 'winded', 'burn_out', 'squander', 'waste', 'bollocks_up', 'brag', 'short-winded', 'float', 'pursy', 'spoil', 'blown', 'ball_up', 'blow_out', 'swash', 'shove_off']",The Planet with No Nightmare
somebody,"['soul', 'individual', 'someone', 'mortal', 'somebody', 'person']",The Planet with No Nightmare
flipped,"['flip-flop', 'riff', 'leaf', 'flick', 'turn_over', 'thumb', 'pitch', 'twitch', 'toss', 'switch', 'sky', 'interchange', 'tack', 'flip_over', 'riffle', 'throw', 'flip_out', 'alternate', 'flip']",The Planet with No Nightmare
beast,"['brute', 'wolf', 'animate_being', 'animal', 'creature', 'savage', 'wildcat', 'beast', 'fauna']",The Planet with No Nightmare
big,"['boastful', 'grown', 'bad', 'braggart', 'giving', 'self-aggrandising', 'vainglorious', 'self-aggrandizing', 'freehanded', 'boastfully', 'full-grown', 'gravid', 'bighearted', 'liberal', 'heavy', 'bounteous', 'enceinte', 'great', 'fully_grown', 'cock-a-hoop', 'handsome', 'adult', 'crowing', 'bountiful', 'swelled', 'with_child', 'openhanded', 'expectant', 'bragging', 'magnanimous', 'braggy', 'grownup', 'prominent', 'large', 'vauntingly', 'big']",The Planet with No Nightmare
long,"['retentive', 'foresighted', 'recollective', 'yearn', 'tenacious', 'foresightful', 'hanker', 'farseeing', 'prospicient', 'longsighted', 'farsighted', 'long']",The Planet with No Nightmare
whipping,"['welt', 'tanning', 'rack_up', 'strap', 'thrashing', 'scald', 'trounce', 'slaughter', 'beating', 'trouncing', 'lather', 'drubbing', 'whisk', 'walloping', 'whipstitching', 'worst', 'mop_up', 'whip', 'slash', 'lash', 'pip', 'flogging', 'flog', 'whipstitch', 'flagellation', 'lashing', 'debacle', 'snappy', 'whipping', 'blister']",The Planet with No Nightmare
ExPe,[],The Planet with No Nightmare
