w,vector_semantico
fundamentalist,"['fundamentalist', 'fundamentalistic']",Letters to the Editor
numerous,"['numerous', 'legion']",Letters to the Editor
like,"['wish', 'like', 'corresponding', 'comparable', 'the_like', 'care', 'same', 'alike', 'ilk', 'similar', 'the_likes_of']",Letters to the Editor
innocent,"['barren', 'devoid', 'inexperienced_person', 'innocent', 'clean-handed', 'innocuous', 'guiltless', 'sinless', 'free', 'impeccant', 'destitute', 'ingenuous', 'unacquainted']",Letters to the Editor
throughout,"['end-to-end', 'throughout', 'passim']",Letters to the Editor
seen,"['image', 'project', 'assure', 'come_across', 'realize', 'find_out', 'regard', 'determine', 'take_in', 'catch', 'figure', 'ensure', 'reckon', 'look', 'construe', 'hear', 'run_across', 'fancy', 'consider', 'learn', 'realise', 'get_word', 'visit', 'discover', 'go_through', 'watch', 'examine', 'escort', 'understand', 'get_a_line', 'go_steady', 'witness', 'pick_up', 'see_to_it', 'view', 'visualize', 'encounter', 'find', 'go_out', 'envision', 'run_into', 'interpret', 'date', 'take_care', 'picture', 'control', 'ascertain', 'get_wind', 'visualise', 'check', 'attend', 'experience', 'insure', 'see', 'meet']",Letters to the Editor
Cleveland,"['Cleveland', 'Grover_Cleveland', 'President_Cleveland', 'Stephen_Grover_Cleveland']",Letters to the Editor
disintegrate,"['disintegrate', 'decay', 'decompose']",Letters to the Editor
analyze,"['break_down', 'dissect', 'psychoanalyze', 'examine', 'psychoanalyse', 'analyze', 'analyse', 'canvass', 'take_apart', 'study', 'canvas']",Letters to the Editor
I,"['ane', 'unity', 'single', '1', 'iodin', 'I', 'i', 'one', 'atomic_number_53', 'ace', 'iodine']",Letters to the Editor
into,[],Letters to the Editor
Second,"['instant', 'endorsement', 'bit', 's', 'sec', 'secondment', '2nd', 'secondly', 'minute', 'indorsement', 'second', 'endorse', 'back', 'indorse', 'irregular', 'mo', 'second_gear', 'second_base', 'arcsecond', 'moment', '2d']",Letters to the Editor
defend,"['fight', 'champion', 'fight_down', 'oppose', 'fight_back', 'support', 'defend', 'hold', 'represent', 'maintain', 'guard', 'fend_for']",Letters to the Editor
most,"['near', 'nigh', 'well-nigh', 'nearly', 'about', 'almost', 'virtually', 'most', 'to_the_highest_degree']",Letters to the Editor
review,"['go_over', 'brushup', 'recapitulation', 'reexamination', 'reappraisal', 'review', 'look_back', 'followup', 'critique', 'recap', 'revue', 'limited_review', 'reassessment', 'brush_up', 'refresh', 'review_article', 'retrospect', 'reexamine', 'critical_review', 'follow-up', 'survey', 'revaluation', 'inspection']",Letters to the Editor
study,"['analyze', 'read', 'canvass', 'report', 'study', 'cogitation', 'consider', 'learn', 'work', 'contemplate', 'meditate', 'hit_the_books', 'bailiwick', 'field', 'sketch', 'examine', 'subject', 'subject_area', 'written_report', 'analyse', 'canvas', 'discipline', 'subject_field', 'survey', 'take', 'field_of_study']",Letters to the Editor
station,"['post', 'send', 'place', 'station']",Letters to the Editor
England,['England'],Letters to the Editor
opinions,"['opinion', 'public_opinion', 'belief', 'ruling', 'thought', 'legal_opinion', 'view', 'sentiment', 'judgment', 'impression', 'notion', 'persuasion', 'judgement', 'feeling', 'vox_populi', 'popular_opinion']",Letters to the Editor
4,"['quadruplet', 'four', 'quaternion', 'iv', 'quaternity', 'tetrad', '4', 'IV', 'quatern', 'quaternary', 'Little_Joe', 'quartet', 'foursome']",Letters to the Editor
manuscript,"['manuscript', 'holograph', 'ms']",Letters to the Editor
been,"['equal', 'constitute', 'follow', 'be', 'exist', 'embody', 'live', 'make_up', 'cost', 'personify', 'represent', 'comprise']",Letters to the Editor
April,"['Apr', 'April']",Letters to the Editor
outside,"['alfresco', 'outdoors', 'extraneous', 'outside', 'international', 'remote', 'external', 'away', 'out-of-door', 'outdoor', 'exterior', 'out_of_doors']",Letters to the Editor
end,"['close', 'end', 'terminal', 'finish', 'stop', 'last', 'conclusion', 'goal', 'final_stage', 'death', 'cease', 'ending', 'remainder', 'oddment', 'remnant', 'destruction', 'terminate', 'closing']",Letters to the Editor
feel,"['feel', 'flavor', 'smell', 'experience', 'flavour', 'tone', 'sense', 'finger', 'palpate', 'find', 'feeling', 'spirit', 'tactile_property', 'look']",Letters to the Editor
detailed,"['detailed', 'elaborated', 'detail', 'elaborate']",Letters to the Editor
Tobin,"['Tobin', 'James_Tobin']",Letters to the Editor
academies,"['honorary_society', 'academy']",Letters to the Editor
others,[],Letters to the Editor
straight,"['heterosexual', 'direct', 'flat', 'uncoiled', 'true', 'straight_person', 'unbent', 'unbowed', 'straightaway', 'heterosexual_person', 'consecutive', 'straightforward', 'directly', 'neat', 'full-strength', 'straight', 'square']",Letters to the Editor
