w,taza
"('Five', ',')",0.0,Will Aircraft or Missiles Win Wars?
"(',', 'four')",0.0,Will Aircraft or Missiles Win Wars?
"('four', ',')",0.0,Will Aircraft or Missiles Win Wars?
"(',', 'three')",0.0,Will Aircraft or Missiles Win Wars?
"('three', ',')",0.0,Will Aircraft or Missiles Win Wars?
"(',', 'two')",0.0,Will Aircraft or Missiles Win Wars?
"('two', ',')",0.0,Will Aircraft or Missiles Win Wars?
"(',', 'one')",0.0,Will Aircraft or Missiles Win Wars?
"('one', ',')",0.0,Will Aircraft or Missiles Win Wars?
"(',', 'fire')",0.0,Will Aircraft or Missiles Win Wars?
"('fire', '!')",0.0,Will Aircraft or Missiles Win Wars?
"('!', '!')",1.0,Will Aircraft or Missiles Win Wars?
"('!', 'The')",0.0,Will Aircraft or Missiles Win Wars?
"('The', 'tremendous')",0.09090909090909091,Will Aircraft or Missiles Win Wars?
"('tremendous', 'energy')",0.2727272727272727,Will Aircraft or Missiles Win Wars?
"('energy', 'released')",0.2222222222222222,Will Aircraft or Missiles Win Wars?
"('released', 'by')",0.0,Will Aircraft or Missiles Win Wars?
"('by', 'giant')",0.0,Will Aircraft or Missiles Win Wars?
"('giant', 'rocket')",0.1,Will Aircraft or Missiles Win Wars?
"('rocket', 'engines')",0.1,Will Aircraft or Missiles Win Wars?
"('engines', 'perhaps')",0.2222222222222222,Will Aircraft or Missiles Win Wars?
"('perhaps', 'can')",0.125,Will Aircraft or Missiles Win Wars?
"('can', 'be')",0.0,Will Aircraft or Missiles Win Wars?
"('be', 'felt')",0.2,Will Aircraft or Missiles Win Wars?
"('felt', 'much')",0.0,Will Aircraft or Missiles Win Wars?
"('much', 'better')",0.0,Will Aircraft or Missiles Win Wars?
"('better', 'than')",0.14285714285714285,Will Aircraft or Missiles Win Wars?
"('than', 'it')",0.2,Will Aircraft or Missiles Win Wars?
"('it', 'can')",0.0,Will Aircraft or Missiles Win Wars?
"('be', 'heard')",0.16666666666666666,Will Aircraft or Missiles Win Wars?
"('heard', '.')",0.0,Will Aircraft or Missiles Win Wars?
"('.', 'The')",0.0,Will Aircraft or Missiles Win Wars?
"('The', 'pulsating')",0.0,Will Aircraft or Missiles Win Wars?
"('pulsating', 'vibration')",0.3076923076923077,Will Aircraft or Missiles Win Wars?
"('vibration', 'of')",0.1111111111111111,Will Aircraft or Missiles Win Wars?
"('of', 'energy')",0.0,Will Aircraft or Missiles Win Wars?
"('energy', 'clutches')",0.09090909090909091,Will Aircraft or Missiles Win Wars?
"('clutches', 'at')",0.125,Will Aircraft or Missiles Win Wars?
"('at', 'the')",0.25,Will Aircraft or Missiles Win Wars?
"('the', 'pit')",0.2,Will Aircraft or Missiles Win Wars?
"('pit', 'of')",0.0,Will Aircraft or Missiles Win Wars?
"('of', 'your')",0.2,Will Aircraft or Missiles Win Wars?
"('your', 'stomach')",0.1,Will Aircraft or Missiles Win Wars?
"('stomach', '.')",0.0,Will Aircraft or Missiles Win Wars?
"('.', 'Never')",0.0,Will Aircraft or Missiles Win Wars?
"('Never', 'before')",0.2857142857142857,Will Aircraft or Missiles Win Wars?
"('before', 'has')",0.0,Will Aircraft or Missiles Win Wars?
"('has', 'the')",0.2,Will Aircraft or Missiles Win Wars?
"('the', 'introduction')",0.1,Will Aircraft or Missiles Win Wars?
"('introduction', 'of')",0.1111111111111111,Will Aircraft or Missiles Win Wars?
"('of', 'a')",0.0,Will Aircraft or Missiles Win Wars?
"('a', 'weapon')",0.16666666666666666,Will Aircraft or Missiles Win Wars?
"('weapon', 'caused')",0.2,Will Aircraft or Missiles Win Wars?
