w,vector_semantico
sealed,"['sealed', 'seal_off', 'plastered', 'seal', 'varnish', 'certain']",The Fairbrothers
downright,"['downright', 'out-and-out', 'rank', 'absolute', 'right-down', 'sheer']",The Fairbrothers
!,[],The Fairbrothers
envelope,"['envelope', 'gasbag']",The Fairbrothers
Mare,"['maria', 'mare', 'female_horse']",The Fairbrothers
Surely,"['surely', 'sure_as_shooting', 'certainly', 'sure', 'sure_enough', 'for_sure', 'for_certain']",The Fairbrothers
preacher,"['sermoniser', 'sermonizer', 'preacher', 'preacher_man']",The Fairbrothers
birth,"['deliver', 'parturition', 'nascence', 'nativity', 'giving_birth', 'give_birth', 'birthing', 'nascency', 'birth', 'parentage', 'bear', 'have']",The Fairbrothers
perhaps,"['peradventure', 'possibly', 'perhaps', 'maybe', 'perchance', 'mayhap']",The Fairbrothers
Zion,"['Utopia', 'Yisrael', 'Israel', 'Zion', 'State_of_Israel', 'Sion']",The Fairbrothers
acknowledge,"['admit', 'recognize', 'recognise', 'notice', 'acknowledge', 'know', 'receipt']",The Fairbrothers
seem,"['appear', 'seem', 'look']",The Fairbrothers
trimmed,"['pare', 'reduce', 'crop', 'prune', 'cut', 'shave', 'trim_down', 'trim', 'cut_back', 'trim_back', 'bring_down', 'garnish', 'dress', 'clip', 'trimmed', 'snip', 'lop', 'cut_down']",The Fairbrothers
nurse,"['breastfeed', 'suck', 'nursemaid', 'hold', 'give_suck', 'wet-nurse', 'entertain', 'nurse', 'harbour', 'suckle', 'harbor', 'nanny', 'lactate']",The Fairbrothers
in,"['atomic_number_49', 'inward', 'In', 'inch', 'inwards', 'IN', 'Hoosier_State', 'indium', 'in', 'Indiana']",The Fairbrothers
these,[],The Fairbrothers
turned,"['deform', 'move_around', 'release', 'rick', 'turn', 'turn_over', 'turned', 'wrick', 'sour', 'sprain', 'change_state', 'wrench', 'bend', 'grow', 'change_by_reversal', 'twist', 'become', 'ferment', 'work', 'flex', 'plough', 'plow', 'call_on', 'off', 'reverse']",The Fairbrothers
much,"['very_much', 'often', 'a_lot', 'practically', 'a_great_deal', 'lots', 'a_good_deal', 'much']",The Fairbrothers
midwife,"['midwife', 'accoucheuse']",The Fairbrothers
reverent,"['godly', 'reverent', 'worshipful']",The Fairbrothers
call,"['prognosticate', 'cry', 'send_for', 'phone_call', 'scream', 'shout', 'telephone_call', 'predict', 'call_option', 'hollo', 'name', 'holler', 'squall', 'call_off', 'call', 'address', 'phone', 'forebode', 'Call', 'song', 'call_up', 'shout_out', 'ring', 'vociferation', 'anticipate', 'telephone', 'call_in', 'claim', 'yell', 'margin_call', 'outcry', 'visit', 'promise', 'bid', 'foretell', 'birdcall', 'birdsong']",The Fairbrothers
swell,"['beau', 'sheik', 'bully', 'groovy', 'not_bad', 'well_up', 'intumesce', 'dude', 'swell', 'tumesce', 'swell_up', 'great', 'smashing', 'neat', 'corking', 'slap-up', 'keen', 'puff_up', 'gallant', 'fop', 'tumefy', 'well', 'clotheshorse', 'fashion_plate', 'dandy', 'cracking', 'nifty', 'crestless_wave', 'bang-up', 'peachy']",The Fairbrothers
melting,"['meld', 'thaw', 'disappear', 'dethaw', 'run', 'melting', 'thawing', 'mellow', 'melt_down', 'unthaw', 'mellow_out', 'fade', 'unfreeze', 'evaporate', 'dissolve', 'liquescent', 'melt']",The Fairbrothers
Flotilla,['flotilla'],The Fairbrothers
whose,[],The Fairbrothers
leave,"['leave_behind', 'bequeath', 'give', 'entrust', 'pass_on', 'allow', 'will', 'go_away', 'leave_of_absence', 'leave', 'leave_alone', 'pull_up_stakes', 'exit', 'allow_for', 'get_out', 'go_out', 'forget', 'go_forth', 'provide', 'depart', 'result', 'parting', 'impart', 'leave-taking', 'lead', 'farewell']",The Fairbrothers
watching,"['look_out', 'keep_an_eye_on', 'observance', 'find_out', 'catch', 'ascertain', 'watch_over', 'watching', 'determine', 'watch_out', 'check', 'observe', 'learn', 'follow', 'observation', 'take_in', 'see', 'watch', 'look_on', 'view']",The Fairbrothers
children,"['nestling', 'tike', 'youngster', 'tiddler', 'fry', 'kid', 'tyke', 'minor', 'baby', 'shaver', 'nipper', 'child', 'small_fry']",The Fairbrothers
they,[],The Fairbrothers
pictures,"['moving-picture_show', 'ikon', 'photograph', 'show', 'moving_picture', 'picture_show', 'flick', 'delineation', 'motion_picture', 'word-painting', 'characterisation', 'impression', 'image', 'envision', 'motion-picture_show', 'characterization', 'pic', 'photo', 'project', 'film', 'painting', 'exposure', 'fancy', 'mental_picture', 'video', 'depict', 'picture', 'visualize', 'depiction', 'movie', 'see', 'pictorial_matter', 'word_picture', 'figure', 'render', 'visualise', 'scene', 'icon']",The Fairbrothers
day,"['daylight', 'Clarence_Shepard_Day_Jr.', '24-hour_interval', 'twenty-four_hour_period', 'Day', 'mean_solar_day', 'day', 'Clarence_Day', 'sidereal_day', 'daytime', 'solar_day', 'twenty-four_hours']",The Fairbrothers
weather,"['brave', 'brave_out', 'upwind', 'weather_condition', 'endure', 'atmospheric_condition', 'conditions', 'weather']",The Fairbrothers
tears,"['teardrop', 'snag', 'rip', 'charge', 'buck', 'weeping', 'pull', 'shoot', 'tear', 'snap', 'split', 'rupture', 'bout', 'shoot_down', 'displume', 'tears', 'crying', 'binge', 'deplume', 'pluck', 'bust', 'deplumate', 'rent']",The Fairbrothers
stormy,"['stormy', 'tempestuous']",The Fairbrothers
Reaching,"['accomplish', 'reaching', 'give', 'make', 'reach', 'arrive_at', 'touch', 'contact', 'pass_on', 'get_through', 'turn_over', 'arrival', 'hit', 'achieve', 'pass', 'get_hold_of', 'gain', 'attain', 'extend_to', 'strain', 'stretch', 'reach_out', 'progress_to', 'get_to', 'hand', 'strive']",The Fairbrothers
trippin',[],The Fairbrothers
He'd,[],The Fairbrothers
Indeed,"['so', 'indeed']",The Fairbrothers
