w,vector_semantico
A,"['vitamin_A', 'A', 'a', 'axerophthol', 'deoxyadenosine_monophosphate', 'group_A', 'ampere', 'amp', 'type_A', 'angstrom', 'adenine', 'angstrom_unit', 'antiophthalmic_factor']",The Moon and the Thorn.
watched,"['keep_an_eye_on', 'watch', 'look_out', 'observe', 'ascertain', 'watch_over', 'view', 'take_in', 'catch', 'determine', 'see', 'follow', 'look_on', 'watch_out', 'check', 'find_out', 'learn']",The Moon and the Thorn.
planets,"['planet', 'major_planet', 'satellite']",The Moon and the Thorn.
kept,"['celebrate', 'sustain', 'kept', 'save', 'keep_back', 'proceed', 'maintain', 'hold_open', 'prevent', 'unbroken', 'keep_on', 'keep_open', 'hold_on', 'stay_fresh', 'preserve', 'continue', 'observe', 'keep', 'restrain', 'retain', 'hold_back', 'hold', 'go_along', 'go_on']",The Moon and the Thorn.
beginning,"['beginning', 'showtime', 'set_about', 'kickoff', 'start_out', 'root', 'get_down', 'get', 'set_out', 'commence', 'offset', 'get-go', 'begin', 'origin', 'rootage', 'outset', 'source', 'starting_time', 'lead_off', 'start', 'commencement', 'first']",The Moon and the Thorn.
there's,[],The Moon and the Thorn.
left,"['get_out', 'leave_alone', 'go_away', 'left', 'left-hand', 'entrust', 'remaining', 'allow_for', 'exit', 'left_over', 'left_hand', 'go_out', 'pull_up_stakes', 'leftfield', 'go_forth', 'leftover', 'odd', 'impart', 'allow', 'leave', 'provide', 'depart', 'unexpended', 'left_wing', 'will', 'pass_on', 'bequeath', 'forget', 'leave_behind', 'left_field', 'lead', 'result', 'give']",The Moon and the Thorn.
Henrietta,[],The Moon and the Thorn.
sat,"['sit_down', 'posture', 'baby-sit', 'model', 'Sat', 'seat', 'sit', 'Saturday', 'sit_around', 'pose', 'Sabbatum', 'ride']",The Moon and the Thorn.
extraordinary,"['over-the-top', 'extraordinary', 'sinful']",The Moon and the Thorn.
clear,"['vindicated', 'well-defined', 'brighten', 'light_up', 'sack', 'crystalize', 'make', 'discharge', 'take_in', 'elucidate', 'clear', 'realise', 'straighten_out', 'authorize', 'earn', 'unmortgaged', 'clean-cut', 'shed_light_on', 'absolved', 'clear_up', 'solve', 'crystallise', 'pull_in', 'clearly', 'net', 'sort_out', 'exculpated', 'clear-cut', 'illuminate', 'exonerate', 'light', 'all_the_way', 'percipient', 'crystallize', 'acquit', 'top', 'pass', 'exonerated', 'enlighten', 'bring_in', 'assoil', 'readable', 'decipherable', 'gain', 'realize', 'cleared', 'crystalise', 'unclouded', 'unclutter', 'sack_up', 'authorise', 'clean', 'exculpate', 'open']",The Moon and the Thorn.
observed,"['celebrate', 'respect', 'observed', 'keep_an_eye_on', 'ascertained', 'watch', 'honour', 'maintain', 'notice', 'find', 'honor', 'detect', 'abide_by', 'mention', 'discover', 'take_note', 'observe', 'keep', 'note', 'watch_over', 'discovered', 'follow', 'remark']",The Moon and the Thorn.
balanced,"['equilibrate', 'equilibrise', 'balance', 'equilibrize', 'balanced', 'poise']",The Moon and the Thorn.
bun,"['roll', 'bun']",The Moon and the Thorn.
sea,"['sea', 'ocean']",The Moon and the Thorn.
garden,['garden'],The Moon and the Thorn.
sin,"['sine', 'trespass', 'sinfulness', 'transgress', 'drop_the_ball', 'goof', 'Sin', 'wickedness', 'sinning', 'blunder', 'hell', 'sin', 'boob']",The Moon and the Thorn.
leaf,"['riff', 'leafage', 'leaf', 'flip', 'riffle', 'thumb', 'folio', 'flick', 'foliage']",The Moon and the Thorn.
having,"['sustain', 'experience', 'give_birth', 'make', 'take_in', 'suffer', 'have_got', 'cause', 'accept', 'own', 'have', 'feature', 'ingest', 'consume', 'get', 'bear', 'throw', 'induce', 'let', 'stimulate', 'birth', 'possess', 'take', 'deliver', 'give', 'hold', 'receive']",The Moon and the Thorn.
started,"['come_out', 'pop_out', 'get_going', 'set_about', 'take_up', 'originate', 'start_out', 'jump', 'set_off', 'get_down', 'startle', 'initiate', 'pop', 'get', 'set_out', 'commence', 'depart', 'embark_on', 'bulge', 'bulge_out', 'begin', 'start_up', 'take_off', 'set_forth', 'part', 'go', 'bug_out', 'protrude', 'lead_off', 'start']",The Moon and the Thorn.
night,"['nighttime', 'Night', 'night', 'Nox', 'dark']",The Moon and the Thorn.
avoided,"['forfend', 'invalidate', 'quash', 'void', 'nullify', 'head_off', 'stave_off', 'keep_off', 'deflect', 'obviate', 'annul', 'avert', 'ward_off', 'forefend', 'debar', 'avoid', 'fend_off']",The Moon and the Thorn.
arm,"['limb', 'sleeve', 'fortify', 'arm', 'build_up', 'gird', 'weapon', 'weapon_system', 'subdivision', 'branch']",The Moon and the Thorn.
with,[],The Moon and the Thorn.
silenced,"['still', 'hush', 'silence', 'shut_up', 'quieten', 'hush_up', 'silenced']",The Moon and the Thorn.
ceased,"['cease', 'discontinue', 'quit', 'finish', 'lay_off', 'stop', 'terminate', 'give_up', 'end']",The Moon and the Thorn.
tyranny,"['one-man_rule', 'totalitarianism', 'authoritarianism', 'Caesarism', 'despotism', 'shogunate', 'dictatorship', 'tyranny', 'monocracy', 'absolutism', 'Stalinism']",The Moon and the Thorn.
curiosity,"['wonder', 'curio', 'peculiarity', 'oddment', 'oddity', 'rarity', 'curiosity']",The Moon and the Thorn.
claws,"['nipper', 'hook', 'claw', 'pincer', 'chela']",The Moon and the Thorn.
Dorothy,[],The Moon and the Thorn.
like,"['corresponding', 'wish', 'like', 'similar', 'ilk', 'same', 'alike', 'the_likes_of', 'comparable', 'the_like', 'care']",The Moon and the Thorn.
patiently,['patiently'],The Moon and the Thorn.
nettled,"['urticate', 'miffed', 'get_at', 'peeved', 'pissed_off', 'vex', 'nettle', 'devil', 'get_to', 'rile', 'nark', 'rag', 'nettled', 'gravel', 'steamed', 'pissed', 'irritate', 'riled', 'annoy', 'roiled', 'stung', 'annoyed', 'bother', 'chafe', 'irritated']",The Moon and the Thorn.
Summer's,[],The Moon and the Thorn.
lived,"['hold_up', 'subsist', 'experience', 'endure', 'live_on', 'live', 'go', 'be', 'know', 'survive', 'exist', 'inhabit', 'dwell', 'hold_out', 'populate', 'last']",The Moon and the Thorn.
fat,"['plump', 'flesh_out', 'plump_out', 'blubber', 'fat', 'juicy', 'fatness', 'fatten_out', 'fatten_up', 'fatty', 'productive', 'avoirdupois', 'fatten', 'fill_out', 'rich', 'fertile', 'fatty_tissue', 'adipose_tissue']",The Moon and the Thorn.
who,"['World_Health_Organization', 'WHO']",The Moon and the Thorn.
circle,"['dress_circle', 'encircle', 'lap', 'rotary', 'lot', 'band', 'round', 'forget_me_drug', 'set', 'roach', 'circle', 'roundabout', 'rophy', 'R-2', 'rope', 'circuit', 'circulate', 'traffic_circle', 'roofy', 'Mexican_valium']",The Moon and the Thorn.
past,"['past_tense', 'retiring', 'past', 'yesteryear', 'preceding', 'past_times', 'by']",The Moon and the Thorn.
scent,"['odour', 'aroma', 'odourise', 'odorize', 'wind', 'scent', 'nose', 'perfume', 'fragrance', 'smell', 'odor', 'olfactory_property']",The Moon and the Thorn.
drama,"['drama', 'dramatic_play', 'dramatic_event', 'play']",The Moon and the Thorn.
thorns,"['sticker', 'irritant', 'spine', 'pricker', 'prickle', 'spikelet', 'thorn']",The Moon and the Thorn.
obeyed,['obey'],The Moon and the Thorn.
defense,"['defense_mechanism', 'DoD', 'defensive_structure', 'refutation', 'defense_reaction', 'defending_team', 'United_States_Department_of_Defense', 'Department_of_Defense', 'Defense', 'vindication', 'defense_team', 'demurrer', 'defense', 'defensive_measure', 'defense_force', 'defence_mechanism', 'Defense_Department', 'defence', 'defence_reaction', 'denial', 'defence_force', 'defense_lawyers']",The Moon and the Thorn.
