w,vector_semantico
Sandalphon,[],The Lovers
Then,"['then', 'and_so', 'so', 'and_then']",The Lovers
Lingo,"['cant', 'slang', 'argot', 'jargon', 'vernacular', 'lingo', 'patois']",The Lovers
new,"['newfangled', 'New', 'novel', 'new', 'newly', 'unexampled', 'freshly', 'fresh', 'young', 'raw', 'Modern']",The Lovers
join,"['get_together', 'connect', 'link', 'fall_in', 'join', 'bring_together', 'conjoin', 'articulation', 'link_up', 'union', 'unite', 'junction', 'sum', 'joint', 'juncture']",The Lovers
I,"['ane', 'unity', 'single', '1', 'iodin', 'I', 'i', 'one', 'atomic_number_53', 'ace', 'iodine']",The Lovers
into,[],The Lovers
vessel,"['watercraft', 'vas', 'vessel']",The Lovers
interstellar,['interstellar'],The Lovers
study,"['analyze', 'read', 'canvass', 'report', 'study', 'cogitation', 'consider', 'learn', 'work', 'contemplate', 'meditate', 'hit_the_books', 'bailiwick', 'field', 'sketch', 'examine', 'subject', 'subject_area', 'written_report', 'analyse', 'canvas', 'discipline', 'subject_field', 'survey', 'take', 'field_of_study']",The Lovers
Earthmen's,[],The Lovers
journey's,[],The Lovers
crash,"['doss_down', 'clangoring', 'go_down', 'clang', 'dash', 'wreck', 'break_up', 'crash', 'gate-crash', 'clank', 'clangour', 'smash', 'collapse', 'clash', 'clangor', 'ram', 'doss', 'break_apart', 'barge_in']",The Lovers
grammatical,"['grammatic', 'well-formed', 'grammatical']",The Lovers
unattached,"['free-swimming', 'uncommitted', 'unattached']",The Lovers
wrongly,"['wrongly', 'incorrectly', 'wrong']",The Lovers
So,"['and_so', 'hence', 'thus', 'therefore', 'thence', 'indeed', 'sol', 'then', 'soh', 'so', 'thusly', 'and_then']",The Lovers
hurl,"['thrust', 'lunge', 'cast', 'hurl', 'hurtle', 'throw']",The Lovers
crowd,"['crew', 'crowd_together', 'crowd', 'herd', 'push', 'bunch', 'gang']",The Lovers
Ozagenians,[],The Lovers
Icelandic-speaking,['Icelandic-speaking'],The Lovers
been,"['equal', 'constitute', 'follow', 'be', 'exist', 'embody', 'live', 'make_up', 'cost', 'personify', 'represent', 'comprise']",The Lovers
outside,"['alfresco', 'outdoors', 'extraneous', 'outside', 'international', 'remote', 'external', 'away', 'out-of-door', 'outdoor', 'exterior', 'out_of_doors']",The Lovers
end,"['close', 'end', 'terminal', 'finish', 'stop', 'last', 'conclusion', 'goal', 'final_stage', 'death', 'cease', 'ending', 'remainder', 'oddment', 'remnant', 'destruction', 'terminate', 'closing']",The Lovers
nose,"['nose', 'nozzle', 'pry', 'wind', 'horn_in', 'nuzzle', 'olfactory_organ', 'scent', 'intrude', 'poke']",The Lovers
succeeded,"['come_after', 'follow', 'come_through', 'deliver_the_goods', 'bring_home_the_bacon', 'succeed', 'win']",The Lovers
Line,"['billet', 'parentage', 'business', 'furrow', 'line_of_descent', 'line_of_merchandise', 'occupation', 'air', 'logical_argument', 'argument', 'line', 'communication_channel', 'line_of_products', 'production_line', 'ancestry', 'short_letter', 'trace', 'argumentation', 'dividing_line', 'origin', 'contrast', 'rail_line', 'credit_line', 'describe', 'agate_line', 'telephone_circuit', 'subscriber_line', 'descent', 'bloodline', 'transmission_line', 'cable', 'job', 'lineage', 'telephone_line', 'personal_credit_line', 'assembly_line', 'run_along', 'line_of_business', 'wrinkle', 'product_line', 'melodic_phrase', 'channel', 'strain', 'course', 'blood_line', 'demarcation', 'delineate', 'stock', 'seam', 'line_of_reasoning', 'phone_line', 'tune', 'note', 'line_of_work', 'personal_line_of_credit', 'pedigree', 'melody', 'railway_line', 'blood', 'line_of_credit', 'melodic_line', 'draw', 'crinkle', 'bank_line', 'stemma', 'pipeline', 'crease', 'business_line']",The Lovers
self,"['ego', 'self']",The Lovers
Many,['many'],The Lovers
Icelandic,['Icelandic'],The Lovers
operated,"['function', 'operate_on', 'operate', 'maneuver', 'manoeuvre', 'control', 'engage', 'manoeuver', 'mesh', 'work', 'go', 'run', 'lock']",The Lovers
others,[],The Lovers
silent,"['dumb', 'tacit', 'mum', 'unsounded', 'still', 'mute', 'soundless', 'understood', 'silent']",The Lovers
drive,"['repel', 'driveway', 'effort', 'crusade', 'driving_force', 'movement', 'aim', 'driving', 'private_road', 'thrust', 'repulse', 'tug', 'force_back', 'ride', 'labor', 'beat_back', 'push_back', 'parkway', 'ram', 'drive', 'cause', 'labour', 'get', 'campaign', 'motor', 'push', 'take', 'force']",The Lovers
occur,"['pass_off', 'come_about', 'come', 'pass', 'hap', 'take_place', 'go_on', 'fall_out', 'occur', 'happen']",The Lovers
known,"['cognize', 'fuck', 'get_laid', 'have_a_go_at_it', 'have_it_away', 'bed', 'have_it_off', 'sleep_together', 'sleep_with', 'have_intercourse', 'recognize', 'cognise', 'live', 'acknowledge', 'make_out', 'make_love', 'love', 'bang', 'jazz', 'recognise', 'bonk', 'be_intimate', 'lie_with', 'screw', 'hump', 'known', 'roll_in_the_hay', 'have_sex', 'eff', 'know', 'get_it_on', 'do_it', 'experience']",The Lovers
A,"['vitamin_A', 'A', 'deoxyadenosine_monophosphate', 'adenine', 'a', 'group_A', 'amp', 'ampere', 'angstrom', 'type_A', 'antiophthalmic_factor', 'axerophthol', 'angstrom_unit']",The Lovers
predict,"['predict', 'foretell', 'presage', 'foreshadow', 'call', 'omen', 'prefigure', 'bode', 'betoken', 'anticipate', 'forebode', 'augur', 'forecast', 'promise', 'portend', 'prognosticate', 'auspicate']",The Lovers
frowning,"['frowning', 'glower', 'lour', 'lower', 'frown']",The Lovers
lessons,"['moral', 'example', 'lesson', 'object_lesson', 'deterrent_example']",The Lovers
unthaw,"['melt', 'thaw', 'unthaw', 'unfreeze', 'dethaw', 'dissolve']",The Lovers
'',[],The Lovers
himself,[],The Lovers
reported,"['cover', 'reported', 'report', 'account', 'describe']",The Lovers
than,[],The Lovers
whose,[],The Lovers
marry,"['tie', 'get_hitched_with', 'wed', 'espouse', 'get_married', 'conjoin', 'marry', 'hook_up_with', 'splice']",The Lovers
unfrozen,"['melt', 'thaw', 'unthaw', 'free', 'unfreeze', 'dethaw', 'unblock', 'dissolve', 'release', 'unfrozen']",The Lovers
navel,"['navel', 'omphalos', 'umbilicus', 'navel_point', 'belly_button', 'omphalus', 'bellybutton']",The Lovers
aboard,"['alongside', 'aboard', 'on_board', 'on_base']",The Lovers
students,"['scholar', 'student', 'scholarly_person', 'educatee', 'pupil', 'bookman']",The Lovers
chief,"['principal', 'primary', 'head', 'headman', 'gaffer', 'main', 'honcho', 'top_dog', 'chief', 'boss', 'chieftain', 'tribal_chief', 'master', 'foreman']",The Lovers
Hebrew,"['Israelite', 'Jew', 'Hebrew', 'Hebraic', 'Hebraical']",The Lovers
would,[],The Lovers
Besides,"['also', 'likewise', 'besides', 'as_well', 'too', 'in_any_case']",The Lovers
Minor,"['small-scale', 'venial', 'small', 'nestling', 'fry', 'tyke', 'youngster', 'child', 'kid', 'small_fry', 'nipper', 'shaver', 'nonaged', 'underage', 'tiddler', 'minor', 'tike', 'modest', 'pocket-size', 'pocket-sized']",The Lovers
living,"['inhabit', 'hold_up', 'living', 'bread_and_butter', 'subsist', 'survive', 'surviving', 'endure', 'dwell', 'exist', 'live', 'support', 'go', 'populate', 'livelihood', 'hold_out', 'life', 'live_on', 'sustenance', 'animation', 'last', 'know', 'aliveness', 'keep', 'be', 'experience']",The Lovers
Swahili,['Swahili'],The Lovers
And,[],The Lovers
longer,"['farsighted', 'foresightful', 'recollective', 'yearner', 'tenacious', 'foresighted', 'prospicient', 'farseeing', 'retentive', 'thirster', 'long', 'longsighted', 'longer']",The Lovers
across,"['across', 'crosswise', 'crossways']",The Lovers
necklaces,['necklace'],The Lovers
hemisphere,"['hemisphere', 'cerebral_hemisphere']",The Lovers
as,"['adenine', 'group_A', 'arsenic', 'AS', 'angstrom_unit', 'As', 'as', 'Eastern_Samoa', 'angstrom', 'every_bit', 'a', 'ampere', 'type_A', 'axerophthol', 'atomic_number_33', 'vitamin_A', 'A', 'deoxyadenosine_monophosphate', 'equally', 'amp', 'American_Samoa', 'antiophthalmic_factor']",The Lovers
Sahara,"['Sahara', 'Sahara_Desert']",The Lovers
they,[],The Lovers
Yarrow,"['yarrow', 'Achillea_millefolium', 'milfoil']",The Lovers
choking,"['expire', 'choke', 'exit', 'conk', 'pop_off', 'snuff_it', ""cash_in_one's_chips"", 'fret', 'clog_up', 'kick_the_bucket', 'choke_off', 'give-up_the_ghost', 'strangulation', 'gag', 'asphyxiate', 'choking', 'back_up', 'go', 'pass_away', 'foul', 'croak', 'die', 'throttle', 'stifle', 'clog', 'decease', 'strangle', 'strangling', 'suffocate', 'congest', 'pass', 'buy_the_farm', 'scrag', 'perish', 'drop_dead', 'throttling']",The Lovers
you,[],The Lovers
keeping,"['holding', 'prevent', 'save', 'proceed', 'preserve', 'go_along', 'hold', 'stay_fresh', 'safekeeping', 'keep_back', 'sustain', 'retain', 'guardianship', 'keeping', 'maintain', 'observe', 'go_on', 'hold_open', 'hold_back', 'retention', 'restrain', 'hold_on', 'celebrate', 'continue', 'keep_on', 'keep_open', 'keep']",The Lovers
married,"['tie', 'matrimonial', 'get_hitched_with', 'wed', 'espouse', 'get_married', 'conjoin', 'married', 'marry', 'hook_up_with', 'marital', 'splice']",The Lovers
members,"['member', 'extremity', 'penis', 'appendage', 'phallus', 'fellow_member']",The Lovers
voice,"['vocalism', 'part', 'vocalization', 'vocalise', 'interpreter', 'sound', 'vox', 'vocalisation', 'representative', 'articulation', 'spokesperson', 'voice', 'phonation', 'vocalize']",The Lovers
good,"['proficient', 'sound', 'respectable', 'well', 'salutary', 'full', 'serious', 'estimable', 'effective', 'in_effect', 'commodity', 'skilful', 'just', 'dear', 'practiced', 'good', 'adept', 'thoroughly', 'safe', 'trade_good', 'honest', 'near', 'goodness', 'skillful', 'right', 'unspoilt', 'expert', 'ripe', 'undecomposed', 'unspoiled', 'secure', 'in_force', 'soundly', 'honorable', 'upright', 'dependable', 'beneficial']",The Lovers
equipment,['equipment'],The Lovers
Earthmen,"['earthling', 'tellurian', 'worldling', 'earthman']",The Lovers
frauds,"['put-on', 'humbug', 'shammer', 'faker', 'pretender', 'imposter', 'pseudo', 'pseud', 'fake', 'impostor', 'fraudulence', 'fraud', 'hoax', 'dupery', 'role_player', 'sham']",The Lovers
How,[],The Lovers
drives,"['repel', 'driveway', 'effort', 'crusade', 'driving_force', 'movement', 'aim', 'driving', 'private_road', 'thrust', 'repulse', 'tug', 'force_back', 'ride', 'labor', 'beat_back', 'push_back', 'parkway', 'ram', 'drive', 'cause', 'labour', 'get', 'campaign', 'motor', 'push', 'take', 'force']",The Lovers
at,"['At', 'atomic_number_85', 'astatine', 'at']",The Lovers
born,"['pay', 'Max_Born', 'birth', 'digest', 'turn_out', 'hold', 'Born', 'conduct', 'take_over', 'deport', 'brook', 'endure', 'comport', 'accept', 'expect', 'support', 'abide', 'carry', 'natural', 'yield', 'assume', 'stomach', 'acquit', 'born', 'put_up', 'give_birth', 'suffer', 'stick_out', 'behave', 'bear', 'innate', 'tolerate', 'stand', 'gestate', 'wear', 'deliver', 'have_a_bun_in_the_oven', 'contain', 'have']",The Lovers
much,"['a_good_deal', 'often', 'a_lot', 'a_great_deal', 'very_much', 'much', 'lots', 'practically']",The Lovers
turned,"['call_on', 'sour', 'change_by_reversal', 'wrench', 'plow', 'release', 'become', 'bend', 'flex', 'ferment', 'reverse', 'work', 'turn', 'off', 'move_around', 'turned', 'twist', 'change_state', 'plough', 'rick', 'deform', 'grow', 'wrick', 'sprain', 'turn_over']",The Lovers
inflected,"['inflected', 'tone', 'modulate', 'inflect']",The Lovers
if,[],The Lovers
our,[],The Lovers
their,[],The Lovers
gender,"['grammatical_gender', 'sex', 'gender', 'sexuality']",The Lovers
the,[],The Lovers
ward,"['Mary_Augusta_Arnold_Ward', 'ward', 'cellblock', 'Aaron_Montgomery_Ward', 'Montgomery_Ward', 'Mrs._Humphrey_Ward', 'guard', 'hospital_ward', 'Baroness_Jackson_of_Lodsworth', 'Ward', 'Barbara_Ward']",The Lovers
contained,"['hold_in', 'carry', 'moderate', 'bear', 'turn_back', 'incorporate', 'stop', 'curb', 'contained', 'control', 'take', 'hold_back', 'check', 'arrest', 'hold', 'contain', 'comprise']",The Lovers
doubted,['doubt'],The Lovers
adjectives,['adjective'],The Lovers
mai'teipa,[],The Lovers
There,"['on_that_point', 'at_that_place', 'in_that_location', 'in_that_respect', 'there', 'thither']",The Lovers
which,[],The Lovers
beloved,"['darling', 'honey', 'beloved', 'dearest', 'dear', 'love']",The Lovers
using,"['expend', 'exploitation', 'utilise', 'practice', 'utilize', 'habituate', 'using', 'employ', 'victimisation', 'victimization', 'use', 'apply']",The Lovers
check,"['chequer', 'go_over', 'stoppage', 'cheque', 'assure', 'gibe', 'hitch', 'find_out', 'determine', 'hold', 'checkout', 'ensure', 'check_up_on', 'stop', 'condition', 'mark', 'turn_back', 'halt', 'retard', 'learn', 'train', 'check-out_procedure', 'delay', 'look_into', 'balk', 'assay', 'check_off', 'crack', 'check_out', 'hold_in', 'moderate', 'watch', 'tab', 'verification', 'tally', 'curb', 'chink', 'check_over', 'hinderance', 'baulk', 'handicap', 'see_to_it', 'hold_back', 'hindrance', 'fit', 'correspond', 'break', 'substantiation', 'jibe', 'chit', 'deterrent', 'checker', 'stay', 'check_into', 'mark_off', 'tick', 'bridle', 'discipline', 'chip', 'control', 'impediment', 'bank_check', 'match', 'confirmation', 'check_mark', 'ascertain', 'agree', 'tick_off', 'suss_out', 'check', 'arrest', 'contain', 'insure', 'see']",The Lovers
Gabriel's,[],The Lovers
died,"['expire', 'break_down', 'choke', 'become_flat', 'exit', 'conk', 'pop_off', 'snuff_it', ""cash_in_one's_chips"", 'go_bad', 'kick_the_bucket', 'give-up_the_ghost', 'give_way', 'go', 'pall', 'pass_away', 'croak', 'die', 'conk_out', 'break', 'decease', 'die_out', 'fail', 'pass', 'buy_the_farm', 'perish', 'drop_dead', 'give_out']",The Lovers
Siddo,[],The Lovers
(,[],The Lovers
women,"['charwoman', 'cleaning_woman', 'char', 'cleaning_lady', 'adult_female', 'womanhood', 'fair_sex', 'woman']",The Lovers
unrealistically,['unrealistically'],The Lovers
animate,"['animise', 'sentient', 'repair', 'animate', 'liven_up', 'liven', 'animize', 'recreate', 'reanimate', 'vivify', 'inspire', 'enliven', 'revivify', 'quicken', 'revive', 'exalt', 'invigorate', 'renovate']",The Lovers
sure,"['sure_enough', 'for_sure', 'indisputable', 'surely', 'sure', 'trusted', 'certainly', 'for_certain', 'certain', 'sure_as_shooting']",The Lovers
thinking,"['thinking', 'cerebrate', 'cogitate', 'mean', 'guess', 'remember', 'reckon', 'retrieve', 'cerebration', 'consider', 'recall', 'call_back', 'think', 'recollect', 'intend', 'suppose', 'thought', 'intelligent', 'thought_process', 'imagine', 'reasoning', 'conceive', 'intellection', 'opine', 'call_up', 'believe', 'mentation']",The Lovers
island,['island'],The Lovers
wisdom,"['soundness', 'Wisdom_of_Solomon', 'Wisdom', 'wisdom', 'sapience', 'wiseness']",The Lovers
ago,"['agone', 'ago']",The Lovers
return,"['paying_back', 'repay', 'comeback', 'retort', 'reelect', 'homecoming', 'refund', 'rejoin', 'come_back', 'take_back', 'return', 'income_tax_return', 'turn_back', 'return_key', 'riposte', 'replication', 'coming_back', 'give', 'recall', 'devolve', 'takings', 'restoration', 'regaining', 'issue', 'counter', 'fall', 'proceeds', 'generate', 'yield', 'hark_back', 'give_back', 'bring_back', 'getting_even', 'recurrence', 'rejoinder', 'payoff', 'retrovert', 'revert', 'pass', 'regress', 'deliver', 'restitution', 'take', 'render', 'tax_return', 'reappearance']",The Lovers
are,"['personify', 'equal', 'constitute', 'follow', 'be', 'exist', 'embody', 'live', 'make_up', 'cost', 'are', 'ar', 'represent', 'comprise']",The Lovers
Thus,"['hence', 'olibanum', 'frankincense', 'thus', 'therefore', 'thence', 'gum_olibanum', 'so', 'thusly']",The Lovers
eat,"['eat_on', 'use_up', 'rust', 'wipe_out', 'corrode', 'eat_up', 'deplete', 'exhaust', 'feed', 'run_through', 'eat', 'consume']",The Lovers
It,"['IT', 'information_technology']",The Lovers
Neither,['neither'],The Lovers
suspicion,"['suspicion', 'distrust', 'intuition', 'hunch', 'suspiciousness', 'mistrust', 'misgiving']",The Lovers
Said,"['aforesaid', 'suppose', 'state', 'said', 'say', 'articulate', 'sound_out', 'allege', 'read', 'pronounce', 'aver', 'order', 'enounce', 'enunciate', 'tell', 'enjoin', 'aforementioned']",The Lovers
among,[],The Lovers
second,"['instant', 'endorsement', 'bit', 's', 'sec', 'secondment', '2nd', 'secondly', 'minute', 'indorsement', 'second', 'endorse', 'back', 'indorse', 'irregular', 'mo', 'second_gear', 'second_base', 'arcsecond', 'moment', '2d']",The Lovers
America,"['the_States', 'U.S.A.', 'United_States', 'United_States_of_America', 'US', 'U.S.', 'America', 'USA']",The Lovers
Mary,"['The_Virgin', 'Blessed_Virgin', 'Madonna', 'Mary', 'Virgin_Mary']",The Lovers
over,"['complete', 'all_over', 'concluded', ""o'er"", 'ended', 'terminated', 'over']",The Lovers
any,"['any', 'whatsoever', 'whatever']",The Lovers
lopsidedly,"['lopsidedly', 'crookedly']",The Lovers
passengers,"['rider', 'passenger']",The Lovers
before,"['ahead', 'before', 'in_front', 'earlier']",The Lovers
somewhere,"['someplace', 'somewhere']",The Lovers
exists,"['survive', 'be', 'exist', 'live', 'subsist']",The Lovers
grew,"['acquire', 'raise', 'mature', 'rise', 'farm', 'uprise', 'get', 'grow', 'produce', 'originate', 'spring_up', 'develop', 'maturate', 'arise', 'turn']",The Lovers
tense,"['tense', 'strain', 'tense_up']",The Lovers
records,"['register', 'show', 'commemorate', 'memorialize', 'disk', 'read', 'immortalize', 'record', 'book', 'memorialise', 'record_book', 'disc', 'enter', 'phonograph_record', 'immortalise', 'put_down', 'platter', 'tape', 'criminal_record', 'track_record', 'phonograph_recording']",The Lovers
swift,"['Swift', 'fleet', 'Sceloporus_occidentalis', 'Jonathan_Swift', 'swift', 'Gustavus_Franklin_Swift', 'Dean_Swift', 'western_fence_lizard', 'blue-belly']",The Lovers
whipped,"['strap', 'pip', 'lash', 'flog', 'trounce', 'mop_up', 'whip', 'welt', 'lather', 'rack_up', 'scald', 'slash', 'worst', 'whisk', 'blister']",The Lovers
off,"['murder', 'sour', 'dispatch', 'bump_off', 'off', 'slay', 'polish_off', 'remove', 'cancelled', 'turned', 'away', 'hit', 'forth']",The Lovers
scriptural,"['biblical', 'scriptural']",The Lovers
:,[],The Lovers
pardon,"['excuse', 'amnesty', 'pardon', 'free_pardon', 'forgiveness']",The Lovers
pardons,"['excuse', 'amnesty', 'pardon', 'free_pardon', 'forgiveness']",The Lovers
You,[],The Lovers
linguist,"['polyglot', 'linguistic_scientist', 'linguist']",The Lovers
more,"['More', 'to_a_greater_extent', 'Sir_Thomas_More', 'Thomas_More', 'more', 'more_than']",The Lovers
horrified,"['dismay', 'appal', 'alarm', 'horror-stricken', 'horrified', 'horror-struck', 'appall', 'horrify']",The Lovers
Bazaar,"['bazaar', 'fair', 'bazar']",The Lovers
Asia,['Asia'],The Lovers
He,"['helium', 'He', 'atomic_number_2', 'he']",The Lovers
Is,"['equal', 'constitute', 'follow', 'be', 'exist', 'embody', 'live', 'make_up', 'cost', 'personify', 'represent', 'comprise']",The Lovers
responsible,"['responsible_for', 'creditworthy', 'responsible']",The Lovers
R.'s,[],The Lovers
other,"['other', 'early', 'former']",The Lovers
above,"['higher_up', 'supra', 'to_a_higher_place', 'above', 'in_a_higher_place']",The Lovers
be,"['Be', 'equal', 'constitute', 'glucinium', 'follow', 'be', 'exist', 'embody', 'live', 'make_up', 'beryllium', 'cost', 'personify', 'represent', 'comprise', 'atomic_number_4']",The Lovers
