w,vector_semantico
poisons,"['envenom', 'toxicant', 'poison', 'poisonous_substance']","Organic Gardening and Farming,"
storage,"['storage', 'store', 'memory_board', 'storehouse', 'computer_memory', 'warehousing', 'repositing', 'memory', 'computer_storage', 'reposition', 'depot', 'entrepot']","Organic Gardening and Farming,"
protects,['protect'],"Organic Gardening and Farming,"
Dr.,"['Dr.', 'doctor', 'physician', 'MD', 'medico', 'doc']","Organic Gardening and Farming,"
found,"['detect', 'found', 'line_up', 'retrieve', 'discover', 'find', 'ascertain', 'receive', 'establish', 'find_oneself', 'come_up', 'observe', 'institute', 'constitute', 'notice', 'plant', 'encounter', 'feel', 'happen', 'set_up', 'get', 'rule', 'witness', 'ground', 'see', 'determine', 'chance', 'find_out', 'get_hold', 'incur', 'bump', 'regain', 'launch', 'obtain', 'base', 'recover']","Organic Gardening and Farming,"
also,"['likewise', 'also', 'too', 'besides', 'as_well']","Organic Gardening and Farming,"
For,[],"Organic Gardening and Farming,"
find,"['uncovering', 'detect', 'line_up', 'retrieve', 'discover', 'find', 'ascertain', 'receive', 'find_oneself', 'come_up', 'discovery', 'observe', 'notice', 'encounter', 'feel', 'happen', 'get', 'rule', 'witness', 'see', 'determine', 'find_out', 'chance', 'get_hold', 'incur', 'bump', 'regain', 'breakthrough', 'obtain', 'recover']","Organic Gardening and Farming,"
graded,"['grade', 'rate', 'stratified', 'order', 'graded', 'mark', 'score', 'place', 'rank', 'range', 'ranked']","Organic Gardening and Farming,"
by,"['aside', 'away', 'by', 'past']","Organic Gardening and Farming,"
blood,"['pedigree', 'blood_line', 'profligate', 'line', 'bloodline', 'ancestry', 'rake', 'rip', 'origin', 'line_of_descent', 'lineage', 'blood', 'roue', 'rakehell', 'descent', 'stemma', 'parentage', 'stock']","Organic Gardening and Farming,"
last,"['death', 'live_on', 'in_conclusion', 'finally', 'finish', 'close', 'last', 'live', 'terminal', 'hold_up', 'final_stage', 'endure', 'finale', 'utmost', 'last-place', 'end', 'lastly', ""cobbler's_last"", 'final', 'lowest', 'stopping_point', 'go', 'hold_out', 'concluding', 'finis', 'net', 'conclusion', 'survive', ""shoemaker's_last""]","Organic Gardening and Farming,"
control,"['controller', 'control_condition', 'see_to_it', 'ascertain', 'verify', 'control', 'insure', 'ascendence', 'curb', 'hold_in', 'ascendancy', 'dominance', 'mastery', 'master', 'ascendency', 'ascendance', 'command', 'assure', 'see', 'hold', 'moderate', 'operate', 'restraint', 'ensure', 'contain', 'check', 'keep_in_line', 'manipulate']","Organic Gardening and Farming,"
them,[],"Organic Gardening and Farming,"
delays,"['postponement', 'holdup', 'wait', 'check', 'hold_up', 'stay', 'hold', 'delay', 'time_lag', 'retard', 'detain']","Organic Gardening and Farming,"
That,[],"Organic Gardening and Farming,"
touch,"['allude', 'adjoin', 'impact', 'touching', 'have-to_doe_with', 'tactile_sensation', 'refer', 'jot', 'soupcon', 'match', 'skin_senses', 'partake', 'bear_on', 'come_to', 'touch', 'equal', 'signature', 'ghost', 'sense_of_touch', 'pertain', 'bear_upon', 'speck', 'extend_to', 'cutaneous_senses', 'advert', 'feeling', 'affect', 'tactual_sensation', 'touch_modality', 'hint', 'tinge', 'trace', 'tint', 'rival', 'touch_sensation', 'meet', 'contact', 'tinct', 'touch_on', 'disturb', 'reach', 'spot', 'pinch', 'stir', 'mite', 'relate', 'concern']","Organic Gardening and Farming,"
stride,"['footstep', 'step', 'tread', 'stride', 'pace']","Organic Gardening and Farming,"
strength,"['potency', 'metier', 'force', 'strong_suit', 'strength', 'effectiveness', 'speciality', 'durability', 'forte', 'military_capability', 'specialty', 'persuasiveness', 'forcefulness', 'long_suit', 'posture', 'enduringness', 'lastingness', 'strong_point', 'military_strength', 'military_posture', 'intensity', 'intensity_level']","Organic Gardening and Farming,"
spirits,"['John_Barleycorn', 'spirit_up', 'strong_drink', 'flavour', 'hard_liquor', 'inspirit', 'booze', 'intent', 'heart', 'hard_drink', 'disembodied_spirit', 'purport', 'spirits', 'liveliness', 'feel', 'liquor', 'spirit', 'feeling', 'flavor', 'look', 'smell', 'tone', 'life', 'emotional_state', 'sprightliness']","Organic Gardening and Farming,"
really,"['genuinely', 'truly', 'real', 'in_truth', 'really', 'rattling', 'actually', 'very']","Organic Gardening and Farming,"
ripened,"['mature', 'ripen', 'aged', 'ripened']","Organic Gardening and Farming,"
If,[],"Organic Gardening and Farming,"
variation,"['edition', 'magnetic_variation', 'version', 'fluctuation', 'pas_seul', 'magnetic_declination', 'mutant', 'mutation', 'sport', 'variance', 'variant', 'variation']","Organic Gardening and Farming,"
C,"['hundred', 'century', 'cytosine', 'speed_of_light', '100', 'c', 'coulomb', 'degree_Celsius', 'carbon', 'ascorbic_acid', 'atomic_number_6', 'vitamin_C', 'light_speed', 'blow', 'deoxycytidine_monophosphate', 'coke', 'C', 'nose_candy', 'degree_centigrade', 'snow', 'one_C', 'ampere-second', 'one_hundred']","Organic Gardening and Farming,"
as,"['every_bit', 'AS', 'a', 'group_A', 'arsenic', 'type_A', 'deoxyadenosine_monophosphate', 'amp', 'antiophthalmic_factor', 'American_Samoa', 'angstrom', 'atomic_number_33', 'As', 'as', 'equally', 'A', 'adenine', 'axerophthol', 'ampere', 'angstrom_unit', 'vitamin_A', 'Eastern_Samoa']","Organic Gardening and Farming,"
patients,"['patient_role', 'patient', 'affected_role']","Organic Gardening and Farming,"
show,"['shew', 'read', 'demonstrate', 'evince', 'establish', 'present', 'express', 'testify', 'usher', 'render', 'demo', 'picture', 'designate', 'appearance', 'bear_witness', 'show', 'point', 'evidence', 'display', 'indicate', 'depict', 'show_up', 'register', 'record', 'exhibit', 'prove']","Organic Gardening and Farming,"
appearing,"['coming_into_court', 'appear', 'look', 'come_along', 'seem', 'appearance', 'appearing', 'come_out']","Organic Gardening and Farming,"
sure,"['certainly', 'for_certain', 'surely', 'trusted', 'sure_as_shooting', 'certain', 'sure_enough', 'indisputable', 'sure', 'for_sure']","Organic Gardening and Farming,"
fan,"['buff', 'devotee', 'lover', 'winnow', 'rooter', 'fan', 'sports_fan']","Organic Gardening and Farming,"
morale,"['esprit_de_corps', 'morale', 'team_spirit']","Organic Gardening and Farming,"
other,"['early', 'former', 'other']","Organic Gardening and Farming,"
bright,"['brilliant', 'lustrous', 'vivid', 'bright', 'smart', 'undimmed', 'hopeful', 'promising', 'shining', 'brightly', 'burnished', 'shiny', 'brilliantly']","Organic Gardening and Farming,"
meal,"['repast', 'meal']","Organic Gardening and Farming,"
raise,"['enkindle', 'rise', 'salary_increase', 'farm', 'ascent', 'elicit', 'bring_up', 'nurture', 'invoke', 'erect', 'heave', 'lift', 'grow', 'call_down', 'leaven', 'enhance', 'promote', 'recruit', 'advance', 'levy', 'kick_upstairs', 'wage_hike', 'upgrade', 'parent', 'put_forward', 'set_up', 'fire', 'acclivity', 'hike', 'upraise', 'rear', 'call_forth', 'conjure', 'elevate', 'evoke', 'arouse', 'kindle', 'wage_increase', 'conjure_up', 'raise', 'stir', 'get_up', 'put_up', 'heighten', 'produce', 'resurrect', 'prove', 'provoke', 'climb']","Organic Gardening and Farming,"
another,"['some_other', 'another']","Organic Gardening and Farming,"
ones,"['1', 'single', 'unity', 'one', 'ace', 'I']","Organic Gardening and Farming,"
