w,vector_semantico
Child's,[],The Sheep's in the Meadow
power,"['world_power', 'power', 'major_power', 'big_businessman', 'powerfulness', 'top_executive', 'index', 'force', 'ability', 'tycoon', 'king', 'magnate', 'baron', 'superpower', 'mogul', 'mightiness', 'great_power', 'business_leader', 'office', 'might', 'exponent']",The Sheep's in the Meadow
Then,"['then', 'and_so', 'so', 'and_then']",The Sheep's in the Meadow
like,"['wish', 'like', 'corresponding', 'comparable', 'the_like', 'care', 'same', 'alike', 'ilk', 'similar', 'the_likes_of']",The Sheep's in the Meadow
interim,"['lag', 'meanwhile', 'interim', 'meantime']",The Sheep's in the Meadow
catalogued,"['catalogue', 'catalog']",The Sheep's in the Meadow
new,"['newfangled', 'New', 'novel', 'new', 'newly', 'unexampled', 'freshly', 'fresh', 'young', 'raw', 'Modern']",The Sheep's in the Meadow
join,"['get_together', 'connect', 'link', 'fall_in', 'join', 'bring_together', 'conjoin', 'articulation', 'link_up', 'union', 'unite', 'junction', 'sum', 'joint', 'juncture']",The Sheep's in the Meadow
kissing,"['osculate', 'necking', 'smooching', 'caressing', 'fondling', 'petting', 'kissing', 'snog', 'kiss', 'buss', 'hugging', 'snuggling', 'cuddling']",The Sheep's in the Meadow
surgeon,"['surgeon', 'sawbones', 'operating_surgeon']",The Sheep's in the Meadow
I,"['ane', 'unity', 'single', '1', 'iodin', 'I', 'i', 'one', 'atomic_number_53', 'ace', 'iodine']",The Sheep's in the Meadow
into,[],The Sheep's in the Meadow
dash,"['scud', 'flash', 'scare_off', 'dash', 'bolt', 'crash', 'style', 'scoot', 'frighten_off', 'pall', 'frighten_away', 'smash', 'shoot', 'flair', 'panache', 'daunt', 'scare', 'sprint', 'hyphen', 'scare_away', 'dart', 'elan', 'dah']",The Sheep's in the Meadow
