w,vector_semantico
A,"['vitamin_A', 'A', 'a', 'axerophthol', 'deoxyadenosine_monophosphate', 'group_A', 'ampere', 'amp', 'type_A', 'angstrom', 'adenine', 'angstrom_unit', 'antiophthalmic_factor']",Proton magnetic resonance study
2.26,[],Proton magnetic resonance study
contaminated,"['contaminate', 'contaminated', 'polluted', 'pollute', 'foul']",Proton magnetic resonance study
total,"['number', 'summate', 'add', 'total', 'totality', 'sum_up', 'come', 'sum', 'tot_up', 'tote_up', 'tot', 'add_together', 'full', 'aggregate', 'entire', 'tally', 'amount', 'add_up']",Proton magnetic resonance study
excellent,"['first-class', 'excellent', 'splendid', 'fantabulous']",Proton magnetic resonance study
Since,[],Proton magnetic resonance study
experiment,"['experimentation', 'try_out', 'experiment']",Proton magnetic resonance study
container,['container'],Proton magnetic resonance study
Plane,"['planing_machine', 'planer', 'aeroplane', 'airplane', 'plane', ""carpenter's_plane"", 'shave', 'sheet', 'level', 'flat', 'skim', 'woodworking_plane']",Proton magnetic resonance study
second,"['s', 'endorse', 'moment', 'endorsement', '2nd', 'irregular', 'second', 'sec', 'indorse', 'arcsecond', 'back', 'indorsement', 'minute', 'secondly', 'mo', '2d', 'second_gear', 'bit', 'secondment', 'second_base', 'instant']",Proton magnetic resonance study
having,"['sustain', 'experience', 'give_birth', 'make', 'take_in', 'suffer', 'have_got', 'cause', 'accept', 'own', 'have', 'feature', 'ingest', 'consume', 'get', 'bear', 'throw', 'induce', 'let', 'stimulate', 'birth', 'possess', 'take', 'deliver', 'give', 'hold', 'receive']",Proton magnetic resonance study
domains,"['knowledge_base', 'knowledge_domain', 'field', 'demesne', 'world', 'land', 'domain_of_a_function', 'domain', 'orbit', 'arena', 'sphere', 'area']",Proton magnetic resonance study
taken,"['claim', 'select', 'necessitate', 'make', 'bring', 'take_away', 'take_in', 'submit', 'postulate', 'aim', 'accept', 'demand', 'take_up', 'engage', 'charter', 'occupy', 'call_for', 'rent', 'fill', 'deal', 'exact', 'assume', 'take_aim', 'have', 'guide', 'taken', 'ingest', 'consume', 'acquire', 'admit', 'subscribe', 'pick_out', 'hire', 'get', 'involve', 'direct', 'withdraw', 'convey', 'drive', 'train', 'take_on', 'interpreted', 'contain', 'carry', 'strike', 'pack', 'subscribe_to', 'consider', 'get_hold_of', 'film', 'take', 'lead', 'remove', 'study', 'read', 'contract', 'use_up', 'look_at', 'conduct', 'adopt', 'ask', 'require', 'learn', 'lease', 'hold', 'choose', 'shoot', 'need']",Proton magnetic resonance study
4,"['iv', 'quartet', 'quadruplet', '4', 'IV', 'four', 'quaternary', 'quatern', 'quaternity', 'foursome', 'tetrad', 'Little_Joe', 'quaternion']",Proton magnetic resonance study
greater,"['large', 'big', 'enceinte', 'capital', 'not_bad', 'bully', 'bang-up', 'outstanding', 'greater', 'great', 'cracking', 'nifty', 'swell', 'corking', 'keen', 'groovy', 'dandy', 'peachy', 'expectant', 'smashing', 'slap-up', 'gravid', 'heavy', 'with_child', 'majuscule', 'neat']",Proton magnetic resonance study
with,[],Proton magnetic resonance study
doubt,"['dubiety', 'uncertainty', 'incertitude', 'question', 'dubiousness', 'doubt', 'doubtfulness']",Proton magnetic resonance study
decreasing,"['diminish', 'decrease', 'minify', 'fall', 'lessen', 'decreasing']",Proton magnetic resonance study
OOH,"['aah', 'ooh']",Proton magnetic resonance study
moments,"['second', 'bit', 'import', 'consequence', 'mo', 'here_and_now', 'instant', 'moment', 'present_moment', 'minute']",Proton magnetic resonance study
stacked,"['stack', 'heap', 'full-bosomed', 'pile', 'bosomy', 'well-endowed', 'sonsie', 'sonsy', 'voluptuous', 'curvaceous', 'buxom', 'curvy', 'stacked', 'busty']",Proton magnetic resonance study
unlikely,"['improbable', 'unbelievable', 'unlikely', 'unconvincing']",Proton magnetic resonance study
Spectra,['spectrum'],Proton magnetic resonance study
negative,"['disconfirming', 'electronegative', 'blackball', 'veto', 'negatively_charged', 'damaging', 'minus', 'negative']",Proton magnetic resonance study
preparation,"['homework', 'preparedness', 'grooming', 'planning', 'readiness', 'cookery', 'training', 'prep', 'formulation', 'readying', 'cooking', 'provision', 'preparation']",Proton magnetic resonance study
1000,"['G', 'yard', 'M', 'grand', 'K', 'one_thousand', 'chiliad', 'thou', 'm', 'k', 'thousand', '1000']",Proton magnetic resonance study
employing,"['utilise', 'use', 'employ', 'engage', 'utilize', 'hire', 'apply']",Proton magnetic resonance study
density,"['concentration', 'denseness', 'compactness', 'density', 'tightness']",Proton magnetic resonance study
view,"['scene', 'take_in', 'see', 'persuasion', 'opinion', 'position', 'vista', 'panorama', 'watch', 'reckon', 'catch', 'horizon', 'purview', 'perspective', 'sight', 'view', 'survey', 'thought', 'prospect', 'sentiment', 'regard', 'consider', 'look_at', 'aspect', 'eyeshot']",Proton magnetic resonance study
Aj,[],Proton magnetic resonance study
This,[],Proton magnetic resonance study
atoms,"['corpuscle', 'molecule', 'speck', 'mote', 'atom', 'particle']",Proton magnetic resonance study
end,"['cease', 'closing', 'conclusion', 'remnant', 'remainder', 'finish', 'goal', 'close', 'terminal', 'stop', 'terminate', 'destruction', 'oddment', 'end', 'final_stage', 'last', 'death', 'ending']",Proton magnetic resonance study
close,"['closing', 'stuffy', 'finis', 'fill_up', 'snug', 'tight', 'shut_down', 'closelipped', 'come_together', 'closely', 'faithful', 'closemouthed', 'conclude', 'last', 'ending', 'skinny', 'conclusion', 'finale', 'shut', 'secretive', 'penny-pinching', 'fold', 'cheeseparing', 'end', 'close', 'near', 'tightlipped', 'close-fitting', 'close_up', 'nigh', 'stopping_point', 'finish', 'airless', 'confining', 'closing_curtain', 'close_down', 'unaired']",Proton magnetic resonance study
analysis,"['analysis', 'psychoanalysis', 'analytic_thinking', 'depth_psychology']",Proton magnetic resonance study
For,[],Proton magnetic resonance study
value,"['value', 'evaluate', 'prise', 'valuate', 'respect', 'economic_value', 'esteem', 'appraise', 'appreciate', 'treasure', 'note_value', 'time_value', 'rate', 'prize', 'measure', 'assess']",Proton magnetic resonance study
presence,"['presence', 'mien', 'bearing', 'comportment', 'front']",Proton magnetic resonance study
made,"['take_a_shit', 'arrive_at', 'lay_down', 'make', 'make_believe', 'draw', 'take_in', 'take_a_leak', 'wee', 'clear', 'realise', 'cause', 'hit', 'micturate', 'urinate', 'pee', 'earn', 'constitute', 'construct', 'cook', 'stool', 'piddle', 'have', 'pull_in', 'build', 'spend_a_penny', 'ready', 'get_to', 'do', 'make_water', 'progress_to', 'relieve_oneself', 'wee-wee', 'work', 'get', 'form', 'throw', 'make_up', 'induce', 'name', 'attain', 'score', 'puddle', 'create', 'reach', 'defecate', 'fix', 'stimulate', 'bring_in', 'pretend', 'take', 'pass_water', 'produce', 'gain', 'establish', 'realize', 'take_a_crap', 'made', 'give', 'piss', 'prepare', 'hold', 'seduce', 'crap', 'pee-pee', 'ca-ca', 'nominate', 'shit']",Proton magnetic resonance study
Douglass,"['Frederick_Douglass', 'Little_Giant', 'Douglas', 'Douglass', 'Stephen_Arnold_Douglas', 'Stephen_A._Douglas']",Proton magnetic resonance study
closer,"['stuffy', 'snug', 'tight', 'closelipped', 'faithful', 'closemouthed', 'skinny', 'nearer', 'secretive', 'penny-pinching', 'cheeseparing', 'near', 'close', 'tightlipped', 'close-fitting', 'nigh', 'nigher', 'finisher', 'airless', 'closer', 'confining', 'unaired']",Proton magnetic resonance study
10.8%,[],Proton magnetic resonance study
range,"['range', 'mountain_chain', 'place', 'lay_out', 'straddle', 'pasture', 'mountain_range', 'chain_of_mountains', 'stove', 'chain', 'scope', 'rate', 'array', 'drift', 'image', 'range_of_mountains', 'ramble', 'kitchen_range', 'tramp', 'wander', 'crop', 'rove', 'stray', 'vagabond', 'roll', 'kitchen_stove', 'set_out', 'order', 'range_of_a_function', 'cast', 'browse', 'rank', 'reach', 'cooking_stove', 'grade', 'run', 'ambit', 'roam', 'graze', 'swan', 'compass', 'grasp', 'orbit']",Proton magnetic resonance study
measured,"['measure_out', 'quantify', 'value', 'evaluate', 'measured', 'mensural', 'metrical', 'metric', 'deliberate', 'mensurable', 'valuate', 'appraise', 'calculated', 'careful', 'mensurate', 'measure', 'assess']",Proton magnetic resonance study
Subsequently,"['subsequently', 'afterwards', 'after', 'later_on', 'later', 'afterward']",Proton magnetic resonance study
Jones,"['Robert_Tyre_Jones', 'Inigo_Jones', 'Mary_Harris_Jones', 'Mother_Jones', 'Jones', 'John_Luther_Jones', 'John_Paul_Jones', 'Casey_Jones', 'Daniel_Jones', 'Bobby_Jones']",Proton magnetic resonance study
Theoretical,"['theoretic', 'theoretical']",Proton magnetic resonance study
to,[],Proton magnetic resonance study
in,"['atomic_number_49', 'indium', 'inwards', 'inch', 'IN', 'in', 'In', 'inward', 'Indiana', 'Hoosier_State']",Proton magnetic resonance study
down,"['pour_down', 'down_pat', 'bolt_down', 'shoot_down', 'dispirited', 'down', 'go_through', 'kill', 'low', 'drink_down', 'pull_down', 'low-spirited', 'pile', 'downwards', 'Down', 'devour', 'consume', 'depressed', 'belt_down', 'pop', 'fine-tune', 'refine', 'polish', 'down_in_the_mouth', 'cut_down', 'downward', 'downwardly', 'blue', 'knock_down', 'gloomy', 'John_L._H._Down', 'downcast', 'down_feather', 'push_down', 'land', 'toss_off', 'mastered', 'downhearted', 'grim']",Proton magnetic resonance study
300,"['300', 'ccc', 'three_hundred']",Proton magnetic resonance study
low,"['Low', 'humiliated', 'low-down', 'low-pitched', 'abject', 'dispirited', 'down', 'David_Low', 'lowly', 'low', 'crushed', 'Sir_David_Alexander_Cecil_Low', 'low_gear', 'low-spirited', 'broken', 'first_gear', 'depressed', 'depression', 'depleted', 'scummy', 'humble', 'low-toned', 'moo', 'down_in_the_mouth', 'miserable', 'blue', 'gloomy', 'Sir_David_Low', 'downcast', 'scurvy', 'modest', 'downhearted', 'grim', 'first', 'small', 'humbled']",Proton magnetic resonance study
340-degrees-C,[],Proton magnetic resonance study
randomization,"['randomisation', 'randomization']",Proton magnetic resonance study
gas,"['blow', 'flatulency', 'swash', 'natural_gas', 'brag', 'bluster', 'accelerator_pedal', 'gasoline', 'boast', 'gas', 'vaunt', 'accelerator', 'gaseous_state', 'tout', 'gas_pedal', 'shoot_a_line', 'gasolene', 'throttle', 'gasconade', 'petrol', 'gun', 'flatulence']",Proton magnetic resonance study
becomes,"['get', 'suit', 'go', 'turn', 'become']",Proton magnetic resonance study
cylindrical,"['cylindric', 'cylindrical']",Proton magnetic resonance study
111,[],Proton magnetic resonance study
finally,"['in_the_end', 'lastly', 'in_conclusion', 'finally', 'at_long_last', 'at_last', 'ultimately', 'last', 'eventually']",Proton magnetic resonance study
sample,"['sample_distribution', 'try', 'taste', 'sample', 'try_out', 'sampling']",Proton magnetic resonance study
centrifugation,['centrifugation'],Proton magnetic resonance study
loss,"['exit', 'loss', 'red_ink', 'departure', 'release', 'personnel_casualty', 'deprivation', 'going', 'red', 'passing', 'expiration']",Proton magnetic resonance study
sheets,"['sail', 'shroud', 'sheet_of_paper', 'plane', 'canvass', 'sheet', 'mainsheet', 'tabloid', 'piece_of_paper', 'rag', 'bed_sheet', 'canvas', 'flat_solid', 'weather_sheet', 'tack']",Proton magnetic resonance study
though,['though'],Proton magnetic resonance study
formula,"['convention', 'chemical_formula', 'recipe', 'normal', 'pattern', 'rule', 'formula', 'expression']",Proton magnetic resonance study
maintained,"['sustain', 'asseverate', 'preserve', 'keep_up', 'observe', 'keep', 'retained', 'maintain', 'kept_up', 'exert', 'hold', 'conserve', 'wield', 'uphold', 'maintained', 'assert', 'defend', 'well-kept']",Proton magnetic resonance study
interactions,"['fundamental_interaction', 'interaction']",Proton magnetic resonance study
Nuclear,"['atomic', 'nuclear']",Proton magnetic resonance study
lines,"['describe', 'line', 'railway_line', 'production_line', 'assembly_line', 'lineage', 'credit_line', 'line_of_merchandise', 'draw', 'furrow', 'subscriber_line', 'argumentation', 'pedigree', 'parentage', 'demarcation', 'pipeline', 'communication_channel', 'transmission_line', 'wrinkle', 'dividing_line', 'line_of_credit', 'cable', 'short_letter', 'course', 'business_line', 'business', 'line_of_reasoning', 'descent', 'air', 'crinkle', 'telephone_line', 'channel', 'rail_line', 'stock', 'line_of_business', 'personal_line_of_credit', 'run_along', 'argument', 'logical_argument', 'line_of_products', 'job', 'telephone_circuit', 'billet', 'line_of_descent', 'crease', 'origin', 'melodic_line', 'ancestry', 'personal_credit_line', 'agate_line', 'product_line', 'delineate', 'contrast', 'tune', 'strain', 'melody', 'seam', 'phone_line', 'stemma', 'occupation', 'melodic_phrase', 'note', 'blood', 'line_of_work', 'trace', 'bank_line', 'bloodline', 'blood_line']",Proton magnetic resonance study
bridged-T,['bridged-T'],Proton magnetic resonance study
:,[],Proton magnetic resonance study
sources,"['seed', 'beginning', 'reference', 'root', 'rootage', 'origin', 'informant', 'author', 'source', 'germ', 'reservoir', 'generator']",Proton magnetic resonance study
2.44,[],Proton magnetic resonance study
angles,"['slant', 'weight', 'tip', 'lean', 'fish', 'Angle', 'angle', 'tilt']",Proton magnetic resonance study
any,"['whatever', 'any', 'whatsoever']",Proton magnetic resonance study
ordered,"['put', 'arranged', 'range', 'place', 'regularise', 'consecrate', 'rate', 'enjoin', 'govern', 'prescribe', 'consistent', 'tell', 'regulate', 'regularize', 'order', 'say', 'coherent', 'rank', 'dictate', 'grade', 'ordinate', 'arrange', 'ordain', 'set_up', 'logical', 'ordered']",Proton magnetic resonance study
``,[],Proton magnetic resonance study
frequency,"['absolute_frequency', 'oftenness', 'relative_frequency', 'frequency', 'frequence']",Proton magnetic resonance study
dispersion,"['diffusion', 'distribution', 'dissemination', 'scattering', 'dispersion', 'dispersal']",Proton magnetic resonance study
'',[],Proton magnetic resonance study
hardly,"['hardly', 'scarcely', 'just', 'barely', 'scarce']",Proton magnetic resonance study
usually,"['usually', 'commonly', 'ordinarily', 'normally', 'unremarkably']",Proton magnetic resonance study
signal,"['indicate', 'signalise', 'bespeak', 'sign', 'signal', 'point', 'signaling', 'signalize', 'betoken']",Proton magnetic resonance study
nearby,['nearby'],Proton magnetic resonance study
crystal,"['watch_glass', 'quartz', 'crystal', 'lechatelierite', 'vitreous_silica', 'crystallization', 'quartz_glass', 'watch_crystal']",Proton magnetic resonance study
low-temperature,[],Proton magnetic resonance study
non-hydrogen-bonded,[],Proton magnetic resonance study
induction,"['installation', 'evocation', 'initiation', 'inductive_reasoning', 'elicitation', 'generalization', 'induction', 'generalisation', 'inductance', 'trigger']",Proton magnetic resonance study
increasingly,"['more_and_more', 'progressively', 'increasingly']",Proton magnetic resonance study
randomly,"['arbitrarily', 'every_which_way', 'haphazardly', 'at_random', 'randomly', 'willy-nilly', 'indiscriminately']",Proton magnetic resonance study
water-washed,"['washed', 'water-wash', 'water-washed']",Proton magnetic resonance study
moment,"['second', 'bit', 'import', 'consequence', 'mo', 'here_and_now', 'instant', 'moment', 'present_moment', 'minute']",Proton magnetic resonance study
every,['every'],Proton magnetic resonance study
centered,"['focus_on', 'center_on', 'rivet', 'concentrate_on', 'revolve_around', 'concentrate', 'revolve_about', 'center', 'focus', 'centre', 'pore', 'centered']",Proton magnetic resonance study
-,[],Proton magnetic resonance study
interaction,"['fundamental_interaction', 'interaction']",Proton magnetic resonance study
spectrometric,['spectrometric'],Proton magnetic resonance study
estimated,"['approximate', 'estimate', 'reckon', 'gauge', 'calculate', 'figure', 'guess', 'judge', 'count_on', 'forecast']",Proton magnetic resonance study
gross,"['egregious', 'perfect', 'megascopic', 'pure', 'sodding', 'utter', 'crude', 'gross', 'stark', 'complete', 'receipts', 'glaring', 'vulgar', 'consummate', 'thoroughgoing', 'revenue', 'everlasting', 'rank', '144', 'unadulterated', 'flagrant', 'staring', 'arrant', 'porcine', 'crying', 'double-dyed', 'earthy']",Proton magnetic resonance study
chemical,"['chemical', 'chemical_substance', 'chemic']",Proton magnetic resonance study
measurement,"['measuring', 'mensuration', 'measurement', 'measure']",Proton magnetic resonance study
zero,"['cipher', '0', 'nil', 'zero_in', 'zip', 'aught', 'zero', 'zero_point', 'nada', 'nought', 'nothing', 'goose_egg', 'naught', 'zilch', 'cypher', 'nix', 'null', 'zippo']",Proton magnetic resonance study
placed,"['put', 'come_out', 'target', 'range', 'place', 'located', 'aim', 'station', 'rate', 'position', 'lay', 'placed', 'set', 'come_in', 'post', 'order', 'direct', 'invest', 'situated', 'point', 'commit', 'localize', 'identify', 'rank', 'pose', 'grade', 'localise', 'send', 'locate', 'site']",Proton magnetic resonance study
has,"['sustain', 'experience', 'give_birth', 'make', 'take_in', 'hour_angle', 'suffer', 'have_got', 'cause', 'accept', 'own', 'have', 'feature', 'ingest', 'consume', 'get', 'bear', 'throw', 'induce', 'let', 'stimulate', 'birth', 'possess', 'take', 'deliver', 'give', 'HA', 'hold', 'receive']",Proton magnetic resonance study
lack,"['deficiency', 'want', 'lack', 'miss']",Proton magnetic resonance study
whether,[],Proton magnetic resonance study
was,"['constitute', 'WA', 'equal', 'Evergreen_State', 'embody', 'cost', 'comprise', 'represent', 'make_up', 'live', 'be', 'exist', 'follow', 'personify', 'Washington']",Proton magnetic resonance study
prevent,"['forestall', 'keep', 'preclude', 'foreclose', 'prevent', 'forbid']",Proton magnetic resonance study
thermal,"['caloric', 'thermic', 'thermal']",Proton magnetic resonance study
lend,"['lend', 'bestow', 'add', 'loan', 'bring', 'contribute', 'impart']",Proton magnetic resonance study
conclusion,"['decision', 'conclusion', 'closing', 'finale', 'stopping_point', 'finish', 'finis', 'ratiocination', 'termination', 'end', 'close', 'last', 'determination', 'ending']",Proton magnetic resonance study
O,"['O', 'o', 'type_O', 'group_O', 'atomic_number_8', 'oxygen']",Proton magnetic resonance study
observing,"['celebrate', 'respect', 'keep_an_eye_on', 'watch', 'honour', 'observant', 'maintain', 'notice', 'find', 'honor', 'observing', 'detect', 'abide_by', 'mention', 'discover', 'take_note', 'observe', 'keep', 'note', 'watch_over', 'follow', 'remark']",Proton magnetic resonance study
for,[],Proton magnetic resonance study
required,"['requisite', 'involve', 'expect', 'necessitate', 'take', 'want', 'needed', 'required', 'mandatory', 'compulsory', 'command', 'postulate', 'require', 'ask', 'demand', 'needful', 'call_for', 'need']",Proton magnetic resonance study
Dr.,"['physician', 'MD', 'medico', 'Dr.', 'doctor', 'doc']",Proton magnetic resonance study
susceptibility,"['susceptibleness', 'susceptibility']",Proton magnetic resonance study
isotropic,"['isotropic', 'isotropous']",Proton magnetic resonance study
progressive,"['liberal', 'liberalist', 'imperfect_tense', 'progressive', 'imperfect', 'progressive_tense', 'reformist', 'reform-minded', 'continuous_tense']",Proton magnetic resonance study
flat,"['mat', 'flatcar', 'directly', 'monotonic', 'prostrate', 'bland', 'savourless', 'monotone', 'two-dimensional', 'unconditional', 'flatbed', 'matte', '2-dimensional', 'categorical', 'flat_tire', 'savorless', 'plane', 'compressed', 'matt', 'apartment', 'flavorless', 'monotonous', 'straight', 'level', 'flat', 'insipid', 'categoric', 'matted', 'vapid', 'flavourless']",Proton magnetic resonance study
contain,"['bear', 'take', 'comprise', 'hold_back', 'curb', 'control', 'stop', 'turn_back', 'check', 'hold_in', 'contain', 'carry', 'hold', 'arrest', 'incorporate', 'moderate']",Proton magnetic resonance study
defined,"['defined', 'outlined', 'limit', 'determine', 'delimitate', 'delimit', 'define', 'set', 'specify', 'delineate', 'fix']",Proton magnetic resonance study
He,"['He', 'helium', 'atomic_number_2', 'he']",Proton magnetic resonance study
been,"['constitute', 'equal', 'embody', 'cost', 'comprise', 'represent', 'make_up', 'live', 'be', 'exist', 'follow', 'personify']",Proton magnetic resonance study
important,"['of_import', 'crucial', 'significant', 'important', 'authoritative']",Proton magnetic resonance study
unknown,"['alien', 'unnamed', 'stranger', 'strange', 'obscure', 'nameless', 'unknown_region', 'unidentified', 'unsung', 'terra_incognita', 'unknown_quantity', 'unknown']",Proton magnetic resonance study
among,[],Proton magnetic resonance study
Mc/sec,[],Proton magnetic resonance study
others,[],Proton magnetic resonance study
latter,['latter'],Proton magnetic resonance study
room,"['way', 'room', 'elbow_room', 'board']",Proton magnetic resonance study
caused,"['get', 'have', 'make', 'induce', 'do', 'cause', 'stimulate']",Proton magnetic resonance study
61.2%,[],Proton magnetic resonance study
derived,"['deduct', 'descend', 'gain', 'infer', 'educe', 'come', 'deduce', 'derived', 'derive']",Proton magnetic resonance study
becoming,"['get', 'decorous', 'decent', 'suit', 'comely', 'go', 'becoming', 'turn', 'seemly', 'comme_il_faut', 'become']",Proton magnetic resonance study
midway,"['halfway', 'Midway', 'Battle_of_Midway', 'center', 'midway', 'middle']",Proton magnetic resonance study
interlayer,['interlayer'],Proton magnetic resonance study
implies,"['involve', 'imply', 'incriminate', 'connote', 'entail', 'mean', 'inculpate']",Proton magnetic resonance study
some,"['around', 'about', 'approximately', 'roughly', 'close_to', 'or_so', 'more_or_less', 'some', 'just_about']",Proton magnetic resonance study
separated,"['break_up', 'carve_up', 'set-apart', 'disunite', 'furcate', 'discriminate', 'class', 'dissever', 'spaced', 'secern', 'differentiate', 'disjointed', 'dislocated', 'tell', 'sort_out', 'secernate', 'split', 'come_apart', 'classify', 'isolated', 'fall_apart', 'detached', 'fork', 'ramify', 'break', 'distinguish', 'separate', 'split_up', 'severalize', 'tell_apart', 'divide', 'part', 'sort', 'severalise', 'assort', 'branch', 'separated', 'single_out']",Proton magnetic resonance study
and,[],Proton magnetic resonance study
piezoelectric,['piezoelectric'],Proton magnetic resonance study
blowing,"['blow', 'botch_up', 'burn_out', 'muck_up', 'blowing', 'swash', 'brag', 'bluster', 'fuck_up', 'go_down_on', 'fluff', 'fellate', 'bumble', 'drift', 'screw_up', 'bungle', 'squander', 'flub', 'bollix_up', 'bollocks', 'boast', 'gas', 'vaunt', 'blow_out', 'shove_along', 'mishandle', 'fumble', 'foul_up', 'ball_up', 'waste', 'bodge', 'shove_off', 'tout', 'be_adrift', 'bollocks_up', 'mess_up', 'shoot_a_line', 'float', 'louse_up', 'bobble', 'bollix', 'muff', 'suck', 'botch', 'spoil', 'gasconade']",Proton magnetic resonance study
broadening,"['widen', 'broadening', 'broaden', 'extend', 'widening', 'diversify', 'branch_out']",Proton magnetic resonance study
information,"['entropy', 'data', 'information', 'info', 'selective_information']",Proton magnetic resonance study
coefficient,['coefficient'],Proton magnetic resonance study
motional-modified,[],Proton magnetic resonance study
piezoelectricity,"['piezoelectricity', 'piezo_effect', 'piezoelectric_effect']",Proton magnetic resonance study
disappeared,"['disappear', 'melt', 'evaporate', 'go_away', 'vanish']",Proton magnetic resonance study
A.,[],Proton magnetic resonance study
nuclei,"['karyon', 'core_group', 'cell_nucleus', 'lens_nucleus', 'core', 'nucleus']",Proton magnetic resonance study
