w,vector_semantico
found,"['detect', 'found', 'line_up', 'retrieve', 'discover', 'find', 'ascertain', 'receive', 'establish', 'find_oneself', 'come_up', 'observe', 'institute', 'constitute', 'notice', 'plant', 'encounter', 'feel', 'happen', 'set_up', 'get', 'rule', 'witness', 'ground', 'see', 'determine', 'chance', 'find_out', 'get_hold', 'incur', 'bump', 'regain', 'launch', 'obtain', 'base', 'recover']",Northern Liberals and Southern Bourbons
Little,"['picayune', 'lilliputian', 'slight', 'small', 'niggling', 'piffling', 'piddling', 'fiddling', 'short', 'footling', 'petty', 'trivial', 'little', 'minuscule']",Northern Liberals and Southern Bourbons
also,"['likewise', 'also', 'too', 'besides', 'as_well']",Northern Liberals and Southern Bourbons
view,"['watch', 'take_in', 'sight', 'sentiment', 'view', 'reckon', 'look_at', 'regard', 'survey', 'thought', 'catch', 'prospect', 'position', 'scene', 'perspective', 'horizon', 'eyeshot', 'consider', 'see', 'persuasion', 'opinion', 'purview', 'aspect', 'panorama', 'vista']",Northern Liberals and Southern Bourbons
individual,"['mortal', 'case-by-case', 'soul', 'individual', 'person', 'somebody', 'single', 'someone', 'private', 'item-by-item']",Northern Liberals and Southern Bourbons
intense,"['vivid', 'acute', 'intense']",Northern Liberals and Southern Bourbons
subjected,"['subject', 'subjugate', 'submit']",Northern Liberals and Southern Bourbons
leadership,"['leaders', 'leading', 'leadership']",Northern Liberals and Southern Bourbons
For,[],Northern Liberals and Southern Bourbons
tradition,"['custom', 'tradition']",Northern Liberals and Southern Bourbons
find,"['uncovering', 'detect', 'line_up', 'retrieve', 'discover', 'find', 'ascertain', 'receive', 'find_oneself', 'come_up', 'discovery', 'observe', 'notice', 'encounter', 'feel', 'happen', 'get', 'rule', 'witness', 'see', 'determine', 'find_out', 'chance', 'get_hold', 'incur', 'bump', 'regain', 'breakthrough', 'obtain', 'recover']",Northern Liberals and Southern Bourbons
democratic,"['popular', 'Democratic', 'democratic']",Northern Liberals and Southern Bourbons
by,"['aside', 'away', 'by', 'past']",Northern Liberals and Southern Bourbons
control,"['controller', 'control_condition', 'see_to_it', 'ascertain', 'verify', 'control', 'insure', 'ascendence', 'curb', 'hold_in', 'ascendancy', 'dominance', 'mastery', 'master', 'ascendency', 'ascendance', 'command', 'assure', 'see', 'hold', 'moderate', 'operate', 'restraint', 'ensure', 'contain', 'check', 'keep_in_line', 'manipulate']",Northern Liberals and Southern Bourbons
situation,"['billet', 'position', 'post', 'site', 'berth', 'office', 'spot', 'place', 'situation', 'state_of_affairs']",Northern Liberals and Southern Bourbons
sincerely,"['truly', 'sincerely_yours', 'sincerely', 'unfeignedly']",Northern Liberals and Southern Bourbons
them,[],Northern Liberals and Southern Bourbons
stars,"['virtuoso', 'star_topology', 'star', 'superstar', 'mavin', 'adept', 'wizard', 'sensation', 'maven', 'whizz', 'wiz', 'headliner', 'champion', 'lead', 'ace', 'principal', 'whiz', 'hotshot', 'genius', 'asterisk']",Northern Liberals and Southern Bourbons
moving,"['make_a_motion', 'strike', 'proceed', 'moving', 'actuate', 'locomote', 'prompt', 'propel', 'act', 'go', 'affect', 'displace', 'incite', 'run', 'be_active', 'impress', 'travel', 'move', 'motivate']",Northern Liberals and Southern Bourbons
reunion,"['reunion', 'reunification']",Northern Liberals and Southern Bourbons
reaping,"['draw', 'harvest', 'reap', 'glean']",Northern Liberals and Southern Bourbons
abused,"['blackguard', 'maltreat', 'abuse', 'step', 'mistreated', 'mistreat', 'maltreated', 'ill-treat', 'abused', 'shout', 'ill-treated', 'ill-use', 'misuse', 'clapperclaw', 'pervert']",Northern Liberals and Southern Bourbons
really,"['genuinely', 'truly', 'real', 'in_truth', 'really', 'rattling', 'actually', 'very']",Northern Liberals and Southern Bourbons
directed,"['address', 'head', 'channelise', 'manoeuvre', 'calculate', 'send', 'steer', 'conduct', 'organise', 'engineer', 'directed', 'take', 'aim', 'orchestrate', 'place', 'direct', 'lead', 'manoeuver', 'guide', 'channelize', 'target', 'mastermind', 'point', 'train', 'take_aim', 'maneuver', 'organize']",Northern Liberals and Southern Bourbons
If,[],Northern Liberals and Southern Bourbons
conservative,"['bourgeois', 'Conservative', 'buttoned-down', 'button-down', 'conservativist', 'cautious', 'conservative', 'materialistic']",Northern Liberals and Southern Bourbons
Had,"['experience', 'take_in', 'accept', 'own', 'deliver', 'receive', 'stimulate', 'give_birth', 'let', 'cause', 'consume', 'birth', 'get', 'take', 'give', 'hold', 'have_got', 'throw', 'induce', 'suffer', 'have', 'possess', 'feature', 'ingest', 'make', 'sustain', 'bear']",Northern Liberals and Southern Bourbons
as,"['every_bit', 'AS', 'a', 'group_A', 'arsenic', 'type_A', 'deoxyadenosine_monophosphate', 'amp', 'antiophthalmic_factor', 'American_Samoa', 'angstrom', 'atomic_number_33', 'As', 'as', 'equally', 'A', 'adenine', 'axerophthol', 'ampere', 'angstrom_unit', 'vitamin_A', 'Eastern_Samoa']",Northern Liberals and Southern Bourbons
progress,"['get_along', 'shape_up', 'move_on', 'onward_motion', 'advance', 'pass_on', 'progression', 'build_up', 'forward_motion', 'progress', 'come_along', 'come_on', 'go_on', 'march_on', 'advancement', 'procession', 'get_on', 'work_up', 'build']",Northern Liberals and Southern Bourbons
Court,"['judicature', 'court_of_justice', 'tribunal', 'solicit', 'court_of_law', 'motor_inn', 'lawcourt', 'motor_lodge', 'court', 'woo', 'tourist_court', 'Court', 'courtyard', 'royal_court', 'courtroom', 'romance', 'homage', 'Margaret_Court', 'motor_hotel']",Northern Liberals and Southern Bourbons
Prior,"['prior', 'anterior']",Northern Liberals and Southern Bourbons
show,"['shew', 'read', 'demonstrate', 'evince', 'establish', 'present', 'express', 'testify', 'usher', 'render', 'demo', 'picture', 'designate', 'appearance', 'bear_witness', 'show', 'point', 'evidence', 'display', 'indicate', 'depict', 'show_up', 'register', 'record', 'exhibit', 'prove']",Northern Liberals and Southern Bourbons
ardent,"['torrid', 'perfervid', 'warm', 'fiery', 'fervid', 'ardent', 'impassioned', 'fervent']",Northern Liberals and Southern Bourbons
psychological,['psychological'],Northern Liberals and Southern Bourbons
hardly,"['barely', 'scarce', 'hardly', 'just', 'scarcely']",Northern Liberals and Southern Bourbons
home,"['home_plate', 'habitation', 'menage', 'abode', 'home_base', 'rest_home', 'plate', 'household', 'family', 'internal', 'national', 'place', 'dwelling_house', 'home', 'nursing_home', 'domicile', 'house', 'dwelling', 'base', 'interior']",Northern Liberals and Southern Bourbons
excess,"['excessiveness', 'superfluous', 'surfeit', 'spare', 'overabundance', 'surplusage', 'supernumerary', 'supererogatory', 'overindulgence', 'nimiety', 'inordinateness', 'surplus', 'redundant', 'extra', 'excess']",Northern Liberals and Southern Bourbons
Southerners,['Southerner'],Northern Liberals and Southern Bourbons
England,['England'],Northern Liberals and Southern Bourbons
My,[],Northern Liberals and Southern Bourbons
other,"['early', 'former', 'other']",Northern Liberals and Southern Bourbons
