w,vector_semantico
like,"['wish', 'like', 'corresponding', 'comparable', 'the_like', 'care', 'same', 'alike', 'ilk', 'similar', 'the_likes_of']",Riding the Dark Train Out
Then,"['then', 'and_so', 'so', 'and_then']",Riding the Dark Train Out
seen,"['image', 'project', 'assure', 'come_across', 'realize', 'find_out', 'regard', 'determine', 'take_in', 'catch', 'figure', 'ensure', 'reckon', 'look', 'construe', 'hear', 'run_across', 'fancy', 'consider', 'learn', 'realise', 'get_word', 'visit', 'discover', 'go_through', 'watch', 'examine', 'escort', 'understand', 'get_a_line', 'go_steady', 'witness', 'pick_up', 'see_to_it', 'view', 'visualize', 'encounter', 'find', 'go_out', 'envision', 'run_into', 'interpret', 'date', 'take_care', 'picture', 'control', 'ascertain', 'get_wind', 'visualise', 'check', 'attend', 'experience', 'insure', 'see', 'meet']",Riding the Dark Train Out
Hmm,[],Riding the Dark Train Out
clanking,"['clank', 'clanking']",Riding the Dark Train Out
screwed,"['fuck', 'get_laid', 'have_a_go_at_it', 'have_it_away', 'jockey', 'bed', 'have_it_off', 'sleep_together', 'sleep_with', 'have_intercourse', 'make_out', 'make_love', 'love', 'bang', 'jazz', 'bonk', 'be_intimate', 'shaft', 'lie_with', 'screw', 'hump', 'chouse', 'drive_in', 'roll_in_the_hay', 'have_sex', 'eff', 'know', 'get_it_on', 'chicane', 'do_it', 'cheat']",Riding the Dark Train Out
I,"['ane', 'unity', 'single', '1', 'iodin', 'I', 'i', 'one', 'atomic_number_53', 'ace', 'iodine']",Riding the Dark Train Out
into,[],Riding the Dark Train Out
small,"['small-scale', 'minor', 'minuscule', 'little', 'diminished', 'modest', 'low', 'small', 'humble', 'pocket-size', 'belittled', 'pocket-sized', 'lowly']",Riding the Dark Train Out
chair,"['president', 'moderate', 'death_chair', 'chairperson', 'lead', 'professorship', 'electric_chair', 'chair', 'chairman', 'hot_seat', 'chairwoman']",Riding the Dark Train Out
chick,"['bird', 'doll', 'dame', 'wench', 'biddy', 'chick', 'skirt']",Riding the Dark Train Out
toward,[],Riding the Dark Train Out
Road,"['road', 'route']",Riding the Dark Train Out
undue,"['inordinate', 'unwarranted', 'unreasonable', 'unjustified', 'excessive', 'undue']",Riding the Dark Train Out
yanked,"['jerk', 'yank']",Riding the Dark Train Out
